ligand_id,molecular_weight,target_A,target_B,target_C,target_D
L01,200,-1.900000,-2.350000,1.400000,-0.700000
L02,205,-1.655556,-1.561111,1.444444,-0.292003
L03,210,-1.011111,-1.372222,0.688889,-0.116100
L04,215,-0.766667,-0.583333,0.733333,-0.190997
L05,220,-0.122222,-0.394444,-0.022222,-0.304819
L06,225,0.122222,0.394444,0.022222,-0.209900
L07,230,0.766667,0.583333,-0.733333,0.149509
L08,235,1.011111,1.372222,-0.688889,0.585985
L09,240,1.655556,1.561111,-1.444444,0.841252
L10,245,1.900000,2.350000,-1.400000,0.823636
L11,400,-2.100000,2.350000,-1.400000,1.000000
L12,405,-1.455556,1.561111,-1.444444,0.706535
L13,410,-1.211111,1.372222,-0.688889,0.264045
L14,415,-0.566667,0.583333,-0.733333,-0.063664
L15,420,-0.322222,0.394444,0.022222,-0.118315
L16,425,0.322222,-0.394444,-0.022222,0.007321
L17,430,0.566667,-0.583333,0.733333,0.054718
L18,435,1.211111,-1.372222,0.688889,-0.162718
L19,440,1.455556,-1.561111,1.444444,-0.588094
L20,445,2.100000,-2.350000,1.400000,-0.973339
