drug_name,standard_inchikey,pubchem_cid,match_method
Erlotinib,AAKJLRGGTJKAMG-UHFFFAOYSA-N,176870,exact_standard_inchikey
LY-317615,AXRCEOKUDYDWLF-UHFFFAOYSA-N,176167,exact_standard_inchikey
Lapatinib,BCFGMOOMADDAQU-UHFFFAOYSA-N,208908,exact_standard_inchikey
SGX-523,BCZUAADEACICHN-UHFFFAOYSA-N,24779724,exact_standard_inchikey
Flavopiridol,BIIVYFLTOXDAOV-UHFFFAOYSA-N,5287969,exact_inchi_connectivity_block
PKC-412,BMGQWWVMWDBQGC-UHFFFAOYSA-N,9829523,exact_inchi_connectivity_block
A-674563,BPNUQXPIQBZCMR-UHFFFAOYSA-N,11314340,exact_inchi_connectivity_block
SB-203580,CDMGBJANTYXAIV-UHFFFAOYSA-N,176155,exact_standard_inchikey
SU-14813,CTNPALGJUAXMMC-UHFFFAOYSA-N,10138259,exact_inchi_connectivity_block
Pazopanib,CUIHSIWYWATEQL-UHFFFAOYSA-N,10113978,exact_standard_inchikey
AC220,CVWXJKQAOSCOAB-UHFFFAOYSA-N,24889392,exact_standard_inchikey
EXEL-2880,CXQHYVUVSFXTMY-UHFFFAOYSA-N,42642645,exact_standard_inchikey
AZD-6244,CYOHGALHFOKKQC-UHFFFAOYSA-N,10127622,exact_standard_inchikey
GDC-0879,DEZZLWQELQORIU-UHFFFAOYSA-N,11717001,exact_inchi_connectivity_block
BIBF-1120,FCLPVPNWFDOVKL-BYYHNAKLSA-N,135423438,explicit_upstream_name_salt_or_variant_override
VX-680,GCIKSSRWRFVXBI-UHFFFAOYSA-N,5494449,exact_standard_inchikey
CI-1040,GFMMXOIFOQCCGU-UHFFFAOYSA-N,6918454,exact_standard_inchikey
JNJ-28312141,GUBJNPWVIUFSTR-UHFFFAOYSA-N,11676971,exact_standard_inchikey
INCB18424,HFNKQEVNSGCOJV-UHFFFAOYSA-N,25126798,exact_inchi_connectivity_block
MLN-8054,HHFBDROWDBDFBR-UHFFFAOYSA-N,11712649,exact_standard_inchikey
Nilotinib,HHZIURLSWUIHRB-UHFFFAOYSA-N,644241,exact_standard_inchikey
Staurosporine,HKSZLNNOFSGOKW-UHFFFAOYSA-N,44259,exact_inchi_connectivity_block
GSK1838705A,HZTYDQRUAWIZRE-UHFFFAOYSA-N,25182616,exact_standard_inchikey
TG-101348,JOOXLOJCABQBSG-UHFFFAOYSA-N,16722836,exact_standard_inchikey
R547,JRNJNYBQQYBCLE-UHFFFAOYSA-N,6918852,exact_standard_inchikey
HKI-272,JWNPDZNEKVCWMY-UHFFFAOYSA-N,9915743,exact_inchi_connectivity_block
