target,dockstring_version,source_wheel_url,source_wheel_sha256,source_license,source_member,source_pdbqt_sha256,sequence_length,sequence_sha256,modified_residue_count,modified_residue_names,unknown_backbone_residue_count,unknown_backbone_residue_names,excluded_nonprotein_atom_residue_count,excluded_nonprotein_atom_residue_names
PPARD,0.3.4,https://files.pythonhosted.org/packages/26/7b/4eab9b2d80f920b0fbaaf0c7cc42e948df6fc716b18cb5399bd3d5c768e7/dockstring-0.3.4-py3-none-any.whl,e0e61d4f6f5ff22b3cc2905ea01af5752fe0a14f93b4a148d81ffa1fac661cc5,Apache-2.0,dockstring/resources/targets/PPARD_target.pdbqt,308240574860f35a2cea738615b0fbf68d306648c53fb0268158b67b5871f73a,263,981b5a9dc3359c8c9aa7f4771730de7d2f12fdbd924a637402fa6a52cb6c7444,0,,0,,0,
ABL1,0.3.4,https://files.pythonhosted.org/packages/26/7b/4eab9b2d80f920b0fbaaf0c7cc42e948df6fc716b18cb5399bd3d5c768e7/dockstring-0.3.4-py3-none-any.whl,e0e61d4f6f5ff22b3cc2905ea01af5752fe0a14f93b4a148d81ffa1fac661cc5,Apache-2.0,dockstring/resources/targets/ABL1_target.pdbqt,2e31e2f3b3aba4bb5ee038d7bc3573c7864a8fface7741dea3de1effc0c1d2bc,270,fcc291f294a544fee4b026b9f2e449dca2b2648e43bb915536e74ef45c47b54b,0,,0,,0,
ADAM17,0.3.4,https://files.pythonhosted.org/packages/26/7b/4eab9b2d80f920b0fbaaf0c7cc42e948df6fc716b18cb5399bd3d5c768e7/dockstring-0.3.4-py3-none-any.whl,e0e61d4f6f5ff22b3cc2905ea01af5752fe0a14f93b4a148d81ffa1fac661cc5,Apache-2.0,dockstring/resources/targets/ADAM17_target.pdbqt,f3822d76893f1693ea16375bf9bf371ded8db9dc413e1e2d1817580573b01a91,244,bb4de8a442e73bab82e5c5546df351d1248ed16cc7bd27c83249389f40eb32d0,14,CYX;HID;HIE;HIZ,0,,1,ZN1
ADRB1,0.3.4,https://files.pythonhosted.org/packages/26/7b/4eab9b2d80f920b0fbaaf0c7cc42e948df6fc716b18cb5399bd3d5c768e7/dockstring-0.3.4-py3-none-any.whl,e0e61d4f6f5ff22b3cc2905ea01af5752fe0a14f93b4a148d81ffa1fac661cc5,Apache-2.0,dockstring/resources/targets/ADRB1_target.pdbqt,43b3c96f0c4680f112097b1de459fe0894e58cee47367ef6abe8349fd3d320ce,276,f834ab77e81ed2a3d0c66f0ff386e6a7b5dbce3de56950154a5ca0931464d952,6,CYX;HID;HIP,0,,0,
ADRB2,0.3.4,https://files.pythonhosted.org/packages/26/7b/4eab9b2d80f920b0fbaaf0c7cc42e948df6fc716b18cb5399bd3d5c768e7/dockstring-0.3.4-py3-none-any.whl,e0e61d4f6f5ff22b3cc2905ea01af5752fe0a14f93b4a148d81ffa1fac661cc5,Apache-2.0,dockstring/resources/targets/ADRB2_target.pdbqt,6be07396930aac871d6d93a16623bc8d6cb4c61312735db2c33f912c90b68989,230,fefacfe633cbc9f1263bbe2a2a239e65754e90bb50f5280d706b485e92773361,0,,0,,0,
AKT2,0.3.4,https://files.pythonhosted.org/packages/26/7b/4eab9b2d80f920b0fbaaf0c7cc42e948df6fc716b18cb5399bd3d5c768e7/dockstring-0.3.4-py3-none-any.whl,e0e61d4f6f5ff22b3cc2905ea01af5752fe0a14f93b4a148d81ffa1fac661cc5,Apache-2.0,dockstring/resources/targets/AKT2_target.pdbqt,0bcf560f7c384624ee58faefce7c679bcd64e0839841088da78a0a0da6fa0f87,339,14770717dc52542473ff5c17fcef64caa43470bf39c711273a2148355bd2dc9e,10,HIE;HIP;TPO,0,,0,
MAOB,0.3.4,https://files.pythonhosted.org/packages/26/7b/4eab9b2d80f920b0fbaaf0c7cc42e948df6fc716b18cb5399bd3d5c768e7/dockstring-0.3.4-py3-none-any.whl,e0e61d4f6f5ff22b3cc2905ea01af5752fe0a14f93b4a148d81ffa1fac661cc5,Apache-2.0,dockstring/resources/targets/MAOB_target.pdbqt,78a2c9137f17188165e681378fd1c7c5974454c948c71ba3dad71721c91a200b,453,8f39ec9798fa60ad37abb09a5e0a49aad449a4ff575eeb4fd465aee42e18a31f,0,,0,,1,FAD
CASP3,0.3.4,https://files.pythonhosted.org/packages/26/7b/4eab9b2d80f920b0fbaaf0c7cc42e948df6fc716b18cb5399bd3d5c768e7/dockstring-0.3.4-py3-none-any.whl,e0e61d4f6f5ff22b3cc2905ea01af5752fe0a14f93b4a148d81ffa1fac661cc5,Apache-2.0,dockstring/resources/targets/CASP3_target.pdbqt,73cd1a146c65ff9f484aa15ca0145d631b72cbc6218df9df295d80f6614494a5,191,94f60afa089b17dffa4550b2b0d37b809821998df163fbdac396821dfb7ecd50,4,HID;HIE,0,,0,
DHFR,0.3.4,https://files.pythonhosted.org/packages/26/7b/4eab9b2d80f920b0fbaaf0c7cc42e948df6fc716b18cb5399bd3d5c768e7/dockstring-0.3.4-py3-none-any.whl,e0e61d4f6f5ff22b3cc2905ea01af5752fe0a14f93b4a148d81ffa1fac661cc5,Apache-2.0,dockstring/resources/targets/DHFR_target.pdbqt,de30c89f8351a96182ea976bf9dbb177f47edbed554f3202f3018e2064f230ac,186,f5b86b584f5b396b98d06df0fb9e767cc0f7e965caf03f667982ed705f34092d,0,,0,,1,NDP
ESR2,0.3.4,https://files.pythonhosted.org/packages/26/7b/4eab9b2d80f920b0fbaaf0c7cc42e948df6fc716b18cb5399bd3d5c768e7/dockstring-0.3.4-py3-none-any.whl,e0e61d4f6f5ff22b3cc2905ea01af5752fe0a14f93b4a148d81ffa1fac661cc5,Apache-2.0,dockstring/resources/targets/ESR2_target.pdbqt,be3a80b55f273b91a24ae65dc6c6c3a4b4434f194eb1ad852b807c0f55f633ca,274,d9f00a511ad9e26156cc91f0320e9709f5bafb13948927ec948bf5dd1638925c,0,,0,,0,
