target,dockstring_version,source_wheel_url,source_wheel_sha256,source_license,source_member,source_pdbqt_sha256,sequence_length,sequence_sha256,modified_residue_count,modified_residue_names,unknown_backbone_residue_count,unknown_backbone_residue_names,excluded_nonprotein_atom_residue_count,excluded_nonprotein_atom_residue_names
ABL1,0.3.4,https://files.pythonhosted.org/packages/26/7b/4eab9b2d80f920b0fbaaf0c7cc42e948df6fc716b18cb5399bd3d5c768e7/dockstring-0.3.4-py3-none-any.whl,e0e61d4f6f5ff22b3cc2905ea01af5752fe0a14f93b4a148d81ffa1fac661cc5,Apache-2.0,dockstring/resources/targets/ABL1_target.pdbqt,2e31e2f3b3aba4bb5ee038d7bc3573c7864a8fface7741dea3de1effc0c1d2bc,270,fcc291f294a544fee4b026b9f2e449dca2b2648e43bb915536e74ef45c47b54b,0,,0,,0,
AKT1,0.3.4,https://files.pythonhosted.org/packages/26/7b/4eab9b2d80f920b0fbaaf0c7cc42e948df6fc716b18cb5399bd3d5c768e7/dockstring-0.3.4-py3-none-any.whl,e0e61d4f6f5ff22b3cc2905ea01af5752fe0a14f93b4a148d81ffa1fac661cc5,Apache-2.0,dockstring/resources/targets/AKT1_target.pdbqt,8ed6762318dc8c64f96808a2a0a8eda412ea911db1dc4c9e367be8450bdd84a2,292,29731e638160725762a109ddb228af348580b852e7f97748c44882f18db11a3a,10,HID;HIE;HIP;TPO,0,,0,
AKT2,0.3.4,https://files.pythonhosted.org/packages/26/7b/4eab9b2d80f920b0fbaaf0c7cc42e948df6fc716b18cb5399bd3d5c768e7/dockstring-0.3.4-py3-none-any.whl,e0e61d4f6f5ff22b3cc2905ea01af5752fe0a14f93b4a148d81ffa1fac661cc5,Apache-2.0,dockstring/resources/targets/AKT2_target.pdbqt,0bcf560f7c384624ee58faefce7c679bcd64e0839841088da78a0a0da6fa0f87,339,14770717dc52542473ff5c17fcef64caa43470bf39c711273a2148355bd2dc9e,10,HIE;HIP;TPO,0,,0,
CDK2,0.3.4,https://files.pythonhosted.org/packages/26/7b/4eab9b2d80f920b0fbaaf0c7cc42e948df6fc716b18cb5399bd3d5c768e7/dockstring-0.3.4-py3-none-any.whl,e0e61d4f6f5ff22b3cc2905ea01af5752fe0a14f93b4a148d81ffa1fac661cc5,Apache-2.0,dockstring/resources/targets/CDK2_target.pdbqt,903526461510e29a4bfc6ee15d53eac3ca8a12710c70aed5c7f70fbf982b236e,278,68112c82a23d51bac61ee600e576bdeb57a79ce144e9316c9813050aaff658eb,10,HID;HIE;HIP;LEV,0,,0,
CSF1R,0.3.4,https://files.pythonhosted.org/packages/26/7b/4eab9b2d80f920b0fbaaf0c7cc42e948df6fc716b18cb5399bd3d5c768e7/dockstring-0.3.4-py3-none-any.whl,e0e61d4f6f5ff22b3cc2905ea01af5752fe0a14f93b4a148d81ffa1fac661cc5,Apache-2.0,dockstring/resources/targets/CSF1R_target.pdbqt,1ca29060b270de19a737711f557ef47fe817e62b459122bc9610dde5df79f74e,263,5767bc517556e724db78bf48bf23d6125b1de67b2826ba4d0c810a7f3cd1df8d,0,,0,,0,
EGFR,0.3.4,https://files.pythonhosted.org/packages/26/7b/4eab9b2d80f920b0fbaaf0c7cc42e948df6fc716b18cb5399bd3d5c768e7/dockstring-0.3.4-py3-none-any.whl,e0e61d4f6f5ff22b3cc2905ea01af5752fe0a14f93b4a148d81ffa1fac661cc5,Apache-2.0,dockstring/resources/targets/EGFR_target.pdbqt,be850f92b01f264a648a8fb31b101953ef49b95f0a7e5cd16fd4a13c68366ec3,251,3eda461865abf730e852b5a42aecde18b7ee546cc74eaf09f73fc2aa0e58c878,1,MEU,0,,0,
FGFR1,0.3.4,https://files.pythonhosted.org/packages/26/7b/4eab9b2d80f920b0fbaaf0c7cc42e948df6fc716b18cb5399bd3d5c768e7/dockstring-0.3.4-py3-none-any.whl,e0e61d4f6f5ff22b3cc2905ea01af5752fe0a14f93b4a148d81ffa1fac661cc5,Apache-2.0,dockstring/resources/targets/FGFR1_target.pdbqt,7eb86a9d88565aedf2616255056294fed96144078e95812ae0a415ee0a2bcff4,250,bf10bb13b83310bb96d62597c27952a9c2cb13afc82ec012497c062155d08c58,0,,0,,0,
IGF1R,0.3.4,https://files.pythonhosted.org/packages/26/7b/4eab9b2d80f920b0fbaaf0c7cc42e948df6fc716b18cb5399bd3d5c768e7/dockstring-0.3.4-py3-none-any.whl,e0e61d4f6f5ff22b3cc2905ea01af5752fe0a14f93b4a148d81ffa1fac661cc5,Apache-2.0,dockstring/resources/targets/IGF1R_target.pdbqt,811403cca533df633ddfc71e3cf1514fff1d81998a06203792bb4e398dfd4257,256,80b80c51e8b0bee8d8c48bb0adc1a5fe433805eec9e27ee7d6346bae4a3f02c2,0,,0,,0,
JAK2,0.3.4,https://files.pythonhosted.org/packages/26/7b/4eab9b2d80f920b0fbaaf0c7cc42e948df6fc716b18cb5399bd3d5c768e7/dockstring-0.3.4-py3-none-any.whl,e0e61d4f6f5ff22b3cc2905ea01af5752fe0a14f93b4a148d81ffa1fac661cc5,Apache-2.0,dockstring/resources/targets/JAK2_target.pdbqt,5680c53d20bfce420edd86d35703658eba4c8c041d9102372a8e990cddeb49a7,260,3f4e48b4048954026a586fa574c18e531183b5e4e0d37221cbb9dc76a7e6967e,10,HID;HIE;PTR,0,,0,
KDR,0.3.4,https://files.pythonhosted.org/packages/26/7b/4eab9b2d80f920b0fbaaf0c7cc42e948df6fc716b18cb5399bd3d5c768e7/dockstring-0.3.4-py3-none-any.whl,e0e61d4f6f5ff22b3cc2905ea01af5752fe0a14f93b4a148d81ffa1fac661cc5,Apache-2.0,dockstring/resources/targets/KDR_target.pdbqt,0efb7d7b2fe9c96ca682cb7f24d7132d59fb036529cacb21af295bdddcc54e41,298,97bdea8dd5f684a7beb59e43db63e1b4d4b6f9a1da7a7a1f9f707adeccf61327,0,,0,,0,
