inchikey,smiles
ACOZPXLCYUQMHS-UHFFFAOYSA-N,C1CN(CCC1C2=NOC3=C2C=CC(=C3)F)CCCCC(=O)C4=CC5=C6C(=C4)CCN6C(=O)CC5
ALTKABGEMCJWJH-UHFFFAOYSA-N,C=CCN(CCC1=CNC2=C1C=C(C=C2)F)CC=C
AOSUTZCGNCJEJR-UHFFFAOYSA-N,CNC(=O)C1=NC=CC(=C1)OCCCCN2CCN(CC2)C3=C4C=CSC4=CC=C3
BETHXCLHMRGYBW-UHFFFAOYSA-N,C1CN(CC1(C2=CC=C(C=C2)Cl)O)CCCC(=O)C3=CC=C(C=C3)F
BKRGVLQUQGGVSM-KBXCAEBGSA-N,CCN(CC)C(=O)N[C@@H]1CN([C@@H]2CC3=CNC4=CC=CC(=C34)C2=C1)C
BNTGVINQADRYBE-UHFFFAOYSA-N,CC(C)(C)C1=CC(=CC(=C1)C2=CN3C=C(N=C3C=C2)NC(=O)C4=CC=C(C=C4)C(C)(C)C(=O)N5CCN(CC5)C)C(C)(C)C
BTEMXIHCAGOPHX-UHFFFAOYSA-N,C1CN(CCC1C2=NOC3=C2C=CC(=C3)F)CCCOC4=CC=C(C=C4)CCN5CCOCC5
BTSCZNWXJQSJIE-UHFFFAOYSA-N,CN(C)CC1CC2C3=CC=CC=C3CC4=CC=CC=C4N2O1
BWXKKFQODXKNLQ-UHFFFAOYSA-N,C1=CC2=NC=CN2C(=C1)C3=C(C=C(C=C3)OC4=NC=CC5=C4SC=C5)C(F)(F)F
BYPMJBXPNZMNQD-WHCYFCLHSA-N,[2H]C1=C(C(=C(C(=C1[2H])[2H])[C@@H]2C[C@H](C3=C2C=CC(=C3)Cl)N4CCN(C(C4)(C)C)C([2H])([2H])[2H])[2H])[2H]
CEUORZQYGODEFX-UHFFFAOYSA-N,C1CC(=O)NC2=C1C=CC(=C2)OCCCCN3CCN(CC3)C4=C(C(=CC=C4)Cl)Cl
CXQUOFVDYCOSEZ-UHFFFAOYSA-N,C1CC2CC(CC1N2CCCC(=O)C3=CC=C(C=C3)F)(C4=CC=C(C=C4)Cl)O
DVSMVUMYJDOPJQ-UHFFFAOYSA-N,CN1CCC2=C(C1)C3=CC=CC4=C3N2C5=CC=CC=C5CC4
FBCSWIXKXHSYBN-LSQWYULJSA-N,[2H]C1=C(C(=C(C(=C1[2H])[2H])[C@@H]2C[C@H](C3=C2C=CC(=C3)Cl)N4CCNC(C4)(C)C)[2H])[2H]
FJLHVGCNLNMUSS-UHFFFAOYSA-N,C1CN(CCN1CCCCN2C(=O)N3C=CC=C(C3=N2)F)C4=C5C=CSC5=CC=C4
FJUKDAZEABGEIH-UHFFFAOYSA-N,C1CN(CCC12C(=O)NCN2C3=CC=CC=C3)CCCOC4=CC=C(C=C4)F
