inchikey,target,dock
ACOZPXLCYUQMHS-UHFFFAOYSA-N,5va1,-7.63980865
ALTKABGEMCJWJH-UHFFFAOYSA-N,5va1,-5.42514229
AOSUTZCGNCJEJR-UHFFFAOYSA-N,5va1,-6.89888716
BETHXCLHMRGYBW-UHFFFAOYSA-N,5va1,-6.31864452
BKRGVLQUQGGVSM-KBXCAEBGSA-N,5va1,-6.50984859
BNTGVINQADRYBE-UHFFFAOYSA-N,5va1,-8.71752262
BTEMXIHCAGOPHX-UHFFFAOYSA-N,5va1,-7.29775143
BTSCZNWXJQSJIE-UHFFFAOYSA-N,5va1,-6.24458838
BWXKKFQODXKNLQ-UHFFFAOYSA-N,5va1,-7.4146924
BYPMJBXPNZMNQD-WHCYFCLHSA-N,5va1,-6.97816563
CEUORZQYGODEFX-UHFFFAOYSA-N,5va1,-6.62556601
CXQUOFVDYCOSEZ-UHFFFAOYSA-N,5va1,-6.99534655
DVSMVUMYJDOPJQ-UHFFFAOYSA-N,5va1,-6.58481789
FBCSWIXKXHSYBN-LSQWYULJSA-N,5va1,-7.11447191
FJLHVGCNLNMUSS-UHFFFAOYSA-N,5va1,-6.70694828
FJUKDAZEABGEIH-UHFFFAOYSA-N,5va1,-6.69347954
FLGSUSWMWSZVMP-UHFFFAOYSA-N,5va1,-6.47006845
FPVHORFNDSKMPV-UHFFFAOYSA-N,5va1,-6.86926651
FQKULTHPCINDHU-UHFFFAOYSA-N,5va1,
GXZWKZAOGQRNTL-UHFFFAOYSA-N,5va1,-7.51896286
GZKLJWGUPQBVJQ-UHFFFAOYSA-N,5va1,-7.83793402
HTDIOUCPOHFDQH-UHFFFAOYSA-N,5va1,-5.09610415
HVSRNYNPOUFDNJ-UHFFFAOYSA-N,5va1,-5.57958221
HWAIAGZSWHOLLK-UHFFFAOYSA-N,5va1,-6.75642729
ILCIQMQWVOJQBG-UHFFFAOYSA-N,5va1,-6.89549494
JCSJNNBJTFWLCL-UHFFFAOYSA-N,5va1,-7.91375971
JTLCTTWVUAIQHD-UHFFFAOYSA-N,5va1,-6.95969486
JUQLTPCYUFPYKE-UHFFFAOYSA-N,5va1,-7.79653549
JWPAYBAIIARWMG-UHFFFAOYSA-N,5va1,-5.31577682
KHQGQEHXELFETD-UHFFFAOYSA-N,5va1,-7.04446268
KVJXXDNXTCGJKY-BRNYJPRKSA-N,5va1,-6.96700478
KVWDHTXUZHCGIO-UHFFFAOYSA-N,5va1,-5.88317776
KWZBJWOQFABHPF-UHFFFAOYSA-N,5va1,-6.89508629
KZVXSSLUUGFVFR-UHFFFAOYSA-N,5va1,-6.49296141
LDAHGSIPSNYPMF-UHFFFAOYSA-N,5va1,-6.59216738
LFATXWJLBURBCJ-UHFFFAOYSA-N,5va1,-7.13616848
LNEPOXFFQSENCJ-UHFFFAOYSA-N,5va1,-7.01006222
MCWADYMQWQHSRA-UHFFFAOYSA-N,5va1,-6.10724974
MJJALKDDGIKVBE-UHFFFAOYSA-N,5va1,-7.21916389
MSQRTETUBFIHMP-UHFFFAOYSA-N,5va1,-6.90754128
MVVKKFHFADVKMW-UHFFFAOYSA-N,5va1,-6.88882494
MVWVFYHBGMAFLY-UHFFFAOYSA-N,5va1,-7.32635593
NZDANPPRKVYGPL-UHFFFAOYSA-N,5va1,-6.78744316
PAZJLCGVFVMKKH-UHFFFAOYSA-N,5va1,-6.8345027
PGGCRGAETLNAJC-UHFFFAOYSA-N,5va1,-5.96483898
PLDUPXSUYLZYBN-UHFFFAOYSA-N,5va1,-6.40559864
PMXMIIMHBWHSKN-UHFFFAOYSA-N,5va1,-7.33284426
PNCPYILNMDWPEY-QGZVFWFLSA-N,5va1,-6.54737568
QBXXUIOGPPBTJN-UHFFFAOYSA-N,5va1,-7.6197896
QNKGTIWNFNPEJL-UHFFFAOYSA-N,5va1,-6.86010408
QTDHTTNBIMOVCI-BRNYJPRKSA-N,5va1,-6.87641668
QZUDBNBUXVUHMW-UHFFFAOYSA-N,5va1,-6.29778576
RAPZEAPATHNIPO-UHFFFAOYSA-N,5va1,-7.1419282
RPHDOVLXDYWDGF-UHFFFAOYSA-N,5va1,-6.01033115
RRTCFJGKAMKAIY-UHFFFAOYSA-N,5va1,-6.94411421
SGVJKODGLNRNLW-UHFFFAOYSA-N,5va1,-7.04598904
SHFBSNNAMYYULF-UHFFFAOYSA-N,5va1,-6.71976995
SPMHWCSUNSWHDK-UHFFFAOYSA-N,5va1,-6.75309086
TVTNBOZUNDIPJR-UHFFFAOYSA-N,5va1,-7.07786608
TZFKQPVOFBQHAZ-UHFFFAOYSA-N,5va1,-6.62877131
UEQUQVLFIPOEMF-UHFFFAOYSA-N,5va1,-6.92284155
UOXWVJAPLQMAAN-UHFFFAOYSA-N,5va1,-7.15000057
URKOMYMAXPYINW-UHFFFAOYSA-N,5va1,-6.07375288
UWPUFUJRTFJLEP-UHFFFAOYSA-N,5va1,-6.23513031
VGIGHGMPMUCLIQ-UHFFFAOYSA-N,5va1,-7.66426373
VKNIGNGTZIYLFI-UHFFFAOYSA-N,5va1,-6.95991802
WAIZFEIVFOBJJX-UHFFFAOYSA-N,5va1,-7.18124008
WEGLOYDTDILXDA-HNNXBMFYSA-N,5va1,-6.40167189
XMFRRROSDAWYLB-UHFFFAOYSA-N,5va1,-6.95560932
XRJGWSMTLAFHBN-UHFFFAOYSA-N,5va1,-4.96275759
YEHCICAEULNIGD-MZMPZRCHSA-N,5va1,-5.52861357
YVENIGOVHPMTDH-UHFFFAOYSA-N,5va1,-6.51617908
ZKIAIYBUSXZPLP-UHFFFAOYSA-N,5va1,-6.86644936
ZKXUDWLJTFYOAN-UHFFFAOYSA-N,5va1,-7.38700914
ZPEIMTDSQAKGNT-UHFFFAOYSA-N,5va1,-5.31710148
ACOZPXLCYUQMHS-UHFFFAOYSA-N,6cm4,-11.3683567
ALTKABGEMCJWJH-UHFFFAOYSA-N,6cm4,-7.68403864
AOSUTZCGNCJEJR-UHFFFAOYSA-N,6cm4,-8.60354805
BETHXCLHMRGYBW-UHFFFAOYSA-N,6cm4,-10.0612249
BKRGVLQUQGGVSM-KBXCAEBGSA-N,6cm4,-9.13504219
BNTGVINQADRYBE-UHFFFAOYSA-N,6cm4,-10.3985023
BTEMXIHCAGOPHX-UHFFFAOYSA-N,6cm4,-10.2296743
BTSCZNWXJQSJIE-UHFFFAOYSA-N,6cm4,-9.01709747
BWXKKFQODXKNLQ-UHFFFAOYSA-N,6cm4,-9.53413773
BYPMJBXPNZMNQD-WHCYFCLHSA-N,6cm4,-9.42743492
CEUORZQYGODEFX-UHFFFAOYSA-N,6cm4,-10.3245173
CXQUOFVDYCOSEZ-UHFFFAOYSA-N,6cm4,-9.94939804
DVSMVUMYJDOPJQ-UHFFFAOYSA-N,6cm4,-8.92763805
FBCSWIXKXHSYBN-LSQWYULJSA-N,6cm4,-9.80548382
FJLHVGCNLNMUSS-UHFFFAOYSA-N,6cm4,-9.464118
FJUKDAZEABGEIH-UHFFFAOYSA-N,6cm4,-9.39295959
FLGSUSWMWSZVMP-UHFFFAOYSA-N,6cm4,-10.4200478
