ligand_id,target,rfscore,smina_vina,orig_vina
4155,1m2z,3.513434946164951,-1.12466776,-1.0
847,1m2z,4.711784049894551,-3.48056602,-3.5
15650,1m2z,4.950449783882783,-5.66650391,-5.0
969,1m2z,5.921056113275612,-5.57495642,-5.5
2196,1m2z,4.6423222044622054,-4.55506182,-4.9
7033,1m2z,6.072433603119102,-6.55892849,-6.4
945,1m2z,6.166825156565655,-6.33941174,-6.2
15715,1m2z,6.441208271728278,-5.96408319,-5.8
5041,1m2z,6.044705677489175,-6.43964577,-6.4
9141,1m2z,5.849112633644131,-6.87228012,-6.9
2787,1m2z,5.516955255411264,-4.70005226,-4.7
2472,1m2z,,-6.67228651,-6.8
5753,1m2z,5.632316793650785,-4.74585342,-4.5
3470,1m2z,7.300542126984124,-6.5515027,-6.6
9099,1m2z,6.310134667388171,-6.90376568,-7.0
10838,1m2z,6.475885002886009,-4.92737055,-5.1
10372,1m2z,6.335771296314795,-7.27576256,-7.2
8747,1m2z,6.287876405871909,-6.5635376,-8.1
6061,1m2z,6.686966887556887,-7.03385687,-7.0
6204,1m2z,7.430248011544007,-6.56554174,-7.0
5562,1m2z,5.528562090298593,-7.71251965,-8.6
49,1m2z,6.259434785714286,-8.12354374,-8.3
5799,1m2z,7.159251181818171,-5.94600201,-7.1
3827,1m2z,5.871965082722835,-6.9459486,-7.6
11420,1m2z,6.752820026862029,-5.55970478,-6.5
3596,1m2z,6.58689541441892,-7.7494545,-7.5
9428,1m2z,6.265958630480633,-6.7960844,-8.1
10991,1m2z,6.373178843434348,-5.07512045,-5.5
14663,1m2z,7.527924015873013,-7.32764912,-8.6
11990,1m2z,5.022681522366522,-6.28513145,-7.3
3353,1m2z,7.095641681707181,-7.35432816,-7.2
3496,1m2z,,-5.5486331,-6.4
2461,1m2z,5.441728380397375,-4.62290192,-4.5
13116,1m2z,,-6.61493111,-6.1
13670,1m2z,6.386747400377396,-6.39501047,-8.4
9550,1m2z,6.911026360250852,-6.53451443,-6.5
8215,1m2z,6.510707380674876,-6.79747915,-9.4
6955,1m2z,6.065585458152966,-5.78778315,-6.7
8587,1m2z,7.109193257187255,-8.41537189,-8.0
13089,1m2z,,-7.16007471,-7.6
8652,1m2z,7.133424016650014,-7.48330975,-7.7
12840,1m2z,6.084698284215783,-8.89291382,-8.8
14079,1m2z,6.814838793817289,-8.30808163,-9.0
428,1m2z,7.527216426573428,-7.33670568,-8.0
15096,1m2z,6.699013807137313,-7.77973413,-6.5
1155,1m2z,5.7539118542568595,-8.9351387,-7.9
12216,1m2z,,-7.12824249,
4344,1m2z,6.083634710678209,-9.0234499,
4155,3b66,3.5267603509268555,-1.21150219,-1.2
847,3b66,4.700046468753467,-3.8303082,-3.8
15650,3b66,5.023978112554111,-5.42543364,-4.9
969,3b66,5.273917836219338,-6.36277342,-5.8
2196,3b66,4.614353158286155,-5.26148939,-4.4
7033,3b66,5.441843660117658,-7.20055628,-5.6
945,3b66,5.857767817127312,-7.12923527,-6.2
15715,3b66,6.453549014874018,-5.74013138,-5.7
5041,3b66,5.475732836940838,-7.18986607,-6.3
9141,3b66,5.553665308580306,-7.65893221,-6.8
2787,3b66,5.502147936507937,-4.89219332,-4.5
2472,3b66,,-6.69462872,-6.7
5753,3b66,5.794054532412023,-5.05431747,-4.2
3470,3b66,7.348799396825394,-6.92369795,-7.1
9099,3b66,5.742794796259298,-6.51566029,-6.0
10838,3b66,6.595391255577763,-5.53986835,-5.4
10372,3b66,5.481348865634371,-7.99580765,-7.3
8747,3b66,6.3475139725829655,-7.398242,-7.1
6061,3b66,6.867773245476749,-7.02828503,-6.8
6204,3b66,7.474263352813848,-6.87929106,-6.7
5562,3b66,5.455582660228665,-9.29367352,-7.8
49,3b66,5.549745085137084,-7.75814056,-6.7
5799,3b66,6.851038315184813,-6.83881426,-6.6
3827,3b66,7.078022699245198,-8.61526585,-7.0
11420,3b66,7.352890961094464,-7.39370871,-7.1
3596,3b66,6.6331726731601774,-8.12843513,-7.9
9428,3b66,6.8840531566766625,-7.83479548,-8.0
10991,3b66,6.923664019647017,-6.28916836,-5.8
14663,3b66,7.6313617061827035,-8.19609737,-8.0
11990,3b66,7.177425708513716,-7.9443388,-7.6
3353,3b66,7.226440942279939,-5.50912619,-5.6
3496,3b66,,-6.65364027,-6.2
2461,3b66,5.2569976236541205,-5.26339388,-4.5
13116,3b66,,-4.92525387,-5.1
13670,3b66,6.966314722222221,-8.14688587,-8.1
9550,3b66,7.954834257575751,-7.4965868,-6.5
8215,3b66,7.139859101454106,-8.37068081,-8.2
6955,3b66,5.560727017926516,-6.84937143,-6.5
8587,3b66,7.186557350760342,-8.35569763,-7.7
13089,3b66,,-7.73456478,-5.0
8652,3b66,7.4407165355755245,-7.95736265,-7.1
12840,3b66,6.032117743090245,-6.91223669,-6.9
14079,3b66,6.272495556221553,-6.29922819,-7.2
428,3b66,7.952227246753244,-8.91275692,-6.6
15096,3b66,6.649390894660897,-5.28129816,-1.2
1155,3b66,5.953232061605065,-6.9786911,
12216,3b66,,-4.14092016,
4344,3b66,5.888361066211565,-4.77313566,
4155,1xoq,3.5382079750249784,-0.94764179,-1.0
847,1xoq,4.512038677267175,-3.30663919,-3.5
15650,1xoq,5.799854647130645,-5.67139244,-5.4
969,1xoq,4.412099886557886,-5.18369246,-6.0
2196,1xoq,4.666690429681427,-4.58645201,-4.4
7033,1xoq,4.276196284049285,-5.31933451,-5.5
945,1xoq,5.218319771173273,-6.32310963,-7.1
15715,1xoq,5.146804321789325,-5.05534077,-5.0
5041,1xoq,4.942591829503829,-5.44343901,-6.6
9141,1xoq,4.698941746808746,-6.74659109,-7.0
2787,1xoq,5.847191961760459,-4.22072124,-4.2
2472,1xoq,,-5.98242712,-6.3
5753,1xoq,5.76458987590187,-4.20504379,-4.3
3470,1xoq,5.6422233604173595,-6.67350388,-7.1
9099,1xoq,4.988982422188924,-5.9106617,-6.6
10838,1xoq,5.5603376649461635,-4.61660099,-4.8
10372,1xoq,5.394433256410258,-7.72675133,-6.5
8747,1xoq,5.128368779775778,-5.72586489,-8.1
6061,1xoq,4.58891487096237,-5.07211542,-6.5
6204,1xoq,5.274087261571764,-5.56050158,-7.3
5562,1xoq,5.510766920801417,-7.43703127,-8.2
49,1xoq,5.344430003996001,-6.26538754,-7.5
5799,1xoq,6.896887791541787,-5.73566961,-6.4
3827,1xoq,6.953641355977359,-6.67069197,-7.5
11420,1xoq,5.874662398268401,-5.274827,-6.5
3596,1xoq,5.625022656565652,-6.48777676,-7.4
9428,1xoq,6.370009914307912,-6.9171257,-7.7
10991,1xoq,5.0381782886002915,-4.30256033,-5.3
14663,1xoq,6.382674278110772,-7.17319012,-8.4
11990,1xoq,5.691852269647023,-5.72876501,-6.8
3353,1xoq,6.033651662504158,-5.88750315,-7.1
3496,1xoq,,-3.92310262,-6.0
2461,1xoq,4.861226193195695,-4.22944498,-5.2
13116,1xoq,,-5.55686712,-6.6
13670,1xoq,5.635174888000889,-6.21888256,-7.3
9550,1xoq,6.484792460983458,-5.76837683,-6.0
8215,1xoq,6.816905240315241,-7.56021786,-8.0
6955,1xoq,6.040821489010988,-5.78733301,-6.8
8587,1xoq,6.972842463924957,-7.36733723,-9.4
13089,1xoq,,-6.42834044,-8.0
8652,1xoq,6.407364753857254,-5.63528109,-6.6
12840,1xoq,4.639855845876346,-6.03130198,-6.9
14079,1xoq,6.272431621378623,-7.28549433,-10.1
428,1xoq,7.056579602120096,-6.08282089,-7.6
15096,1xoq,6.777066915084916,-5.75132751,-8.3
1155,1xoq,5.854682272727275,-8.48797703,-8.5
12216,1xoq,,-6.059196,-8.1
4344,1xoq,6.049535014097016,-9.27138329,-9.8
4155,3ln1,3.5430326416916453,-0.834944367,-1.2
847,3ln1,4.508416286935291,-3.11120963,-3.6
15650,3ln1,5.47784138594738,-6.05192947,-5.4
969,3ln1,4.092718977466977,-5.55429459,-5.8
2196,3ln1,4.228291696303695,-3.5583024,-4.6
7033,3ln1,4.027205668720173,-4.74073982,-6.2
945,3ln1,3.943996497336,-5.15244818,-6.4
15715,3ln1,4.783018337384841,-4.3888278,-5.7
5041,3ln1,4.458374821345316,-4.80372095,-7.4
9141,3ln1,4.540853982517479,-6.0758338,-6.8
2787,3ln1,4.832767178210681,-3.99335241,-4.8
2472,3ln1,,-5.96425724,-7.2
5753,3ln1,5.904008103174601,-4.3776865,-4.3
3470,3ln1,5.842733788211792,-5.0108552,-7.3
9099,3ln1,4.97068938963814,-5.71461105,-7.1
10838,3ln1,5.723953987900986,-4.82286453,-5.5
10372,3ln1,4.163004918858922,-5.12613392,-7.3
8747,3ln1,5.76467161149961,-5.40379715,-8.2
6061,3ln1,5.507695808635812,-5.10178566,-7.2
6204,3ln1,5.415347031413033,-5.21522903,-7.7
5562,3ln1,5.7497514219669235,-6.67958832,-8.9
49,3ln1,5.458640178099676,-5.93431759,-8.2
5799,3ln1,6.209100490009981,-5.30496931,-7.6
3827,3ln1,4.946557056415809,-6.87886906,-8.6
11420,3ln1,6.088700917471412,-4.62171173,-7.8
3596,3ln1,4.9958677797757804,-5.39752245,-8.1
9428,3ln1,6.211163795593295,-6.28538609,-9.2
10991,3ln1,5.620615150072149,-4.31427002,-5.6
14663,3ln1,6.953508997668992,-7.02658081,-9.3
11990,3ln1,5.456840731268734,-5.64078331,-7.7
3353,3ln1,6.789489828393822,-6.16044235,-8.2
3496,3ln1,,-4.18164539,-6.1
2461,3ln1,5.290494757298258,-3.93043447,-4.7
13116,3ln1,,-5.31304455,-6.0
13670,3ln1,5.7544020545010515,-5.58110905,-9.4
9550,3ln1,6.107802250305253,-4.36367416,-6.1
8215,3ln1,6.5115817601842645,-5.70663309,-10.2
6955,3ln1,6.289924778332781,-5.43167639,-7.0
8587,3ln1,7.201161570984567,-7.48003912,-9.4
13089,3ln1,,-6.73431206,-9.0
8652,3ln1,6.37690682561882,-5.38700294,-7.0
12840,3ln1,4.526155097513599,-6.05355501,-7.5
14079,3ln1,6.761605196969691,-7.99877691,-6.9
