ligand_id,target,rfscore,orig_vina
4155,1m2z,3.513434946164951,-1.0
1596,1m2z,4.978972324786321,-4.5
4642,1m2z,4.2186724959485025,-4.5
11921,1m2z,5.130880960428456,-4.9
4765,1m2z,5.557450176878676,-6.1
2784,1m2z,6.0976323730158795,-6.1
2155,1m2z,6.257234556721059,-6.9
1565,1m2z,5.1175571396381425,-6.5
9184,1m2z,5.950136130536129,-7.0
10614,1m2z,,-6.1
6080,1m2z,4.923967827283831,-5.7
12886,1m2z,5.08978313741814,-6.2
3312,1m2z,7.164316669164167,-6.6
13905,1m2z,5.590972023254523,-6.7
10699,1m2z,,-7.5
12063,1m2z,5.480407024475525,-7.3
1038,1m2z,6.20762446869797,-5.7
568,1m2z,6.7641181847041905,-6.8
11932,1m2z,5.516789747918754,-7.3
15210,1m2z,5.20147908719058,-8.2
7984,1m2z,5.987153017316023,-5.9
9010,1m2z,5.298711509490504,-6.8
6971,1m2z,6.254413620379623,-7.9
13019,1m2z,6.228943105270543,-6.9
12312,1m2z,6.4909624423354355,-8.4
12956,1m2z,5.8826888086358045,-7.5
5790,1m2z,6.015225519480519,-8.0
10782,1m2z,6.3558762449217445,-8.9
12679,1m2z,6.641507984182477,-8.3
14010,1m2z,7.033433027306021,-9.7
14600,1m2z,6.523481517760013,-8.3
4220,1m2z,,-6.0
8026,1m2z,6.535832584915085,-8.6
13380,1m2z,6.195465819833755,-8.6
10751,1m2z,7.303719605783097,-7.1
2381,1m2z,,-7.8
9151,1m2z,5.541465338994338,-7.5
15941,1m2z,7.0583852262737246,-6.6
11286,1m2z,6.4141946507936485,-5.2
4155,3b66,3.524663684260189,-1.2
1596,3b66,4.79030605294705,-4.6
4642,3b66,4.391422906648906,-4.2
11921,3b66,5.229604090853591,-4.6
4765,3b66,5.537684817571318,-6.3
2784,3b66,6.196734690476195,-6.6
2155,3b66,6.189081162060164,-7.0
1565,3b66,5.779407391262337,-6.8
9184,3b66,5.353297932733937,-7.4
10614,3b66,,-6.0
6080,3b66,5.676412480450918,-6.3
12886,3b66,6.613469018204024,-7.0
3312,3b66,7.166572208846704,-6.6
13905,3b66,6.6709204044289105,-6.7
10699,3b66,,-6.7
12063,3b66,6.0808789247419295,-7.6
1038,3b66,7.271413997835489,-5.6
568,3b66,6.744218192252196,-6.9
11932,3b66,6.746025901154404,-6.4
15210,3b66,7.626449384171382,-7.9
7984,3b66,5.990305580808084,-5.9
9010,3b66,6.236691993395495,-6.4
6971,3b66,7.693305363636367,-8.5
13019,3b66,6.194551513639952,-6.5
12312,3b66,7.926381442779446,-8.2
12956,3b66,6.859953672438668,-8.2
5790,3b66,4.9946037010767,-6.1
10782,3b66,5.155340530303033,-8.4
12679,3b66,7.123084692085692,-8.7
14010,3b66,6.800252245032745,-8.0
14600,3b66,6.894490918581415,-3.0
4220,3b66,,-5.3
8026,3b66,5.302340618381617,-6.7
13380,3b66,6.30125968109668,-7.8
10751,3b66,5.620129207070709,-9.2
2381,3b66,,-7.4
9151,3b66,5.7602123568653525,-5.1
15941,3b66,5.7063794646464645,-1.9
11286,3b66,6.090104433621924,-2.8
4155,1xoq,3.5382079750249784,-1.0
1596,1xoq,5.047919386946387,-4.8
4642,1xoq,4.006207803307806,-4.5
11921,1xoq,3.633660332778334,-5.1
4765,1xoq,5.006996094017087,-6.5
2784,1xoq,4.529853280552777,-6.6
2155,1xoq,3.9213713536463555,-7.7
1565,1xoq,4.494356436285938,-6.8
9184,1xoq,5.262283199078701,-6.5
10614,1xoq,,-6.1
6080,1xoq,4.764804180597179,-6.1
12886,1xoq,4.16031546081696,-6.4
3312,1xoq,5.736521404761905,-6.7
13905,1xoq,5.487862061882555,-6.7
10699,1xoq,,-6.4
12063,1xoq,5.0465782043512055,-7.3
1038,1xoq,5.9841560495060495,-5.1
568,1xoq,5.07798968858918,-6.7
11932,1xoq,5.190626576479081,-7.2
15210,1xoq,6.116351776945278,-7.6
7984,1xoq,4.810339180208677,-5.8
9010,1xoq,5.130431942279941,-6.3
6971,1xoq,5.1687368605838655,-6.9
13019,1xoq,4.630362377788877,-6.3
12312,1xoq,5.902765823232322,-7.8
12956,1xoq,5.747948950937951,-7.7
5790,1xoq,6.150444826895327,-6.9
10782,1xoq,6.513582470307474,-8.3
12679,1xoq,6.268379245865242,-9.2
14010,1xoq,6.290590372294375,-8.9
14600,1xoq,6.58734102525252,-10.0
4220,1xoq,,-6.0
8026,1xoq,5.731615328726822,-7.5
13380,1xoq,4.6402867503052505,-7.5
10751,1xoq,7.140236596348085,-10.0
2381,1xoq,,-7.8
9151,1xoq,6.678259903318907,-8.4
15941,1xoq,6.7060004565989555,-7.4
11286,1xoq,5.841817539682531,-7.0
4155,3ln1,3.5430326416916453,-1.2
1596,3ln1,5.058426588245087,-5.0
4642,3ln1,4.324158536075038,-4.5
11921,3ln1,4.6735423134088085,-5.2
4765,3ln1,3.289112913641913,-6.8
2784,3ln1,4.1610289834054806,-6.6
2155,3ln1,4.596590731268728,-7.4
1565,3ln1,4.709410487900992,-7.1
9184,3ln1,4.219073723554224,-7.2
10614,3ln1,,-6.6
6080,3ln1,4.694619602730603,-6.6
12886,3ln1,4.1570003824508825,-6.6
3312,3ln1,6.071394027084023,-6.9
13905,3ln1,4.660589528138525,-6.9
10699,3ln1,,-7.8
12063,3ln1,5.364939979964479,-8.2
1038,3ln1,5.8170872421467426,-5.8
568,3ln1,5.037349475968476,-7.2
11932,3ln1,5.049134519647022,-7.4
15210,3ln1,5.264297072316572,-8.4
7984,3ln1,4.091237091020089,-6.3
9010,3ln1,4.810157545454544,-7.0
6971,3ln1,5.46216192279942,-8.4
13019,3ln1,4.703083267676772,-6.9
12312,3ln1,5.235884367965362,-8.5
12956,3ln1,4.20087883938284,-7.8
5790,3ln1,5.7537385337440305,-6.9
10782,3ln1,5.8537446328116385,-8.3
12679,3ln1,5.04709955932956,-8.2
14010,3ln1,5.62906761038961,-9.5
14600,3ln1,6.363414052558545,-7.2
4220,3ln1,,-4.6
8026,3ln1,5.349514593795087,-6.5
13380,3ln1,4.910702839216336,-9.3
10751,3ln1,6.056534145021648,-9.0
2381,3ln1,,-6.6
9151,3ln1,6.06621490503941,-6.4
15941,3ln1,6.771062228895282,-3.8
11286,3ln1,5.960860979076473,-3.4
4155,4ey7,3.5490486160506194,-1.1
1596,4ey7,5.023036036519032,-5.1
4642,4ey7,4.592434152791657,-4.8
11921,4ey7,5.106200827339328,-5.0
4765,4ey7,4.940416716894215,-6.8
2784,4ey7,5.146011443056944,-7.4
2155,4ey7,5.438575901709401,-8.0
1565,4ey7,5.247532381174383,-7.3
9184,4ey7,5.227910953435457,-7.9
10614,4ey7,,-6.8
6080,4ey7,5.041624715229219,-6.7
12886,4ey7,5.603145552336551,-6.8
3312,4ey7,7.030654472582974,-7.0
13905,4ey7,6.05656485481185,-7.7
10699,4ey7,,-7.6
12063,4ey7,6.038974503163504,-8.4
1038,4ey7,7.20937917388167,-6.2
568,4ey7,5.653406709068707,-7.5
11932,4ey7,5.5101401649461685,-7.9
15210,4ey7,6.09541224619825,-8.8
7984,4ey7,4.66074390970141,-6.5
9010,4ey7,5.607881205738699,-7.5
6971,4ey7,6.365264220501717,-9.6
13019,4ey7,4.783022286435783,-7.8
12312,4ey7,7.2329048730158725,-8.1
12956,4ey7,5.891899374347875,-8.8
5790,4ey7,5.031962765123767,-8.4
10782,4ey7,6.84879013747364,-10.6
12679,4ey7,6.926760273171269,-10.0
14010,4ey7,6.68589974159174,-9.8
14600,4ey7,6.9712372029082,-11.9
4220,4ey7,,-7.1
8026,4ey7,7.385504414030417,-9.4
13380,4ey7,6.023509005217001,-9.0
10751,4ey7,7.168568054223551,-11.4
2381,4ey7,,-9.5
9151,4ey7,5.6960828131313175,-8.8
15941,4ey7,7.91104858608059,-8.1
11286,4ey7,6.457073865079365,-9.6
4155,2z5x,3.5548041925296987,-1.1
1596,2z5x,5.749073371239874,-4.8
4642,2z5x,5.1550712847152855,-4.6
11921,2z5x,5.897534195193696,-5.1
4765,2z5x,5.445306921023423,-6.9
2784,2z5x,6.294465852813852,-6.9
2155,2z5x,6.406199764069265,-7.9
1565,2z5x,5.885250135129583,-7.3
9184,2z5x,5.854187111111107,-7.5
10614,2z5x,,-6.9
6080,2z5x,5.701687665155106,-6.7
12886,2z5x,6.844993430347433,-6.9
3312,2z5x,7.1682368163503165,-6.8
13905,2z5x,6.659758247530249,-7.5
10699,2z5x,,-7.7
12063,2z5x,7.023667593795094,-8.2
1038,2z5x,7.3153648654123655,-5.9
568,2z5x,6.927777420079923,-7.4
11932,2z5x,6.52058376706627,-7.6
15210,2z5x,7.615436497224989,-9.0
7984,2z5x,5.633518256132753,-6.5
9010,2z5x,6.318712577089578,-7.5
6971,2z5x,7.61744988999889,-7.4
13019,2z5x,6.2226004273373645,-7.0
12312,2z5x,7.649447803030308,-8.6
12956,2z5x,6.57505207936508,-8.3
5790,2z5x,6.8983457988123025,-6.6
10782,2z5x,7.5402320656565625,-9.8
12679,2z5x,7.332881177489173,-9.7
14010,2z5x,7.999173748196247,-9.6
14600,2z5x,7.690601015706522,-11.3
4220,2z5x,,-6.7
8026,2z5x,5.40910495621045,-8.2
13380,2z5x,6.233535104340103,-8.7
10751,2z5x,8.16100913503163,-10.9
2381,2z5x,,-9.0
9151,2z5x,7.969403656732165,-7.0
15941,2z5x,8.149793597957602,-7.5
11286,2z5x,7.0487589039849015,-8.2
4155,7kwe,3.534187975024979,-1.0
1596,7kwe,5.693761622766118,-5.1
4642,7kwe,5.137026702519697,-4.5
11921,7kwe,5.517931930458427,-5.6
4765,7kwe,5.320635638750132,-6.3
2784,7kwe,5.611293339604834,-7.1
2155,7kwe,5.799147761682758,-8.8
1565,7kwe,5.538153453033892,-7.2
9184,7kwe,5.6179823120213115,-7.8
10614,7kwe,,-6.0
6080,7kwe,5.498317962135901,-6.4
12886,7kwe,6.698193720668214,-6.4
3312,7kwe,7.657865475857472,-6.7
13905,7kwe,6.726636412143412,-7.6
10699,7kwe,,-7.2
12063,7kwe,6.822393417859909,-7.2
1038,7kwe,7.843212794316793,-5.4
568,7kwe,6.018644133144627,-6.8
11932,7kwe,6.16076264818515,-7.5
15210,7kwe,6.893056988469043,-7.8
7984,7kwe,5.963833854034851,-6.2
9010,7kwe,5.7495014046509,-6.3
6971,7kwe,6.963796524697523,-7.7
13019,7kwe,6.177944788365227,-6.8
12312,7kwe,7.3172393812298795,-8.2
12956,7kwe,6.32311526406926,-7.8
5790,7kwe,7.1136952950382915,-7.1
10782,7kwe,6.948423003940503,-8.5
12679,7kwe,6.958443022977028,-9.4
14010,7kwe,7.5662634072594095,-9.5
14600,7kwe,8.236732294538797,-10.4
4220,7kwe,,-5.9
8026,7kwe,7.314208652125649,-7.5
13380,7kwe,6.166046675435672,-8.1
10751,7kwe,7.803193169275166,-10.2
2381,7kwe,,-8.3
9151,7kwe,7.21231731168831,-8.5
15941,7kwe,8.17287852336553,-8.1
11286,7kwe,6.583767944444441,-7.4
4155,6cm4,3.4660673790653833,-1.2
1596,6cm4,5.130093130480628,-4.8
4642,6cm4,4.791770588744585,-4.5
11921,6cm4,5.228600442390938,-5.0
4765,6cm4,5.304460832112335,-6.5
2784,6cm4,6.034365992063496,-6.1
2155,6cm4,6.569473963924967,-7.6
1565,6cm4,5.997736646618087,-7.2
9184,6cm4,5.839793310633805,-7.9
10614,6cm4,,-6.4
