path,bytes,sha256,role,source,version,license,redistribution
data/frozen/df_final_v4.csv.gz,13283042,25436e49b9fc80421d8499ef289ed8ef00b4ab35b904c7d930fc377f493e1d51,Docking-44 matrix,Nikitin et al. Pharmaceutics 2025 doi:10.3390/pharmaceutics17121573,frozen project export 2026-07-30,CC BY 4.0,Included with attribution
data/frozen/dockstring-dataset.tsv.gz,26561332,e15a58258dbd613374e499bb17e5428a0df3f1f53b34758042f8e3cd3b53eb64,DOCKSTRING score matrix,Figshare doi:10.6084/m9.figshare.16511577.v1,version 1,Apache-2.0,Included under source license
data/frozen/negative_results_paper/analysis/honest_dock_scores.csv,20156,51b199a98797ecf74277a87030d718375914b767b2a5e1243ae0c593a4bf2a24,Matched 74x6 docking block,Derived by the manuscript authors,frozen 2026-07-30,CC BY 4.0,Included with method provenance
data/frozen/negative_results_paper/analysis/chembl_affinity_long.csv.gz,1873792,656a989dd3ddec6bdf212e27cfcc9b79fe37b6c3dfec0a684d843c23217f3526,Curated ChEMBL affinity table,ChEMBL release 34,release 34,CC BY-SA 3.0,Included under ChEMBL terms
data/frozen/negative_results_paper/analysis/chembl_activities_full.csv.gz,6053236,aa06d73bf9f5b6cf14bb5bb9cfb7cbb81a9961172237e72bc5d2aab71c52b0f6,Activity-level ChEMBL metadata and repeats,ChEMBL release 34,release 34,CC BY-SA 3.0,Included under ChEMBL terms
data/frozen/negative_results_paper/analysis/exp_positive_control_smiles.csv,6202,589340f850755aa796b9626260313fdaa0173b4bc3632dbd4497fa2f52a327c6,SMILES for the matched 74-ligand physicochemical control,Curated by the manuscript authors using PubChem records,frozen 2026-07-30,CC BY 4.0,Included with PubChem provenance
data/frozen/negative_results_paper/analysis/review_assay_heterogeneity_summary.json,1777,278c85a21b7976081ea69b78f5d8dc554873ef49b2d8f635149c66fe4e311014,Assay-restriction summary,Derived by the manuscript authors,frozen seed 0,CC BY-SA 3.0,Included under ChEMBL-compatible terms
data/frozen/negative_results_paper/analysis/exp_imputation_robustness_summary.json,1486,8a1e658bec02843ff2610cad05e0d9f951a5aca06bee4fa10fb475776b131428,Imputation summary,Derived by the manuscript authors,frozen seed 0,CC BY-SA 3.0,Included under ChEMBL-compatible terms
data/frozen/negative_results_paper/analysis/dd_chembl_provenance_summary.json,1632,ca27e5a51eefbdfe385640389f7275867cee62bb201379bab362ca4d73bef11d,ChEMBL repeatability summary,Derived by the manuscript authors from ChEMBL 34,frozen seed 0,CC BY-SA 3.0,Included under ChEMBL terms
data/frozen/negative_results_paper/analysis/exp_ledoitwolf_summary.json,2421,2d505f103f1384480f11e1b1de1c6991c831dea547e7c4d8e1e271621640ae81,Covariance-shrinkage summary,Derived by the manuscript authors from ChEMBL 34,frozen seed 0,CC BY-SA 3.0,Included under ChEMBL-compatible terms
data/frozen/negative_results_paper/analysis/rank_robustness_summary.json,1006,6fb60a88178e21bd9bbd99045c10e04b078812115970f2e6db013f7a95111240,Docking-44 bootstrap and physicochemical sensitivity,Derived by the manuscript authors,frozen seed 0,CC BY 4.0,Included
data/frozen/negative_results_paper/analysis/review_dockstring_rmt_summary.json,1864,93b96ef4966f2c7dcb8b6b949dc089f4d8d45dc6d1c1744c045d4836c6b0db48,DOCKSTRING bootstrap summary,Derived from DOCKSTRING v1,frozen seed 0,Apache-2.0,Included with source attribution
data/frozen/negative_results_paper/analysis/physchem_depth_summary.json,998,c48aaac976e73bb5478c0a109e80ac1435f9e95c773c5c4535e9e02b1f894f6e,Physicochemical sensitivity summary,Derived by the manuscript authors,frozen seed 0,CC BY 4.0,Included
