source,role_in_v5,redistributed,access,sha256,integrity,license,fetcher,provenance_record
Docking-44 (Nikitin 2025),44-receptor score matrix; spectral results; exploratory pocket association,yes,data/frozen/df_final_v4.csv.gz,25436e49b9fc80421d8499ef289ed8ef00b4ab35b904c7d930fc377f493e1d51,,CC BY 4.0,n/a (included),data_manifest.csv
DOCKSTRING v1,58-target score matrix; fixed-pose block; calibration recovery,yes,data/frozen/dockstring-dataset.tsv.gz,e15a58258dbd613374e499bb17e5428a0df3f1f53b34758042f8e3cd3b53eb64,,Apache-2.0,n/a (included),data_manifest.csv
DAVIS-Complete V3 (Wu 2025; Davis 2011),kinase panel in the frozen 20-kinase analysis endpoint,yes,data/frozen/davis_complete.tab.gz,,SHA-256 in data_manifest.csv,CC0-1.0,n/a (included),data_manifest.csv
PKIS2 S4 (Drewry 2017),kinase panel in the frozen 20-kinase analysis endpoint,yes,data/frozen/pkis2_s4.xlsx,,SHA-256 in data_manifest.csv,CC BY 4.0,n/a (included),data_manifest.csv
Pocket descriptors (wwPDB-derived),Supplementary Figure S1 exploratory pocket-volume association,yes,data/frozen/toxicodynamics/data/44pockets_analysis.csv,23895ada5d71a2121540f9f010c82949000efe2b66a5ef207a067f3bf63d46ec,,CC BY 4.0 (source structures retrieved from wwPDB),n/a (included),results/residual_mechanism/analysis_summary.json
PDSP Ki database,Primary exploratory external map comparison on quantified Ki values,no,https://pdsp.unc.edu/databases/kiDownload/download.php,45c9a18ac30f1fad350d1dde186bc1f226c5a75d474ca50f50713852a5637ac6,,no redistribution licence located,none (manual download),results/pdsp_counterscreen_retrieval/summary.json
Novartis Secondary Pharmacology Database (Sutherland 2023),Supporting external agreement and censoring sensitivity,no,https://zenodo.org/records/8103950,7132723f85e746de2f8387d01dcde6ffff703c92561fda9751cbd6753e900240,,CC BY 4.0,none (Zenodo download),results/spd_external_validation/summary.json
PKIS1 (Elkins 2016),third panel defining the frozen kinase analysis endpoint; discovery panel for the five-mode core,no,https://media.springernature.com/original/springer-static/esm/art%3A10.1038%2Fnbt.3374/MediaObjects/41587_2016_BFnbt3374_MOESM5_ESM.zip,1ffbe7fd0b4fc1ef72f2434a2b247d15c0f2b4d3c34668f112f4b4c9e4ead7dc,,publisher terms,analysis/fetch_pkis1_supplement.py,DATA_LICENSES.md
KiRHub (Saifudeen 2026),fourth kinase panel; reported non-replication,no,https://media.springernature.com/original/springer-static/esm/art%3A10.1038%2Fs41587-026-03090-8/MediaObjects/41587_2026_3090_MOESM4_ESM.xlsx,d9eef358396b193834b0c4d48ccd8cadb43697a6458cdcb50415af5a7e4e0b03,,data are property of Reaction Biology Corporation; acknowledgement required,analysis/fetch_kirhub_supplement.py,results/kirhub_external_validation/summary.json
Anastassiadis HotSpot (2011),identity/de-leakage crosswalk only; no assay values redistributed,no,https://media.springernature.com/original/springer-static/esm/art%3A10.1038%2Fnbt.2017/MediaObjects/41587_2011_BFnbt2017_MOESM23_ESM.xls,cd756bf2b6ad541a1781508c563caf0da6da876dfb71f2546fbff02e13d98684,,publisher terms,analysis/fetch_anastassiadis_supplement.py,DATA_LICENSES.md
KLIFS kinase information (Kanev 2021),85-residue ATP-pocket identity baseline on the 190-pair endpoint,no,https://klifs.net/api_v2/kinase_information?species=HUMAN,041a159e662a27696554867acbe1ac7fb35d36f71483d42ab4ac90e219dbef8f,,KLIFS database terms,none (API; response checksummed),results/klifs_pocket_control/summary.json
UniProt (PDSP target mapping),receptor sequence identity baseline on the PDSP graph,no,https://rest.uniprot.org/uniprotkb/search,051690a9647c3af3ad71708d935485c73bdbffc07772b0ec8c6f484e9c1b408a,,CC BY 4.0,analysis/fetch_pdsp_uniprot.py,results/pdsp_counterscreen_retrieval/summary.json
UniProt (SPD target mapping),receptor sequence identity baseline on the safety panel,no,https://rest.uniprot.org/uniprotkb/search,b0f6213a79286da247fb1bf74c036446fe61e1a3beff074187025fce35015689,,CC BY 4.0,none (API; response checksummed),results/spd_external_validation/summary.json
ODDT NNScore 2.0 model (PDBbind 2016),one of the eight fixed-pose scoring outputs,no,ODDT 0.7 package resource,5acb21881ae5ece220b5a90046ee446d3bf5f0d9c42b1f3dc3bfb0d2d3e834b7,,ODDT package licence,none (package resource),results/nonvina_scorer_transport/summary.json
ODDT PLECscore linear model (PDBbind 2016),one of the eight fixed-pose scoring outputs,no,ODDT 0.7 package resource,e0dc7c68bcfa93c777fefbcdcf8e54da5e0d0ae7a69d0171d303252dc4165346,,ODDT package licence,none (package resource),results/nonvina_scorer_transport/summary.json
ODDT RF-Score v1-v3 resources (PDBbind 2016),three of the eight fixed-pose scoring outputs,no,ODDT 0.7 package resources,,training-table and model SHA-256 values in results/nonvina_scorer_transport/summary.json,ODDT package and PDBbind terms,none (package resources),results/nonvina_scorer_transport/summary.json
DOCKSTRING pose archives,retained Vina poses for the nine-target fixed-pose scorer comparison,no,https://doi.org/10.6084/m9.figshare.16511577.v1,,nine Figshare file IDs and published MD5 values in analysis/dockstring_vina_term_decomposition.py,Apache-2.0,analysis/nonvina_scorer_transport.py,results/nonvina_scorer_transport/summary.json
DOCKSTRING receptor PDBQTs,receptors for the nine-target fixed-pose scorer comparison,no,DOCKSTRING package resources targets/*_target.pdbqt,,nine receptor SHA-256 values in results/nonvina_scorer_transport/summary.json,Apache-2.0,none (package resources),results/nonvina_scorer_transport/summary.json
smina 2020.12.10 executable,Vina and Vinardo rescoring on retained poses,no,conda-forge smina 2020.12.10 build b08c07c,b69020914f01a2a07b2adfef96ee211ab851100712e98877141311f7f1a98ce8,version string in results/nonvina_scorer_transport/summary.json,upstream smina and conda-forge package terms,none (external executable),results/nonvina_scorer_transport/summary.json
