fold_a,fold_b,locked_k,full_geometry_spearman,normalized_low_mode_correlation_spearman,spectral_kernel_spearman,mean_squared_canonical_correlation,minimum_canonical_correlation,maximum_principal_angle_degrees
0,1,5,0.997746547870549,0.995319887852266,0.996415121573567,0.993282944324643,0.987125366043155,9.20390500632544
0,2,5,0.997291658465536,0.996997729926912,0.997554094660736,0.995947868675761,0.992951134888799,6.80695167546068
0,3,5,0.995496594890367,0.993321873619476,0.994985719097045,0.992171480499519,0.98560829282866,9.73231193223523
0,4,5,0.99655858669361,0.996808775866368,0.996808775866368,0.995804870373054,0.993634139651996,6.46839959511143
1,2,5,0.996959239284949,0.993201152969684,0.99516767485905,0.990004297186069,0.985561605236098,9.74812339053713
1,3,5,0.996639067126805,0.994018204324074,0.995454605099135,0.992436233052479,0.98540877800955,9.79970393024327
1,4,5,0.997128948024512,0.995409116158634,0.99611244516177,0.993375565092926,0.98767645449109,9.0043523677647
2,3,5,0.996733544157077,0.990018676709225,0.993202902544319,0.986108675667693,0.970937335388574,13.8472268727612
2,4,5,0.996383629230144,0.995066199530239,0.996198174318869,0.992849610810913,0.98624683426954,9.51344850871643
3,4,5,0.996448363491626,0.995195668053205,0.996147436654463,0.994728562857434,0.99150304915336,7.47441449882319
