fold,panel,analysis_role,selected_k,positive_pairs,total_pairs,full_continuous_spearman,full_roc_auc,full_average_precision,normalized_low_mode_continuous_spearman,normalized_low_mode_minus_full_continuous_spearman,normalized_low_mode_roc_auc,normalized_low_mode_minus_full_roc_auc,normalized_low_mode_average_precision,normalized_low_mode_minus_full_average_precision,spectral_kernel_continuous_spearman,spectral_kernel_minus_full_continuous_spearman,spectral_kernel_roc_auc,spectral_kernel_minus_full_roc_auc,spectral_kernel_average_precision,spectral_kernel_minus_full_average_precision
0,PKIS1,post_hoc_discovery,5,19,190,0.177664930213842,0.665743305632502,0.308881255653423,0.208476689104961,0.0308117588911196,0.682363804247461,0.0166204986149585,0.26763583647456,-0.0412454191788627,0.19558757277137,0.0179226425575282,0.677439212065251,0.0116959064327485,0.316113348574192,0.00723209292076893
0,DAVIS,locked_no_retuning_evaluation,5,19,190,0.27764262313725,0.759310557094491,0.338916616943382,0.321243772607785,0.043601149470535,0.795321637426901,0.03601108033241,0.370748892282426,0.0318322753390446,0.290659458419172,0.0130168352819221,0.775623268698061,0.0163127116035704,0.351004934748815,0.0120883178054336
0,PKIS2,locked_no_retuning_evaluation,5,19,190,0.286453480997433,0.715912588488766,0.30649219036766,0.316087776159421,0.0296342951619888,0.729455216989843,0.0135426285010772,0.263060739706544,-0.0434314506611159,0.291110848674916,0.00465736767748348,0.723299476762081,0.0073868882733148,0.309326673948431,0.00283448358077126
0,KiRHub,locked_no_retuning_evaluation,5,19,190,0.321768644998185,0.748230224684518,0.293204009440492,0.377149680483932,0.0553810354857476,0.80855647891659,0.0603262542320715,0.32945399719314,0.0362499877526478,0.348153980063597,0.0263853350654122,0.790397045244691,0.0421668205601724,0.329329645714856,0.0361256362743637
1,PKIS1,post_hoc_discovery,5,19,190,0.171229994707537,0.662973222530009,0.300144994810437,0.206629138290753,0.0353991435832163,0.676823638042475,0.0138504155124654,0.257928984344059,-0.0422160104663782,0.19511518762001,0.0238851929124732,0.676515851031086,0.0135426285010772,0.309440085579261,0.00929509076882334
1,DAVIS,locked_no_retuning_evaluation,5,19,190,0.277408180136204,0.752231455832564,0.335947886153363,0.32297760107074,0.0455694209345353,0.793474915358572,0.0412434595260079,0.384596560907065,0.0486486747537027,0.293201590363343,0.0157934102271385,0.774699907663897,0.0224684518313327,0.343573747920974,0.00762586176761143
1,PKIS2,locked_no_retuning_evaluation,5,19,190,0.283201021751587,0.712219144352108,0.297265302264874,0.316164757443347,0.03296373569176,0.728839642967067,0.0166204986149585,0.272546168717423,-0.0247191335474508,0.291941896626383,0.00874087487479602,0.722991689750693,0.0107725453985842,0.307333718714917,0.0100684164500429
1,KiRHub,locked_no_retuning_evaluation,5,19,190,0.317707882271123,0.743921206525085,0.289352740128034,0.374446587673372,0.0567387054022491,0.81009541397353,0.0661742074484457,0.344984159777355,0.0556314196493204,0.347725334278104,0.0300174520069808,0.789165897199138,0.0452446906740536,0.325591449089094,0.0362387089610592
2,PKIS1,post_hoc_discovery,5,19,190,0.173766877927804,0.656201908279471,0.302795769509492,0.20055111600992,0.0267842380821163,0.663281009541397,0.00707910126192679,0.265319169597339,-0.0374765999121525,0.187709238191465,0.0139423602636609,0.663896583564174,0.00769467528470302,0.315795366921691,0.0129995974121993
2,DAVIS,locked_no_retuning_evaluation,5,19,190,0.278968800710327,0.749461372730071,0.33695734659482,0.313291955893224,0.0343231551828961,0.775007694675285,0.025546321945214,0.347174910472895,0.0102175638780744,0.285011831498467,0.00604303078813961,0.762388427208372,0.0129270544783011,0.332839254553926,-0.00411809204089481
2,PKIS2,locked_no_retuning_evaluation,5,19,190,0.287716673883662,0.707602339181287,0.294435177261078,0.309180455501756,0.0214637816180941,0.71683594952293,0.00923361034164361,0.251053420806545,-0.0433817564545328,0.28722854256059,-0.000488131323072072,0.71683594952293,0.00923361034164361,0.299282788275979,0.00484761101490089
2,KiRHub,locked_no_retuning_evaluation,5,19,190,0.322365249948606,0.743305632502308,0.293551957673462,0.365910413030832,0.0435451630822256,0.791935980301631,0.0486303477993228,0.310083423501838,0.0165314658283761,0.339187410060929,0.0168221601123226,0.776238842720837,0.0329332102185288,0.316562003984407,0.0230100463109444
3,PKIS1,post_hoc_discovery,5,19,190,0.17349569385943,0.663588796552785,0.294305165849425,0.213583697463554,0.0400880036041238,0.684210526315789,0.020621729763004,0.276206669927964,-0.018098495921461,0.198789294352811,0.0252936004933801,0.679593721144968,0.0160049245921822,0.312390422600417,0.0180852567509914
3,DAVIS,locked_no_retuning_evaluation,5,19,190,0.287142813403491,0.754078177900893,0.337432311965775,0.334197623202859,0.0470548097993675,0.795321637426901,0.0412434595260079,0.359871498699968,0.0224391867341927,0.303312382177083,0.0161695687735919,0.779624499846106,0.0255463219452139,0.349111179024729,0.0116788670589543
3,PKIS2,locked_no_retuning_evaluation,5,19,190,0.292041622380559,0.714065866420437,0.29470488970824,0.329171095277461,0.0371294728969019,0.737149892274546,0.023084025854109,0.270091517680942,-0.0246133720272972,0.301744763304422,0.00970314092386293,0.730070791012619,0.0160049245921823,0.307108720235548,0.0124038305273081
3,KiRHub,locked_no_retuning_evaluation,5,19,190,0.327220319559807,0.744228993536473,0.290024500173765,0.388894575006452,0.0616742554466446,0.808248691905202,0.0640196983687289,0.326458646163859,0.0364341459900946,0.357617429262511,0.0303971097027035,0.787626962142198,0.0433979686057249,0.324605737970099,0.0345812377963345
4,PKIS1,post_hoc_discovery,5,19,190,0.177633437870418,0.664819944598338,0.296142437954502,0.216272793677037,0.0386393558066195,0.684518313327178,0.0196983687288397,0.273418696502155,-0.0227237414523472,0.19952761484864,0.0218941769782222,0.677131425053863,0.0123114804555248,0.311473102340615,0.0153306643861129
4,DAVIS,locked_no_retuning_evaluation,5,19,190,0.285461472179576,0.761157279162819,0.346887989987591,0.332635253054101,0.0471737808745248,0.793474915358572,0.0323176361957526,0.373257794379398,0.0263698043918072,0.299762495243344,0.0143010230637676,0.776546629732225,0.015389350569406,0.356571743523844,0.0096837535362535
4,PKIS2,locked_no_retuning_evaluation,5,19,190,0.291294554011556,0.717143736534318,0.294810387971168,0.325831157299881,0.0345366032883255,0.729763004001231,0.0126192674669129,0.264599002402643,-0.0302113855685255,0.297816968249594,0.00652241423803834,0.724222837796245,0.00707910126192668,0.305163185527136,0.0103527975559676
4,KiRHub,locked_no_retuning_evaluation,5,19,190,0.327514248098431,0.744228993536473,0.28794468463628,0.382540119933341,0.0550258718349101,0.805478608802708,0.0612496152662357,0.325466076203166,0.0375213915668858,0.352298722373123,0.0247844742746919,0.783317943982764,0.0390889504462911,0.320097475192707,0.0321527905564266
