dataset,calibration_ligands,geometry_spearman_mean,geometry_spearman_sd,geometry_spearman_q025,geometry_spearman_q975,oas_geometry_spearman_mean,oas_geometry_spearman_sd,oas_geometry_spearman_q025,oas_geometry_spearman_q975,empirical_pr_mean,empirical_pr_sd,empirical_pr_q025,empirical_pr_q975,oas_pr_mean,oas_pr_sd,oas_pr_q025,oas_pr_q975,reference_top10_pair_roc_auc_mean,reference_top10_pair_roc_auc_sd,reference_top10_pair_roc_auc_q025,reference_top10_pair_roc_auc_q975,reference_top10_pair_average_precision_mean,reference_top10_pair_average_precision_sd,reference_top10_pair_average_precision_q025,reference_top10_pair_average_precision_q975,experimental_pair_roc_auc_mean,experimental_pair_roc_auc_sd,experimental_pair_roc_auc_q025,experimental_pair_roc_auc_q975,experimental_pair_average_precision_mean,experimental_pair_average_precision_sd,experimental_pair_average_precision_q025,experimental_pair_average_precision_q975
DOCKSTRING-58,50,0.7660867185291889,0.05082788742618277,0.6648452135324541,0.822484644963327,0.7680644836086451,0.050854141350082475,0.6692923693384806,0.8244815081066007,12.800033207794991,1.097878951751312,11.237440352235417,14.602308999055168,18.69523669237417,2.155115571117624,15.163922742877716,22.283670764163425,0.9171418559240324,0.03114117356297441,0.8486241198823539,0.9481121527130715,0.6306392476455899,0.06924509445695094,0.49638533850826333,0.7463504455456282,0.6770933333333332,0.05011920644949634,0.5938857142857144,0.7566285714285714,0.22868600207995715,0.052055067456534,0.14003015230147678,0.34973632006434735
DOCKSTRING-58,100,0.8612168984858392,0.02365910376522654,0.8075661892261192,0.8963381460130198,0.8619500677120913,0.023476664556755355,0.8088292377473676,0.8970949785642363,14.943540278579803,1.0055618369289037,13.366156150353978,16.92441456917931,18.104907449499116,1.5366062018985986,15.902682524505348,21.286987349653515,0.9563254632517966,0.0131995389182986,0.9304592613898769,0.971681176623103,0.7625670845107132,0.046439427793987305,0.6559007414501591,0.835939362733633,0.6905790476190476,0.04273237073193691,0.5954095238095238,0.7676761904761904,0.25859055032157846,0.0490212117143884,0.18030540757122795,0.35311459497443565
DOCKSTRING-58,200,0.9178248849976306,0.013919396483881921,0.8850749010063258,0.9375463023378656,0.9180271260544822,0.01384088628072221,0.8856431208804975,0.9378438747028667,16.481391086351202,0.8505320727066774,15.078018412275407,17.97739877639802,18.153782092947274,1.023852392315431,16.50888151361113,20.12818858234868,0.9761045932215751,0.009160445681312808,0.9493644720104358,0.9852275949797846,0.8554621992843061,0.036682403369321805,0.7630912164694906,0.8981899280679962,0.7008685714285715,0.03607639872289377,0.6464380952380953,0.7722476190476191,0.26913429062432,0.03961741989770837,0.1882552401773715,0.3444970264307847
DOCKSTRING-58,500,0.9646540681844533,0.005650466591705417,0.9507858781506702,0.972464155932401,0.9646999987528866,0.005617641026277256,0.9508865417053063,0.9724850380404908,17.4245237835829,0.6807082589577265,15.985573425217769,18.77346725029818,18.113829264580126,0.7292323915852899,16.579305427126215,19.53209188809543,0.990138793236159,0.0038652807541893304,0.9810742296691811,0.9942433824065596,0.9326658979285283,0.019639099249865413,0.8844874468811942,0.9562288315137454,0.70616,0.020355667898714094,0.6718000000000001,0.7423333333333333,0.27564501117291246,0.03562454640666361,0.21303045755569125,0.3403026885175299
DOCKSTRING-58,1000,0.9818412661848892,0.002421032977619163,0.976982184387957,0.9861776360816004,0.9818513033750632,0.002416488399420383,0.9770144117338413,0.9861888171276496,17.89566769140982,0.4481085306426812,17.171925078015846,18.880464976979376,18.247568078414666,0.4627362590646422,17.49934179232783,19.263312801471457,0.9951003881025109,0.0014366457920181523,0.9919415050923263,0.9969254624415618,0.9633135075408287,0.010003761988179267,0.9439940677026919,0.9766602346410671,0.7079771428571427,0.01663340662618818,0.6797428571428571,0.7426952380952381,0.29329003599709574,0.03076028412220767,0.2318404343893594,0.34059005053318786
DOCKSTRING-58,2000,0.9907590973877087,0.0013955122331771861,0.9866226522353847,0.9924808182993518,0.9907619330694826,0.0013917403977929366,0.9866376811601518,0.9924752256176573,18.01489187654145,0.30286993856304506,17.37795638298357,18.59408233417218,18.189943308776822,0.30869520744792117,17.53894534679931,18.783701208522494,0.9972310627851014,0.0015197978856249011,0.9939034888714239,0.9988232351058571,0.9786960759830223,0.009781724661960884,0.9570135131747534,0.9900640733767546,0.7097409523809525,0.011877321564196994,0.6860190476190476,0.7316285714285714,0.2913303096562115,0.0251931444238658,0.24196561841926012,0.328328179837414
DOCKSTRING-58,5000,0.9963344188338324,0.00045227579288862333,0.9951290373361986,0.9970329269036788,0.9963349695935219,0.0004519176398696593,0.9951286417350516,0.9970332880325297,18.151141726879704,0.1936395143201735,17.7731085881655,18.51296482802498,18.22167461818232,0.1949029129559172,17.840238903895294,18.58512864213613,0.9989659782370911,0.0005199822209930888,0.9974631545685094,0.9996005542006627,0.9915191437933308,0.0038607086094542185,0.9806376590601388,0.9965299175708222,0.710015238095238,0.00741552016397503,0.6959809523809524,0.7224857142857143,0.29578864288661294,0.017129011074799208,0.25481619324067917,0.3179077069039428
Docking-44,50,0.8126980898028758,0.06718224415092806,0.6572668292554836,0.9014432126433303,0.8131783582172322,0.06658041548926372,0.6608018287822319,0.9014350038251709,7.127615788162427,0.9216579964033039,5.752540978406908,9.05597168093584,10.50492588506983,1.4524624116506315,8.197296976154151,13.981309317355892,0.9331184365143176,0.03290466838795379,0.8377367184117757,0.9690021027892881,0.640783423356106,0.09352317700494843,0.46557520635326977,0.7885640767904468,,,,,,,,
Docking-44,100,0.898070748495738,0.04571818612528602,0.7716908251848453,0.946030973874838,0.8983099580990594,0.04528938742661663,0.7734133261666966,0.9460205354048824,7.831628670945503,0.9659541474794135,6.229821773042232,9.790032234271006,9.70199132616394,1.245584413321306,7.618074032028496,12.027719943725714,0.9620235017626322,0.025417306558963276,0.892479126723978,0.9831671717484074,0.770846862124144,0.07369385388903507,0.5968303918225178,0.8676647801836169,,,,,,,,
Docking-44,200,0.9420718952143031,0.017722556374641804,0.8975036815654678,0.9624202678891903,0.9421488308165944,0.017664792848528166,0.8977523703073174,0.9626291421797425,8.626827997045458,0.6996016504526938,7.392568685173146,9.909164181877264,9.670219540855754,0.8029487405682929,8.301083227345405,11.111894195919847,0.9801264147442637,0.008675008957899926,0.9603512895046076,0.9914469045704744,0.8618655914916991,0.04482462010515708,0.7692819659143628,0.9359832662830924,,,,,,,,
