sampling_scheme,sample_size,repetitions,degree_spearman_median,degree_spearman_q025,degree_spearman_q975,degree_rmse_median,unique_Butina_clusters_median,unique_Murcko_groups_median
Butina_cluster_round_robin,10,1000,0.7041723842710388,0.3312515099811406,0.8727829953073565,0.07754926749421229,10.0,10.0
Butina_cluster_round_robin,20,1000,0.8194468159230215,0.6002151596248011,0.9245364553743295,0.053748384988657,20.0,19.0
Butina_cluster_round_robin,40,1000,0.8823067934844979,0.7796680987095608,0.9516084171055698,0.03775376396552485,40.0,37.0
Butina_cluster_round_robin,80,1000,0.92580255202793,0.8607507058307733,0.9696623043789274,0.026079138377882657,80.0,69.0
Butina_cluster_round_robin,160,1000,0.9565709969788521,0.9278202878938075,0.9728304657402933,0.017653100136929053,160.0,125.0
Butina_cluster_round_robin,360,1000,1.0,1.0,1.0,0.0,181.0,189.0
uniform_random,10,1000,0.7183977125173631,0.31416909674486704,0.8843927376912483,0.07646713164636308,10.0,10.0
uniform_random,20,1000,0.8349642284986121,0.5848710918505003,0.9297853830697873,0.05361902647381804,19.0,18.0
uniform_random,40,1000,0.9033662678886398,0.7994189983284282,0.9635066673574259,0.036987235035286906,35.0,34.0
uniform_random,80,1000,0.9481477894619977,0.8897239415791481,0.9810535913109936,0.02442923421264626,62.0,60.0
uniform_random,160,1000,0.9746520296222769,0.9367591590943475,0.9920612653983307,0.014467545810217513,106.0,104.0
uniform_random,360,1000,1.0,1.0,1.0,0.0,181.0,189.0
