MaxMin_selection_rank_one_based,included_in_practical_80,Compound ID,standard_inchikey,connectivity_block,SMILES,Butina_cluster,Murcko_group
1,True,GW829055X,KFMDNTIUGNJKPB-UHFFFAOYSA-N,KFMDNTIUGNJKPB,Clc1ccc(cc1)-c1nn2ncccc2c1-c1ccnc(Nc2ccccc2)n1,92,c1ccc(Nc2nccc(-c3c(-c4ccccc4)nn4ncccc34)n2)cc1
2,True,GW439255X,TZPMELZXMICXNO-VOTSOKGWSA-N,TZPMELZXMICXNO,Cc1cc(O)cc(C)c1\C=C\c1cncc(c1)C(=O)OC(C)(C)C,18,C(=Cc1cccnc1)c1ccccc1
3,True,SB-657836-AAA,GLZXTMBTCQJTRD-UHFFFAOYSA-N,GLZXTMBTCQJTRD,OC(=O)C(O)=O.O=C(CN1CCOCC1)Nc1sc2CCCCc2c1C#N,79,O=C(CN1CCOCC1)Nc1cc2c(s1)CCCC2
4,True,GW300653X,KBESLZOGXNTNCJ-UHFFFAOYSA-N,KBESLZOGXNTNCJ,CC(C)c1ccc2c(NC(=O)\C2=N\Nc2ccc(cc2)S(N)(=O)=O)c1,151,O=C1Nc2ccccc2C1=NNc1ccccc1
5,True,SB-682330-A,FFOSNUOJQDXQME-UHFFFAOYSA-N,FFOSNUOJQDXQME,Cl.CN(C)CCOc1ccc(cc1)-c1cc(c(o1)-c1ccncc1)-c1ccc2C(CCc2c1)=NO,76,N=C1CCc2cc(-c3cc(-c4ccccc4)oc3-c3ccncc3)ccc21
6,True,GSK1392956A,SAWLOYCVNOMZOQ-OAQYLSRUSA-N,SAWLOYCVNOMZOQ,COc1cc(ccc1Nc1nc(Nc2ccc(F)cc2C(=O)NC[C@@H](O)CO)c2cc[nH]c2n1)N1CCN(CC1)C(C)C,177,c1ccc(Nc2nc(Nc3ccc(N4CCNCC4)cc3)nc3[nH]ccc23)cc1
7,True,GSK1000163A,JHBURLBWOXZZGX-UHFFFAOYSA-N,JHBURLBWOXZZGX,CCn1c(nc2c(nc(CN3CCCC3)cc12)C#CC(C)(C)O)-c1nonc1N,178,c1nonc1-c1nc2cnc(CN3CCCC3)cc2[nH]1
8,True,GSK319347A,LDTAHRLHGHFHKP-UHFFFAOYSA-N,LDTAHRLHGHFHKP,COc1cc2ncn(-c3cc(OCc4ccccc4S(C)(=O)=O)c(s3)C#N)c2cc1OC,168,c1ccc(COc2csc(-n3cnc4ccccc43)c2)cc1
9,True,GW795486X,VLTNUYNTYZRWQD-UHFFFAOYSA-N,VLTNUYNTYZRWQD,Nc1ncnc2occ(-c3ccc(NC(=O)Nc4cc(cc(c4)C(F)(F)F)C(F)(F)F)cc3)c12,11,O=C(Nc1ccccc1)Nc1ccc(-c2coc3ncncc23)cc1
10,True,GW829877X,QRNLICFNSFQHBO-FOKLQQMPSA-N,QRNLICFNSFQHBO,COc1cccc(c1)-n1ncc2c(N\N=C\c3ccc(C)cc3)ncnc12,2,C(=NNc1ncnc2c1cnn2-c1ccccc1)c1ccccc1
