sample_size,panel,metric,augmented_minus_baseline
10,DAVIS,continuous_spearman,0.14576581068727662
10,DAVIS,top_10_roc_auc,-0.06278855032317632
10,DAVIS,top_10_average_precision,-0.24812211917565974
10,PKIS2,continuous_spearman,0.16480993058562637
10,PKIS2,top_10_roc_auc,-0.04247460757156052
10,PKIS2,top_10_average_precision,-0.18969796095926772
10,KiRHub,continuous_spearman,0.061676005021279234
10,KiRHub,top_10_roc_auc,-0.017236072637734634
10,KiRHub,top_10_average_precision,-0.15400949973347686
20,DAVIS,continuous_spearman,0.26993837123349385
20,DAVIS,top_10_roc_auc,0.08956602031394278
20,DAVIS,top_10_average_precision,0.08143535033436922
20,PKIS2,continuous_spearman,0.28638787194863247
20,PKIS2,top_10_roc_auc,0.09756848261003381
20,PKIS2,top_10_average_precision,0.06315421001613736
20,KiRHub,continuous_spearman,0.14394975221649237
20,KiRHub,top_10_roc_auc,0.11203447214527551
20,KiRHub,top_10_average_precision,0.08182018386858053
40,DAVIS,continuous_spearman,0.3029143539476964
40,DAVIS,top_10_roc_auc,0.15358571868267157
40,DAVIS,top_10_average_precision,0.173181647563771
40,PKIS2,continuous_spearman,0.34819334549287706
40,PKIS2,top_10_roc_auc,0.13819636811326563
40,PKIS2,top_10_average_precision,0.10166753621494247
40,KiRHub,continuous_spearman,0.22414675432035586
40,KiRHub,top_10_roc_auc,0.1375807940904893
40,KiRHub,top_10_average_precision,0.15549196012214148
80,DAVIS,continuous_spearman,0.28020312561508487
80,DAVIS,top_10_roc_auc,0.16189596799015082
80,DAVIS,top_10_average_precision,0.15316528466735885
80,PKIS2,continuous_spearman,0.30703810136160653
80,PKIS2,top_10_roc_auc,0.1286549707602339
80,PKIS2,top_10_average_precision,0.08665593659790288
80,KiRHub,continuous_spearman,0.20084591933586143
80,KiRHub,top_10_roc_auc,0.15820252385349343
80,KiRHub,top_10_average_precision,0.13731958894885993
160,DAVIS,continuous_spearman,0.19940252026226124
160,DAVIS,top_10_roc_auc,0.1265004616805171
160,DAVIS,top_10_average_precision,0.10866217343112927
160,PKIS2,continuous_spearman,0.2330118489942133
160,PKIS2,top_10_roc_auc,0.10926438904278246
160,PKIS2,top_10_average_precision,0.08175252758590598
160,KiRHub,continuous_spearman,0.13192842490169576
160,KiRHub,top_10_roc_auc,0.13173284087411508
160,KiRHub,top_10_average_precision,0.11028795167166969
360,DAVIS,continuous_spearman,0.21442261850087696
360,DAVIS,top_10_roc_auc,0.1157279162819328
360,DAVIS,top_10_average_precision,0.09150416230618391
360,PKIS2,continuous_spearman,0.23629755015811782
360,PKIS2,top_10_roc_auc,0.12496152662357651
360,PKIS2,top_10_average_precision,0.07791047465532819
360,KiRHub,continuous_spearman,0.14194299011052935
360,KiRHub,top_10_roc_auc,0.13111726685133884
360,KiRHub,top_10_average_precision,0.09683264607456388
