omitted_target,panel,metric,augmented_minus_baseline
ABL1,DAVIS,continuous_spearman,0.270561835505316
ABL1,DAVIS,top_10_roc_auc,0.16085693536673928
ABL1,DAVIS,top_10_average_precision,0.11683710735503383
ABL1,PKIS2,continuous_spearman,0.31679746562027494
ABL1,PKIS2,top_10_roc_auc,0.14306463326071162
ABL1,PKIS2,top_10_average_precision,0.10098433838443244
ABL1,KiRHub,continuous_spearman,0.20531595747234016
ABL1,KiRHub,top_10_roc_auc,0.16630355846042122
ABL1,KiRHub,top_10_average_precision,0.12031455425604731
AKT1,DAVIS,continuous_spearman,0.3210910312717498
AKT1,DAVIS,top_10_roc_auc,0.16412490922294842
AKT1,DAVIS,top_10_average_precision,0.07765867020455985
AKT1,PKIS2,continuous_spearman,0.31388148894808837
AKT1,PKIS2,top_10_roc_auc,0.1263616557734204
AKT1,PKIS2,top_10_average_precision,0.04043273888108981
AKT1,KiRHub,continuous_spearman,0.23380132958936323
AKT1,KiRHub,top_10_roc_auc,0.2222222222222222
AKT1,KiRHub,top_10_average_precision,0.10337983143272586
AKT2,DAVIS,continuous_spearman,0.2931048551611587
AKT2,DAVIS,top_10_roc_auc,0.17828612926652143
AKT2,DAVIS,top_10_average_precision,0.10534362883226833
AKT2,PKIS2,continuous_spearman,0.29881200950392395
AKT2,PKIS2,top_10_roc_auc,0.12200435729847503
AKT2,PKIS2,top_10_average_precision,0.05408610981278056
AKT2,KiRHub,continuous_spearman,0.20483116135070917
AKT2,KiRHub,top_10_roc_auc,0.15541031227305735
AKT2,KiRHub,top_10_average_precision,0.07228578329891228
CDK2,DAVIS,continuous_spearman,0.27617539059687524
CDK2,DAVIS,top_10_roc_auc,0.16739288307915756
CDK2,DAVIS,top_10_average_precision,0.17205712654859118
CDK2,PKIS2,continuous_spearman,0.2959632322941417
CDK2,PKIS2,top_10_roc_auc,0.14960058097313
CDK2,PKIS2,top_10_average_precision,0.09691242077154194
CDK2,KiRHub,continuous_spearman,0.18112895096839227
CDK2,KiRHub,top_10_roc_auc,0.154320987654321
CDK2,KiRHub,top_10_average_precision,0.1425819508732351
CSF1R,DAVIS,continuous_spearman,0.2929704562363501
CSF1R,DAVIS,top_10_roc_auc,0.14596949891067545
CSF1R,DAVIS,top_10_average_precision,0.12140108263859586
CSF1R,PKIS2,continuous_spearman,0.32332301341589254
CSF1R,PKIS2,top_10_roc_auc,0.1383442265795206
CSF1R,PKIS2,top_10_average_precision,0.11684344071976188
CSF1R,KiRHub,continuous_spearman,0.22101423188614489
CSF1R,KiRHub,top_10_roc_auc,0.16957153231663036
CSF1R,KiRHub,top_10_average_precision,0.14099739070980552
EGFR,DAVIS,continuous_spearman,0.26676026591787266
EGFR,DAVIS,top_10_roc_auc,0.13253449527959327
EGFR,DAVIS,top_10_average_precision,0.1395084903427705
EGFR,PKIS2,continuous_spearman,0.30210718314253476
EGFR,PKIS2,top_10_roc_auc,0.1122004357298475
EGFR,PKIS2,top_10_average_precision,0.07780890422112241
EGFR,KiRHub,continuous_spearman,0.1836993304053568
EGFR,KiRHub,top_10_roc_auc,0.14124909222948445
EGFR,KiRHub,top_10_average_precision,0.13615742723081306
FGFR1,DAVIS,continuous_spearman,0.3263517891856865
FGFR1,DAVIS,top_10_roc_auc,0.19462599854756713
FGFR1,DAVIS,top_10_average_precision,0.2165614897601821
FGFR1,PKIS2,continuous_spearman,0.31212470300237594
FGFR1,PKIS2,top_10_roc_auc,0.10711692084241098
FGFR1,PKIS2,top_10_average_precision,0.07569874110068842
FGFR1,KiRHub,continuous_spearman,0.30878152974776196
FGFR1,KiRHub,top_10_roc_auc,0.14778503994190273
FGFR1,KiRHub,top_10_average_precision,0.164881269445587
IGF1R,DAVIS,continuous_spearman,0.19174406604747152
IGF1R,DAVIS,top_10_roc_auc,0.1612200435729847
IGF1R,DAVIS,top_10_average_precision,0.1573646746082077
IGF1R,PKIS2,continuous_spearman,0.21145990832073341
IGF1R,PKIS2,top_10_roc_auc,0.10929557007988389
IGF1R,PKIS2,top_10_average_precision,0.07891810936539298
IGF1R,KiRHub,continuous_spearman,0.13946768425852596
IGF1R,KiRHub,top_10_roc_auc,0.15468409586056653
IGF1R,KiRHub,top_10_average_precision,0.12213706721529477
JAK2,DAVIS,continuous_spearman,0.2783857729138166
JAK2,DAVIS,top_10_roc_auc,0.1470588235294118
JAK2,DAVIS,top_10_average_precision,0.16275182587821663
JAK2,PKIS2,continuous_spearman,0.29354405164758685
JAK2,PKIS2,top_10_roc_auc,0.11328976034858385
JAK2,PKIS2,top_10_average_precision,0.08824628907985335
JAK2,KiRHub,continuous_spearman,0.2361749106007151
JAK2,KiRHub,top_10_roc_auc,0.16702977487291215
JAK2,KiRHub,top_10_average_precision,0.16841702426579852
KDR,DAVIS,continuous_spearman,0.2788729690162478
KDR,DAVIS,top_10_roc_auc,0.20915032679738566
KDR,DAVIS,top_10_average_precision,0.15107527080186928
KDR,PKIS2,continuous_spearman,0.331922144622843
KDR,PKIS2,top_10_roc_auc,0.1096586782861293
KDR,PKIS2,top_10_average_precision,0.08501917514246593
KDR,KiRHub,continuous_spearman,0.20561835505315956
KDR,KiRHub,top_10_roc_auc,0.15831517792302108
KDR,KiRHub,top_10_average_precision,0.13129923071570895
KIT,DAVIS,continuous_spearman,0.31242710058319534
KIT,DAVIS,top_10_roc_auc,0.13471314451706617
KIT,DAVIS,top_10_average_precision,0.06760942555569174
KIT,PKIS2,continuous_spearman,0.3281757745938032
KIT,PKIS2,top_10_roc_auc,0.10893246187363836
KIT,PKIS2,top_10_average_precision,0.024552245780103066
KIT,KiRHub,continuous_spearman,0.20888472892216864
KIT,KiRHub,top_10_roc_auc,0.18591140159767605
KIT,KiRHub,top_10_average_precision,0.10950313402942602
LCK,DAVIS,continuous_spearman,0.34624043007655936
LCK,DAVIS,top_10_roc_auc,0.16920842411038484
LCK,DAVIS,top_10_average_precision,0.142578786363918
LCK,PKIS2,continuous_spearman,0.37783617731058144
LCK,PKIS2,top_10_roc_auc,0.219680464778504
LCK,PKIS2,top_10_average_precision,0.14200000995652406
LCK,KiRHub,continuous_spearman,0.2715410276717786
LCK,KiRHub,top_10_roc_auc,0.1702977487291213
LCK,KiRHub,top_10_average_precision,0.14207489591894157
MAP2K1,DAVIS,continuous_spearman,0.2842057263541891
MAP2K1,DAVIS,top_10_roc_auc,0.144880174291939
MAP2K1,DAVIS,top_10_average_precision,0.14272817021004097
MAP2K1,PKIS2,continuous_spearman,0.30665274677802573
MAP2K1,PKIS2,top_10_roc_auc,0.1049382716049383
MAP2K1,PKIS2,top_10_average_precision,0.06378876560338903
MAP2K1,KiRHub,continuous_spearman,0.1822065423476612
MAP2K1,KiRHub,top_10_roc_auc,0.1655773420479303
MAP2K1,KiRHub,top_10_average_precision,0.1495331234768986
MAPK1,DAVIS,continuous_spearman,0.22315741474068207
MAPK1,DAVIS,top_10_roc_auc,0.11111111111111116
MAPK1,DAVIS,top_10_average_precision,0.12030450007590221
MAPK1,PKIS2,continuous_spearman,0.2325677394580843
MAPK1,PKIS2,top_10_roc_auc,0.0374001452432825
MAPK1,PKIS2,top_10_average_precision,0.09087870116196306
MAPK1,KiRHub,continuous_spearman,0.12081023351813186
MAPK1,KiRHub,top_10_roc_auc,0.11873638344226578
MAPK1,KiRHub,top_10_average_precision,0.12998240683731657
MAPK14,DAVIS,continuous_spearman,0.3290661674706602
MAPK14,DAVIS,top_10_roc_auc,0.1328976034858388
MAPK14,DAVIS,top_10_average_precision,0.14319117044922072
MAPK14,PKIS2,continuous_spearman,0.33445892432860536
MAPK14,PKIS2,top_10_roc_auc,0.11982570806100223
MAPK14,PKIS2,top_10_average_precision,0.09087827508518537
MAPK14,KiRHub,continuous_spearman,0.2310485516115871
MAPK14,KiRHub,top_10_roc_auc,0.12745098039215685
MAPK14,KiRHub,top_10_average_precision,0.1267250742570165
MAPKAPK2,DAVIS,continuous_spearman,0.2647082823337413
MAPKAPK2,DAVIS,top_10_roc_auc,0.1517792302106028
MAPKAPK2,DAVIS,top_10_average_precision,0.1467435591406325
MAPKAPK2,PKIS2,continuous_spearman,0.2898792809657522
MAPKAPK2,PKIS2,top_10_roc_auc,0.11111111111111105
MAPKAPK2,PKIS2,top_10_average_precision,0.09076414817532047
MAPKAPK2,KiRHub,continuous_spearman,0.17277221782225738
MAPKAPK2,KiRHub,top_10_roc_auc,0.14560639070442993
MAPKAPK2,KiRHub,top_10_average_precision,0.14394334315996687
MET,DAVIS,continuous_spearman,0.25846113231094153
MET,DAVIS,top_10_roc_auc,0.14379084967320255
MET,DAVIS,top_10_average_precision,0.1467618537457819
MET,PKIS2,continuous_spearman,0.3247966016271869
MET,PKIS2,top_10_roc_auc,0.09876543209876543
MET,PKIS2,top_10_average_precision,0.062467683321742906
MET,KiRHub,continuous_spearman,0.17013703890368875
MET,KiRHub,top_10_roc_auc,0.16049382716049387
MET,KiRHub,top_10_average_precision,0.14982896781970492
PLK1,DAVIS,continuous_spearman,0.2786809705522355
PLK1,DAVIS,top_10_roc_auc,0.17175018155410304
PLK1,DAVIS,top_10_average_precision,0.17682021298896627
PLK1,PKIS2,continuous_spearman,0.306515947872417
PLK1,PKIS2,top_10_roc_auc,0.13144517066085692
PLK1,PKIS2,top_10_average_precision,0.09321395980381689
PLK1,KiRHub,continuous_spearman,0.18207214342285255
PLK1,KiRHub,top_10_roc_auc,0.22076978939724046
PLK1,KiRHub,top_10_average_precision,0.1784443223570148
ROCK1,DAVIS,continuous_spearman,0.301312789497684
ROCK1,DAVIS,top_10_roc_auc,0.20660856935366734
ROCK1,DAVIS,top_10_average_precision,0.1599588379655954
ROCK1,PKIS2,continuous_spearman,0.35579955360357113
ROCK1,PKIS2,top_10_roc_auc,0.17175018155410315
ROCK1,PKIS2,top_10_average_precision,0.10722471570211176
ROCK1,KiRHub,continuous_spearman,0.23001655986752104
ROCK1,KiRHub,top_10_roc_auc,0.2381989832970225
ROCK1,KiRHub,top_10_average_precision,0.17037605864791372
SRC,DAVIS,continuous_spearman,0.27385220918232656
SRC,DAVIS,top_10_roc_auc,0.12999273783587517
SRC,DAVIS,top_10_average_precision,0.08134331135656067
SRC,PKIS2,continuous_spearman,0.3053807569539443
SRC,PKIS2,top_10_roc_auc,0.11474219317356571
SRC,PKIS2,top_10_average_precision,0.0849740119890865
SRC,KiRHub,continuous_spearman,0.19614323085415314
SRC,KiRHub,top_10_roc_auc,0.14451706608569348
SRC,KiRHub,top_10_average_precision,0.1059084633298776
