sample_size,metric,contrast,paired_by_reproducible_repetition_id,median_difference,q025_difference,q975_difference,fraction_difference_positive
10,continuous_spearman,Butina_cluster_round_robin_minus_uniform_random,True,0.01196009220258326,-0.37255165254614137,0.4393249412070022,0.525
10,top_10_roc_auc,Butina_cluster_round_robin_minus_uniform_random,True,0.0063096337334564365,-0.22862932184261828,0.2652303272801888,0.511
10,top_10_average_precision,Butina_cluster_round_robin_minus_uniform_random,True,0.01303055753543531,-0.2565314499604812,0.29297147740735774,0.559
20,continuous_spearman,Butina_cluster_round_robin_minus_uniform_random,True,0.011621841106547657,-0.3268350486454647,0.34110389411574304,0.531
20,top_10_roc_auc,Butina_cluster_round_robin_minus_uniform_random,True,0.009387503847337626,-0.1723991997537704,0.18347696727198107,0.538
20,top_10_average_precision,Butina_cluster_round_robin_minus_uniform_random,True,0.022011679040367167,-0.21078875098306046,0.2638349639804604,0.605
40,continuous_spearman,Butina_cluster_round_robin_minus_uniform_random,True,0.025574698818016526,-0.2414249848005704,0.2856694091249064,0.549
40,top_10_roc_auc,Butina_cluster_round_robin_minus_uniform_random,True,0.007899866625628395,-0.12363034779932289,0.1363752949625525,0.55
40,top_10_average_precision,Butina_cluster_round_robin_minus_uniform_random,True,0.020325677637109886,-0.13948764056533017,0.19953876138783144,0.61
80,continuous_spearman,Butina_cluster_round_robin_minus_uniform_random,True,0.03542451241541904,-0.16524662441443924,0.23721544991040722,0.625
80,top_10_roc_auc,Butina_cluster_round_robin_minus_uniform_random,True,0.01390171334769677,-0.07900636093156867,0.09441366574330563,0.623
80,top_10_average_precision,Butina_cluster_round_robin_minus_uniform_random,True,0.02452575515422737,-0.07939761619584643,0.12165314614694961,0.713
160,continuous_spearman,Butina_cluster_round_robin_minus_uniform_random,True,0.03776573487237582,-0.06613683714813505,0.1406226590326893,0.775
160,top_10_roc_auc,Butina_cluster_round_robin_minus_uniform_random,True,0.012978352313532365,-0.030686365035395503,0.05695342156560993,0.735
160,top_10_average_precision,Butina_cluster_round_robin_minus_uniform_random,True,0.013061715216751549,-0.038207431434027786,0.06733057665920698,0.71
360,continuous_spearman,Butina_cluster_round_robin_minus_uniform_random,True,0.0,0.0,0.0,0.0
360,top_10_roc_auc,Butina_cluster_round_robin_minus_uniform_random,True,0.0,0.0,0.0,0.0
360,top_10_average_precision,Butina_cluster_round_robin_minus_uniform_random,True,0.0,0.0,0.0,0.0
