sampling_scheme,sample_size,metric,repetitions,mean_locked_delta_median,mean_locked_delta_q025,mean_locked_delta_q975,fraction_mean_locked_delta_positive,fraction_positive_on_every_locked_panel
Butina_cluster_round_robin,10,continuous_spearman,1000,0.07687310189376874,-0.15815921420771245,0.4095433901799291,0.684,0.588
Butina_cluster_round_robin,10,top_10_average_precision,1000,0.05990970585768645,-0.17161759030985843,0.2247012072441142,0.843,0.772
Butina_cluster_round_robin,10,top_10_roc_auc,1000,0.0823843233815533,-0.08220478095824355,0.25547604391094697,0.837,0.712
Butina_cluster_round_robin,20,continuous_spearman,1000,0.11004124622201228,-0.1126188362121126,0.3306048571107816,0.82,0.71
Butina_cluster_round_robin,20,top_10_average_precision,1000,0.0887926820397196,-0.122007853710276,0.2286903765162593,0.897,0.861
Butina_cluster_round_robin,20,top_10_roc_auc,1000,0.0923361034164358,-0.038819636811326635,0.20827947060634042,0.911,0.829
Butina_cluster_round_robin,40,continuous_spearman,1000,0.14971839138276172,-0.04812958807723205,0.32381789260819294,0.93,0.855
Butina_cluster_round_robin,40,top_10_average_precision,1000,0.10855962816632772,0.006387561101316697,0.2211229349562264,0.977,0.932
Butina_cluster_round_robin,40,top_10_roc_auc,1000,0.10249307479224375,0.015584282343285114,0.1931363496460449,0.991,0.929
Butina_cluster_round_robin,80,continuous_spearman,1000,0.1962387061312385,0.04842318128071779,0.3083030875618365,0.997,0.985
Butina_cluster_round_robin,80,top_10_average_precision,1000,0.1138328143366815,0.05157799157172359,0.1856267567845701,0.999,0.991
Butina_cluster_round_robin,80,top_10_roc_auc,1000,0.12239663486200883,0.06561762593618546,0.17638247665948492,1.0,0.994
Butina_cluster_round_robin,160,continuous_spearman,1000,0.2233935624401317,0.1631410259214062,0.2733087809692935,1.0,1.0
Butina_cluster_round_robin,160,top_10_average_precision,1000,0.10449443318695273,0.08835193426408433,0.13565512617331055,1.0,1.0
Butina_cluster_round_robin,160,top_10_roc_auc,1000,0.1327587975787422,0.1119267466912896,0.15728429260285212,1.0,1.0
Butina_cluster_round_robin,360,continuous_spearman,1000,0.19755438625650804,0.19755438625650804,0.19755438625650804,1.0,1.0
Butina_cluster_round_robin,360,top_10_average_precision,1000,0.08874909434535866,0.08874909434535866,0.08874909434535866,1.0,1.0
Butina_cluster_round_robin,360,top_10_roc_auc,1000,0.12393556991894938,0.12393556991894938,0.12393556991894938,1.0,1.0
uniform_random,10,continuous_spearman,1000,0.0543231260233189,-0.18268263736712348,0.37104503550907514,0.651,0.547
uniform_random,10,top_10_average_precision,1000,0.04532756394439563,-0.17520492082645234,0.2021553126827505,0.773,0.692
uniform_random,10,top_10_roc_auc,1000,0.07386888273314868,-0.0984251564583974,0.24554734790191854,0.785,0.644
uniform_random,20,continuous_spearman,1000,0.08744694779415088,-0.12855693626153808,0.32539033739088846,0.753,0.63
uniform_random,20,top_10_average_precision,1000,0.06795709639959374,-0.142377168172855,0.1944120468123943,0.857,0.794
uniform_random,20,top_10_roc_auc,1000,0.08330768441571765,-0.033487226839027405,0.20714578844772752,0.893,0.755
uniform_random,40,continuous_spearman,1000,0.1275445740587653,-0.05057905088492026,0.30745531659281994,0.901,0.785
uniform_random,40,top_10_average_precision,1000,0.08554888675750058,-0.06055387789057576,0.20225726494547916,0.92,0.88
uniform_random,40,top_10_roc_auc,1000,0.0950035908484662,0.01031855955678668,0.19298502103211246,0.986,0.921
uniform_random,80,continuous_spearman,1000,0.15990295692693046,0.017450169927436393,0.28977587948929917,0.983,0.951
uniform_random,80,top_10_average_precision,1000,0.09117749409962482,0.023968398597697692,0.1635749416927633,0.988,0.977
uniform_random,80,top_10_roc_auc,1000,0.10844362367908075,0.043292808043500594,0.17073202010875138,1.0,0.993
uniform_random,160,continuous_spearman,1000,0.18494491026869092,0.0861982326380232,0.2682682272872408,1.0,0.997
uniform_random,160,top_10_average_precision,1000,0.09220735688380138,0.04669478426262466,0.14062686940502186,1.0,0.996
uniform_random,160,top_10_roc_auc,1000,0.11998563660613523,0.08391812865497077,0.1575946445060018,1.0,1.0
uniform_random,360,continuous_spearman,1000,0.19755438625650804,0.19755438625650804,0.19755438625650804,1.0,1.0
uniform_random,360,top_10_average_precision,1000,0.08874909434535866,0.08874909434535866,0.08874909434535866,1.0,1.0
uniform_random,360,top_10_roc_auc,1000,0.12393556991894938,0.12393556991894938,0.12393556991894938,1.0,1.0
