dataset,descriptor_a,descriptor_b,spearman
DOCKSTRING-58,heavy_atoms,molecular_weight,0.9646693812030921
DOCKSTRING-58,heavy_atoms,labute_asa,0.9919653207152773
DOCKSTRING-58,heavy_atoms,tpsa,0.5185402782515229
DOCKSTRING-58,heavy_atoms,clogp,0.3916700436751612
DOCKSTRING-58,heavy_atoms,rotatable_bonds,0.630300834496098
DOCKSTRING-58,heavy_atoms,ring_count,0.6444064439786413
DOCKSTRING-58,molecular_weight,labute_asa,0.9791860389012974
DOCKSTRING-58,molecular_weight,tpsa,0.5257015751676077
DOCKSTRING-58,molecular_weight,clogp,0.38272549397477273
DOCKSTRING-58,molecular_weight,rotatable_bonds,0.627161018286528
DOCKSTRING-58,molecular_weight,ring_count,0.5733335191963801
DOCKSTRING-58,labute_asa,tpsa,0.4815360753846678
DOCKSTRING-58,labute_asa,clogp,0.42384678794313485
DOCKSTRING-58,labute_asa,rotatable_bonds,0.6377676143884283
DOCKSTRING-58,labute_asa,ring_count,0.6314139367931793
DOCKSTRING-58,tpsa,clogp,-0.2780706526533258
DOCKSTRING-58,tpsa,rotatable_bonds,0.45435564786229465
DOCKSTRING-58,tpsa,ring_count,0.1240925403726307
DOCKSTRING-58,clogp,rotatable_bonds,0.14035426037016388
DOCKSTRING-58,clogp,ring_count,0.448284499841732
DOCKSTRING-58,rotatable_bonds,ring_count,0.060706178057435736
Docking-44,heavy_atoms,molecular_weight,0.9345913027425945
Docking-44,heavy_atoms,labute_asa,0.9846934613746965
Docking-44,heavy_atoms,tpsa,0.3502666329971757
Docking-44,heavy_atoms,clogp,0.45969719785173146
Docking-44,heavy_atoms,rotatable_bonds,0.6214067184689259
Docking-44,heavy_atoms,ring_count,0.6404834618160746
Docking-44,molecular_weight,labute_asa,0.9675467518015354
Docking-44,molecular_weight,tpsa,0.3613338377852291
Docking-44,molecular_weight,clogp,0.47513490676614534
Docking-44,molecular_weight,rotatable_bonds,0.6017469282418951
Docking-44,molecular_weight,ring_count,0.5263098921851114
Docking-44,labute_asa,tpsa,0.3097000724216713
Docking-44,labute_asa,clogp,0.5058314266814898
Docking-44,labute_asa,rotatable_bonds,0.6393660265905472
Docking-44,labute_asa,ring_count,0.6021264950712892
Docking-44,tpsa,clogp,-0.3403945848513167
Docking-44,tpsa,rotatable_bonds,0.18121922184995778
Docking-44,tpsa,ring_count,0.11664291785211672
Docking-44,clogp,rotatable_bonds,0.34002073759665963
Docking-44,clogp,ring_count,0.2913115308986538
Docking-44,rotatable_bonds,ring_count,0.010037843480954175
