dataset,descriptor,transformation,analysis_status,extreme_fraction_per_tail,low_threshold_inclusive,high_threshold_inclusive,low_ligands,high_ligands,low_descriptor_median,high_descriptor_median,geometry_spearman,geometry_dissimilarity,sign_flip_fraction,top_positive_10pct_pair_jaccard,first_pr,second_pr,first_mean_signed_correlation,second_mean_signed_correlation,first_mean_absolute_correlation,second_mean_absolute_correlation
DOCKSTRING-58,heavy_atoms,raw,exploratory_post_hoc,0.25,23.0,32.0,4367,3817,21.0,35.0,0.4090061489064716,0.5909938510935284,0.010889292196007259,0.16083916083916083,1.8532666635547803,3.128922246895944,0.7196782441516592,0.5321108443170238,0.7196782441516592,0.5334958116387758
DOCKSTRING-58,heavy_atoms,row_centered_residual,exploratory_post_hoc,0.25,23.0,32.0,4367,3817,21.0,35.0,0.3609419485950078,0.6390580514049922,0.3629764065335753,0.16083916083916083,20.02773356353145,23.77652218675296,-0.01087505951409442,-0.008368598640353896,0.14792490521936916,0.12329769516651927
DOCKSTRING-58,molecular_weight,raw,exploratory_post_hoc,0.25,325.36800000000005,449.49125000000026,3751,3750,286.31000000000006,498.5730000000002,0.40947327442193726,0.5905267255780627,0.017543859649122806,0.140893470790378,1.750967720500581,3.080338511406147,0.7418945400921497,0.5333522680272249,0.7418945400921497,0.5358799782364542
DOCKSTRING-58,molecular_weight,row_centered_residual,exploratory_post_hoc,0.25,325.36800000000005,449.49125000000026,3751,3750,286.31000000000006,498.5730000000002,0.3505978420709316,0.6494021579290684,0.3666061705989111,0.16083916083916083,19.552064499216343,23.799697948677796,-0.010967419936078042,-0.007760166233254693,0.15016451663472777,0.12368696855924498
DOCKSTRING-58,molecular_weight,group_heldout_descriptor_adjusted_residual,exploratory_post_hoc,0.25,325.36800000000005,449.49125000000026,3751,3750,286.31000000000006,498.5730000000002,0.43669105310837264,0.5633089468916274,0.32425892316999394,0.24812030075187969,21.16341844910971,29.16794166165827,-0.011252126518002897,-0.012855459211028887,0.14077533561731825,0.10437078593688462
DOCKSTRING-58,labute_asa,raw,exploratory_post_hoc,0.25,135.4931058894074,186.31782317299945,3750,3750,119.98869418753519,206.8504500925211,0.3671518318424023,0.6328481681575977,0.013309134906231096,0.136986301369863,1.765735872409854,3.119997434418672,0.7397918301464081,0.5314010080183573,0.7397918301464081,0.5332792479192928
DOCKSTRING-58,labute_asa,row_centered_residual,exploratory_post_hoc,0.25,135.4931058894074,186.31782317299945,3750,3750,119.98869418753519,206.8504500925211,0.32203190302999185,0.6779680969700081,0.37749546279491836,0.1527777777777778,20.056156718030277,23.617292901913153,-0.011227686603303918,-0.008386585310569468,0.1477606627759253,0.12400860402099162
DOCKSTRING-58,tpsa,raw,exploratory_post_hoc,0.25,56.790000000000006,97.39250000000001,3755,3750,44.120000000000005,115.13,0.8554971271465965,0.14450287285340346,0.0205686630369026,0.36065573770491804,2.038976579540731,2.524132058017489,0.6636414095038893,0.5799085271909818,0.6644726799383743,0.5882850257086557
DOCKSTRING-58,tpsa,row_centered_residual,exploratory_post_hoc,0.25,56.790000000000006,97.39250000000001,3755,3750,44.120000000000005,115.13,0.7871035949644485,0.21289640503555152,0.19721718088324258,0.4434782608695652,17.122871287503752,19.610748055910232,-0.006038936608260512,-0.001974812816852091,0.16305347026288652,0.1435246450137893
DOCKSTRING-58,clogp,raw,exploratory_post_hoc,0.25,2.4628749999999995,4.338650000000003,3750,3750,1.8009499999999996,5.067720000000004,0.8630028419359383,0.13699715806406165,0.017543859649122806,0.371900826446281,1.9187885260727513,2.9652014846651733,0.687164553546845,0.5329407216479787,0.6878701729928495,0.5382520328954105
DOCKSTRING-58,clogp,row_centered_residual,exploratory_post_hoc,0.25,2.4628749999999995,4.338650000000003,3750,3750,1.8009499999999996,5.067720000000004,0.8221111056209311,0.17788889437906885,0.17543859649122806,0.43103448275862066,18.687685027411217,19.398436438802907,-0.0060335784066459916,-0.00339664052751315,0.1511899864392203,0.14669448462423462
DOCKSTRING-58,rotatable_bonds,raw,exploratory_post_hoc,0.25,4.0,7.0,6154,4352,3.0,8.0,0.8968136259126797,0.10318637408732034,0.024803387779794312,0.43722943722943725,2.132047587984513,2.401993339064093,0.6438277598020278,0.5931661120992403,0.6450857879538121,0.6041942099743035
