dataset,transformation,target_a,target_b,low_mw_quintile_correlation,high_mw_quintile_correlation,high_minus_low_correlation,sign_flip,top_positive_10pct_in_low_mw,top_positive_10pct_in_high_mw
DOCKSTRING-58,raw,PPARD,ABL1,0.738424263937677,0.5327181930359273,-0.20570607090174975,False,False,False
DOCKSTRING-58,raw,PPARD,ADAM17,0.7352450288762993,0.6293753145972267,-0.10586971427907255,False,False,False
DOCKSTRING-58,raw,PPARD,ADRB1,0.7937039238311554,0.6865432738330541,-0.10716064999810127,False,False,False
DOCKSTRING-58,raw,PPARD,ADRB2,0.8181183320141185,0.6426510142426,-0.17546731777151858,False,False,False
DOCKSTRING-58,raw,PPARD,AKT2,0.7600543403233193,0.586284004107332,-0.17377033621598736,False,False,False
DOCKSTRING-58,raw,PPARD,MAOB,0.5314194902650381,0.01952581550173695,-0.5118936747633012,False,False,False
DOCKSTRING-58,raw,PPARD,CASP3,0.7243989647768195,0.4796723651978849,-0.2447265995789346,False,False,False
DOCKSTRING-58,raw,PPARD,DHFR,0.7737009756256922,0.5911759107538398,-0.18252506487185238,False,False,False
DOCKSTRING-58,raw,PPARD,ESR2,0.6792942097092658,0.6410928650410131,-0.038201344668252646,False,False,False
DOCKSTRING-58,raw,PPARD,PTK2,0.7831702934892022,0.6296733705296685,-0.15349692295953365,False,False,False
DOCKSTRING-58,raw,PPARD,FGFR1,0.6546001247721512,0.5197364105444894,-0.13486371422766186,False,False,False
DOCKSTRING-58,raw,PPARD,HMGCR,0.6509539752274702,0.5078499793245486,-0.14310399590292167,False,False,False
DOCKSTRING-58,raw,PPARD,HSP90AA1,0.7777750165062658,0.6090246946742498,-0.168750321832016,False,False,False
DOCKSTRING-58,raw,PPARD,KIT,0.6644602377453107,0.6348154689412451,-0.029644768804065635,False,False,False
DOCKSTRING-58,raw,PPARD,MAPKAPK2,0.7693596295273155,0.6451605356338789,-0.12419909389343664,False,False,False
DOCKSTRING-58,raw,PPARD,MAP2K1,0.8092401730776813,0.5948250748453839,-0.21441509823229732,False,False,False
DOCKSTRING-58,raw,PPARD,NOS1,0.6880806468652183,0.5689788984943224,-0.11910174837089593,False,False,False
DOCKSTRING-58,raw,PPARD,PARP1,0.7956908831553073,0.5173926350630271,-0.2782982480922802,False,False,False
DOCKSTRING-58,raw,PPARD,PDE5A,0.800350640258209,0.5969882029252034,-0.20336243733300563,False,False,False
DOCKSTRING-58,raw,PPARD,PGR,0.7569659542766185,0.39996611239892504,-0.35699984187769346,False,False,False
DOCKSTRING-58,raw,PPARD,PTPN1,0.671797444021569,0.6245501657727465,-0.04724727824882258,False,False,False
DOCKSTRING-58,raw,PPARD,ROCK1,0.8057953792483724,0.5921034818195859,-0.21369189742878647,False,False,False
DOCKSTRING-58,raw,PPARD,AKT1,0.7919155215766431,0.6192744557308235,-0.17264106584581962,False,False,False
DOCKSTRING-58,raw,PPARD,AR,0.5371686908956856,0.27052879707273897,-0.26663989382294667,False,False,False
DOCKSTRING-58,raw,PPARD,CDK2,0.7935244265796966,0.674135724286103,-0.11938870229359355,False,False,False
DOCKSTRING-58,raw,PPARD,CSF1R,0.7475263622644541,0.5706011131433498,-0.1769252491211043,False,False,False
DOCKSTRING-58,raw,PPARD,ESR1,0.70249937598845,0.5955086293141171,-0.10699074667433295,False,False,False
DOCKSTRING-58,raw,PPARD,NR3C1,0.8023507445651841,0.2393973044536021,-0.562953440111582,False,False,False
DOCKSTRING-58,raw,PPARD,IGF1R,0.7956844817523558,0.608959436091843,-0.18672504566051285,False,False,False
DOCKSTRING-58,raw,PPARD,JAK2,0.7648977196193597,0.6156035797382582,-0.14929413988110152,False,False,False
DOCKSTRING-58,raw,PPARD,LCK,0.797104521636783,0.5319206924054949,-0.26518382923128814,False,False,False
DOCKSTRING-58,raw,PPARD,MET,0.7720486580597363,0.5607941611777013,-0.21125449688203501,False,False,False
DOCKSTRING-58,raw,PPARD,MMP13,0.6725295623848637,0.6065295202764919,-0.06600004210837185,False,False,False
DOCKSTRING-58,raw,PPARD,PTGS2,0.7061852472040805,0.4619274866453645,-0.244257760558716,False,False,False
DOCKSTRING-58,raw,PPARD,PPARA,0.7871113219551484,0.6282511850089547,-0.15886013694619372,False,False,False
DOCKSTRING-58,raw,PPARD,PPARG,0.7864731780461016,0.6528333312812304,-0.13363984676487117,False,False,False
DOCKSTRING-58,raw,PPARD,REN,0.8027294470868273,0.5886353896270149,-0.21409405745981236,False,False,False
DOCKSTRING-58,raw,PPARD,ADORA2A,0.786936289999367,0.6042056292823518,-0.18273066071701527,False,False,False
