dataset,transformation,mw_quintile,ligands,lower_edge,upper_edge,median_molecular_weight,target_correlation_pr,mean_signed_target_correlation,mean_absolute_target_correlation,fixed_endpoint_roc_auc,fixed_endpoint_average_precision,fixed_endpoint_positive_pairs,fixed_endpoint_total_pairs
DOCKSTRING-58,raw,1,3000,171.199,311.3482000000001,276.32849999999996,1.6887161246570441,0.7579211993287642,0.7579211993287642,0.5820952380952381,0.18160898156548277,15.0,190.0
DOCKSTRING-58,raw,2,3001,311.3482000000001,361.4700000000001,338.40700000000004,2.521153312530961,0.5979415595115448,0.5979415595115448,0.6007619047619047,0.24009328900210475,15.0,190.0
DOCKSTRING-58,raw,3,2999,361.4700000000001,409.4860000000001,385.39500000000015,2.739200071494546,0.5705694630417318,0.5705815478732831,0.638095238095238,0.30355951393659775,15.0,190.0
DOCKSTRING-58,raw,4,3000,409.4860000000001,465.95820000000015,434.8480000000002,2.9511165609975345,0.5514966057111214,0.551592498267007,0.6811428571428572,0.279129605846142,15.0,190.0
DOCKSTRING-58,raw,5,3000,465.95820000000015,990.1129999999996,514.8580000000002,3.0242901295037354,0.5391779500265135,0.5416338575528536,0.6064761904761905,0.14489351195611494,15.0,190.0
DOCKSTRING-58,row_centered_residual,1,3000,171.199,311.3482000000001,276.32849999999996,19.537497891973363,-0.011243676069801197,0.15041779062502678,0.7550476190476191,0.2669340691600042,15.0,190.0
DOCKSTRING-58,row_centered_residual,2,3001,311.3482000000001,361.4700000000001,338.40700000000004,20.036309919272096,-0.009362818605442615,0.14735604859348733,0.6857142857142857,0.267712091354696,15.0,190.0
DOCKSTRING-58,row_centered_residual,3,2999,361.4700000000001,409.4860000000001,385.39500000000015,21.072436029337627,-0.008407528415106764,0.14229220100958273,0.6358095238095238,0.26596294037285123,15.0,190.0
DOCKSTRING-58,row_centered_residual,4,3000,409.4860000000001,465.95820000000015,434.8480000000002,22.846241468569488,-0.009974711900711433,0.13007600227776614,0.6323809523809524,0.25681357478883055,15.0,190.0
DOCKSTRING-58,row_centered_residual,5,3000,465.95820000000015,990.1129999999996,514.8580000000002,24.039195954732627,-0.007919974067268085,0.12234173765834026,0.6586666666666666,0.17645713630587917,15.0,190.0
DOCKSTRING-58,group_heldout_descriptor_adjusted_residual,1,3000,171.199,311.3482000000001,276.32849999999996,20.54555112887783,-0.011151124876218957,0.14401183802580583,0.7630476190476191,0.2679225674992535,15.0,190.0
DOCKSTRING-58,group_heldout_descriptor_adjusted_residual,2,3001,311.3482000000001,361.4700000000001,338.40700000000004,22.386970114456364,-0.011934182538298527,0.13313327395768443,0.6834285714285714,0.26713921459425155,15.0,190.0
DOCKSTRING-58,group_heldout_descriptor_adjusted_residual,3,2999,361.4700000000001,409.4860000000001,385.39500000000015,23.838130004911502,-0.011460790856637424,0.12744239840646523,0.6220952380952381,0.24114858584805798,15.0,190.0
DOCKSTRING-58,group_heldout_descriptor_adjusted_residual,4,3000,409.4860000000001,465.95820000000015,434.8480000000002,26.507269835937528,-0.012782251430283952,0.11276054730226479,0.6396190476190476,0.20703424431830483,15.0,190.0
DOCKSTRING-58,group_heldout_descriptor_adjusted_residual,5,3000,465.95820000000015,990.1129999999996,514.8580000000002,29.080737667815637,-0.012783360644641112,0.10503001856316116,0.6659047619047619,0.1732220162581277,15.0,190.0
Docking-44,raw,1,2531,16.043,204.18900000000002,168.148,1.176057439539338,0.9176383119424382,0.9176383119424382,,,,
Docking-44,raw,2,2530,204.18900000000002,258.284,231.3415,1.3989573539297364,0.8190523509959072,0.8194525794926392,,,,
Docking-44,raw,3,2530,258.284,306.4530000000001,282.44,1.615250744419504,0.7498779415022907,0.7537160795447432,,,,
Docking-44,raw,4,2531,306.4530000000001,368.359,332.46299999999997,2.0384738020921778,0.6492457679883625,0.649662839945533,,,,
Docking-44,raw,5,2529,368.359,1506.1350000000004,439.5520000000003,3.0513587610435193,0.49559253939499015,0.49903896986874824,,,,
Docking-44,row_centered_residual,1,2531,16.043,204.18900000000002,168.148,13.244214271663218,-0.013974346648973174,0.1814241321002193,,,,
Docking-44,row_centered_residual,2,2530,204.18900000000002,258.284,231.3415,17.88749320113486,0.0013846358607598546,0.1465481536448692,,,,
Docking-44,row_centered_residual,3,2530,258.284,306.4530000000001,282.44,17.067114128226844,0.001686700293087328,0.15609000269909826,,,,
Docking-44,row_centered_residual,4,2531,306.4530000000001,368.359,332.46299999999997,13.993909086068903,0.004237898867119603,0.18029816788160727,,,,
Docking-44,row_centered_residual,5,2529,368.359,1506.1350000000004,439.5520000000003,10.4383654841691,-0.0011382394638016896,0.229967678180449,,,,
Docking-44,group_heldout_descriptor_adjusted_residual,1,2531,16.043,204.18900000000002,168.148,10.806560678267044,-0.014293606615875616,0.22381612170722245,,,,
Docking-44,group_heldout_descriptor_adjusted_residual,2,2530,204.18900000000002,258.284,231.3415,20.634527178573695,-0.00612139237121156,0.13216268691594704,,,,
Docking-44,group_heldout_descriptor_adjusted_residual,3,2530,258.284,306.4530000000001,282.44,21.958952918297214,-0.006552514347522463,0.1241383091309325,,,,
Docking-44,group_heldout_descriptor_adjusted_residual,4,2531,306.4530000000001,368.359,332.46299999999997,18.57285071043002,-0.004294672387517509,0.1449504724266882,,,,
Docking-44,group_heldout_descriptor_adjusted_residual,5,2529,368.359,1506.1350000000004,439.5520000000003,12.079210105906089,0.0005482557334706874,0.20957431385866776,,,,
