dataset,transformation,repetition,first_ligands,second_ligands,geometry_spearman,geometry_dissimilarity,sign_flip_fraction,top_positive_10pct_pair_jaccard,first_pr,second_pr,first_mean_signed_correlation,second_mean_signed_correlation,first_mean_absolute_correlation,second_mean_absolute_correlation
DOCKSTRING-58,raw,0,3751,3750,0.995646700300398,0.004353299699601965,0.0030248033877797943,0.8547486033519553,2.2300430916534744,2.2411312298008297,0.6199928226494728,0.6203211389073099,0.6268191864267977,0.6258762693341018
DOCKSTRING-58,row_centered_residual,0,3751,3750,0.9901214381808965,0.009878561819103515,0.03932244404113733,0.8547486033519553,17.503766945726433,18.12240147275804,-0.0017639594326839538,-0.002693414334972109,0.15902728046879538,0.15512920679731715
DOCKSTRING-58,group_heldout_descriptor_adjusted_residual,0,3751,3750,0.9773876855266427,0.02261231447335732,0.06715063520871144,0.7659574468085106,28.000162942927695,28.276749738616935,-0.01210365836395468,-0.01207079781815782,0.10891948382115234,0.1080248500891168
DOCKSTRING-58,raw,1,3751,3750,0.9968586319859409,0.003141368014059065,0.0030248033877797943,0.8863636363636364,2.2800052818259027,2.228295891372078,0.6110198719761204,0.6206774697417669,0.6180810394402144,0.627441267154178
DOCKSTRING-58,row_centered_residual,1,3751,3750,0.991057394893066,0.00894260510693401,0.0338777979431337,0.8863636363636364,17.63410441326752,17.47337465222534,-0.0013270568147699406,-0.0021832337966038416,0.15850455623876514,0.16016450167061339
DOCKSTRING-58,group_heldout_descriptor_adjusted_residual,1,3751,3750,0.9797424156711063,0.020257584328893685,0.06715063520871144,0.7473684210526316,28.151384709579425,27.806686271378517,-0.012031299190708023,-0.012180095431793417,0.10853673028742687,0.1101575151182272
DOCKSTRING-58,raw,2,3751,3750,0.9963549538809564,0.0036450461190435934,0.004839685420447671,0.8444444444444444,2.2825206910432865,2.271452633270277,0.6118384883426264,0.6126180609293225,0.6191753513688675,0.619821109468151
DOCKSTRING-58,row_centered_residual,2,3751,3750,0.9919053841507388,0.008094615849261189,0.0338777979431337,0.8863636363636364,17.894574394658644,17.766649609296383,-0.0020141817036157528,-0.002169400639896776,0.15662207263810735,0.1565477317085211
DOCKSTRING-58,group_heldout_descriptor_adjusted_residual,2,3751,3750,0.9798867609384818,0.020113239061518184,0.06412583182093164,0.7945945945945946,28.684465310373206,28.331350200450878,-0.012144637745975267,-0.012194008035755679,0.10636257571368131,0.10788134504012298
DOCKSTRING-58,raw,3,3751,3750,0.9960725068834466,0.003927493116553382,0.003629764065335753,0.8241758241758241,2.2942760777275626,2.240575890407589,0.6100075028306862,0.6169383033143989,0.6169676140213514,0.6246365089194582
DOCKSTRING-58,row_centered_residual,3,3751,3750,0.988877117149604,0.011122882850395976,0.03871748336358137,0.8547486033519553,17.729751144889548,17.88370290882219,-0.002597342345029542,-0.0018428106248766611,0.15805100758382207,0.1562297602346041
DOCKSTRING-58,group_heldout_descriptor_adjusted_residual,3,3751,3750,0.9767559484875976,0.023244051512402386,0.06957047791893527,0.7945945945945946,27.806870388347996,28.983038770220155,-0.012330657231613138,-0.012152963403942712,0.10954785201984432,0.10524510557559823
DOCKSTRING-58,raw,4,3751,3750,0.9959734976669177,0.004026502333082327,0.007259528130671506,0.8043478260869565,2.2623430059812826,2.2103438630947765,0.6145649086606609,0.6259871211310494,0.6221357764679719,0.6311482577491307
DOCKSTRING-58,row_centered_residual,4,3751,3750,0.9905873362435089,0.00941266375649108,0.03750756200846945,0.8342541436464088,18.06079121572382,17.854090363401475,-0.0022465220026899745,-0.0027571595445274122,0.15595405554042308,0.15703388298070525
DOCKSTRING-58,group_heldout_descriptor_adjusted_residual,4,3751,3750,0.9790923545144633,0.020907645485536697,0.062310949788263764,0.7754010695187166,28.350097824166888,28.046130499400448,-0.012214445220060583,-0.01234967761054758,0.10797419934828002,0.10900850690500438
DOCKSTRING-58,raw,5,3751,3750,0.9960073376387667,0.003992662361233301,0.0030248033877797943,0.8342541436464088,2.241007291328113,2.214849554187913,0.621361945610136,0.6224530380386941,0.6268109326219519,0.6296560680631931
DOCKSTRING-58,row_centered_residual,5,3751,3750,0.9912035228895859,0.008796477110414092,0.038112522686025406,0.8547486033519553,17.66137113483701,18.17552560786531,-0.002201530587992485,-0.0022023155728033168,0.15905887874687938,0.1537754793032086
DOCKSTRING-58,group_heldout_descriptor_adjusted_residual,5,3751,3750,0.9799737081724251,0.02002629182757487,0.06533575317604355,0.7849462365591398,27.918027649288998,28.245748828931394,-0.012114412002787801,-0.012109125542236662,0.1097968172139397,0.10806982329385817
DOCKSTRING-58,raw,6,3751,3750,0.9967330731236014,0.0032669268763986237,0.004234724742891712,0.8547486033519553,2.1777188034242876,2.2579613370773326,0.631376753907182,0.6160903962158142,0.6368338122673646,0.6223678225488449
DOCKSTRING-58,row_centered_residual,6,3751,3750,0.9917494365313911,0.008250563468608862,0.03508771929824561,0.8547486033519553,18.265375400016648,17.333862977133354,-0.003110445963056787,-0.0019090054418956358,0.15438193241566783,0.16098290255267295
DOCKSTRING-58,group_heldout_descriptor_adjusted_residual,6,3751,3750,0.97945894048257,0.020541059517430016,0.0677555958862674,0.7754010695187166,28.428437195416695,27.53400214534495,-0.012350040781089616,-0.011946440552744325,0.10754223764452195,0.11091602867659368
DOCKSTRING-58,raw,7,3751,3750,0.9965185000179682,0.0034814999820318437,0.004234724742891712,0.8241758241758241,2.2063688982114713,2.2697076590725485,0.6251891716587272,0.615167498001698,0.631583091046371,0.6209184920356666
DOCKSTRING-58,row_centered_residual,7,3751,3750,0.9901312657741972,0.009868734225802811,0.04295220810647308,0.8342541436464088,18.001750873895933,17.72616283546693,-0.0025604187141609644,-0.0017785113401244047,0.15657023402093304,0.1574955361152867
DOCKSTRING-58,group_heldout_descriptor_adjusted_residual,7,3751,3750,0.9797308823965677,0.020269117603432307,0.0647307924984876,0.7659574468085106,28.08849814838166,28.326888609051796,-0.012131684241309705,-0.012003579508738814,0.10892661387774416,0.10814357165814299
DOCKSTRING-58,raw,8,3751,3750,0.9962088763640993,0.0037911236359007283,0.003629764065335753,0.8342541436464088,2.223401632432587,2.276732344736322,0.6215386547807836,0.6134256077271061,0.628642233765043,0.6197435566411843
DOCKSTRING-58,row_centered_residual,8,3751,3750,0.9914832971217914,0.008516702878208604,0.039927404718693285,0.8241758241758241,17.777461316160377,17.6867294578585,-0.0018639102725297367,-0.002374156629754555,0.15788733147810535,0.15845215506031388
DOCKSTRING-58,group_heldout_descriptor_adjusted_residual,8,3751,3750,0.9802036005273074,0.019796399472692627,0.062310949788263764,0.7945945945945946,28.20379912109207,28.107978859058385,-0.012046315259086237,-0.01210803937449651,0.10876035749101898,0.10870550799633094
DOCKSTRING-58,raw,9,3751,3750,0.9962731821408628,0.003726817859137199,0.004839685420447671,0.8142076502732241,2.252424954229929,2.2167269651487698,0.6152754798928338,0.6237622199389414,0.6232389036535471,0.6297552755802704
DOCKSTRING-58,row_centered_residual,9,3751,3750,0.9905412164294765,0.009458783570523543,0.04053236539624924,0.8651685393258427,18.064519148045495,17.953080818309413,-0.0018673474852653825,-0.0025778705386671086,0.15609862043373937,0.1562851816273288
