dataset,mw_band,control_type,transformation,repetitions,geometry_spearman_mean,geometry_spearman_median,geometry_spearman_q025,geometry_spearman_q975,first_ligands_mean,second_ligands_mean,chemical_group_overlap_mean,chemical_group_overlap_maximum,absolute_median_mw_difference_mean,mw_ks_statistic_mean,interval_interpretation
DOCKSTRING-58,high_mw,mw_stratified_chemical_group_disjoint,raw,200,0.9792790518204079,0.9797030946706063,0.9708136047962396,0.9842972196237445,1874.685,1875.315,0.0,0,0.44699750000003236,0.01652918441906377,central 95% repeated-split composition-sensitivity range; not a population confidence interval
DOCKSTRING-58,high_mw,mw_stratified_chemical_group_disjoint,row_centered_residual,200,0.9655916393026598,0.9665673644909718,0.956838166946139,0.9724595046299972,1874.685,1875.315,0.0,0,0.44699750000003236,0.01652918441906377,central 95% repeated-split composition-sensitivity range; not a population confidence interval
DOCKSTRING-58,high_mw,row_random_disjoint,raw,500,0.9816646660495856,0.9821096222627554,0.9750632177407681,0.9859989208723368,1875.0,1875.0,179.278,204,1.5064500000000196,0.027794133333333335,central 95% repeated-split composition-sensitivity range; not a population confidence interval
DOCKSTRING-58,high_mw,row_random_disjoint,row_centered_residual,500,0.9684372862216168,0.968832564968216,0.9608896797602604,0.9736301230288747,1875.0,1875.0,179.278,204,1.5064500000000196,0.027794133333333335,central 95% repeated-split composition-sensitivity range; not a population confidence interval
DOCKSTRING-58,low_mw,mw_stratified_chemical_group_disjoint,raw,200,0.9911555227745348,0.9913866352095828,0.9879650115467447,0.9934673926299299,1876.385,1874.615,0.0,0,1.4027325000000144,0.03427379197584957,central 95% repeated-split composition-sensitivity range; not a population confidence interval
DOCKSTRING-58,low_mw,mw_stratified_chemical_group_disjoint,row_centered_residual,200,0.9783629176216376,0.9785907673302487,0.9735095979188053,0.9822790977675284,1876.385,1874.615,0.0,0,1.4027325000000144,0.03427379197584957,central 95% repeated-split composition-sensitivity range; not a population confidence interval
DOCKSTRING-58,low_mw,row_random_disjoint,raw,500,0.9928258503441338,0.9930108303160088,0.9897977763984844,0.9946147500666079,1875.0,1875.0,247.47,272,1.0545100000000125,0.02805653333333333,central 95% repeated-split composition-sensitivity range; not a population confidence interval
DOCKSTRING-58,low_mw,row_random_disjoint,row_centered_residual,500,0.9807373907766884,0.9809980773571714,0.9768616069384476,0.9839699509365839,1875.0,1875.0,247.47,272,1.0545100000000125,0.02805653333333333,central 95% repeated-split composition-sensitivity range; not a population confidence interval
Docking-44,high_mw,mw_stratified_chemical_group_disjoint,raw,200,0.9890983174031232,0.9893274236929843,0.9824073513589977,0.9927555073054938,1581.245,1581.755,0.0,0,1.3785675000000106,0.024819883029097392,central 95% repeated-split composition-sensitivity range; not a population confidence interval
Docking-44,high_mw,mw_stratified_chemical_group_disjoint,row_centered_residual,200,0.9776386936437524,0.9784086289083709,0.9674644642157719,0.9848013046085292,1581.245,1581.755,0.0,0,1.3785675000000106,0.024819883029097392,central 95% repeated-split composition-sensitivity range; not a population confidence interval
Docking-44,high_mw,row_random_disjoint,raw,500,0.993975337683989,0.9941727136049475,0.9914370240484529,0.9957301555054556,1581.0,1581.0,325.512,349,2.9186100000000086,0.030313725490196078,central 95% repeated-split composition-sensitivity range; not a population confidence interval
Docking-44,high_mw,row_random_disjoint,row_centered_residual,500,0.987615566697436,0.9879989594485798,0.9822864987035808,0.990727668408963,1581.0,1581.0,325.512,349,2.9186100000000086,0.030313725490196078,central 95% repeated-split composition-sensitivity range; not a population confidence interval
Docking-44,low_mw,mw_stratified_chemical_group_disjoint,raw,200,0.988730857888295,0.9889680004215501,0.9844833584594396,0.9921032083562472,1581.49,1581.51,0.0,0,0.8564824999999971,0.017940692762660235,central 95% repeated-split composition-sensitivity range; not a population confidence interval
Docking-44,low_mw,mw_stratified_chemical_group_disjoint,row_centered_residual,200,0.9799025862578818,0.9799932054444467,0.974010170146316,0.984333402327803,1581.49,1581.51,0.0,0,0.8564824999999971,0.017940692762660235,central 95% repeated-split composition-sensitivity range; not a population confidence interval
Docking-44,low_mw,row_random_disjoint,raw,500,0.9891454599530333,0.9893073525744628,0.9850033843435281,0.9922267049137704,1581.0,1581.0,157.75,181,1.5837979999999976,0.030864010120177105,central 95% repeated-split composition-sensitivity range; not a population confidence interval
Docking-44,low_mw,row_random_disjoint,row_centered_residual,500,0.981027481379732,0.9813613583412948,0.9751562097521184,0.9848128090022933,1581.0,1581.0,157.75,181,1.5837979999999976,0.030864010120177105,central 95% repeated-split composition-sensitivity range; not a population confidence interval
