dataset,mw_band,control_type,repetition,split_seed,first_ligands,second_ligands,unassigned_ligands,first_chemical_groups,second_chemical_groups,chemical_group_overlap,first_median_molecular_weight,second_median_molecular_weight,absolute_median_mw_difference,mw_ks_statistic,transformation,geometry_spearman,geometry_dissimilarity,sign_flip_fraction,top_positive_10pct_pair_jaccard,first_pr,second_pr,first_mean_signed_correlation,second_mean_signed_correlation,first_mean_absolute_correlation,second_mean_absolute_correlation
DOCKSTRING-58,low_mw,row_random_disjoint,0,20260812,1875,1875,1,1533,1531,262,287.36600000000004,285.32199999999995,2.0440000000000964,0.05173333333333333,raw,0.9904721150847468,0.009527884915253249,0.0,0.8043478260869565,1.7538883741677935,1.7465121064014113,0.7412229792651879,0.742876310495522,0.7412229792651879,0.742876310495522
DOCKSTRING-58,low_mw,row_random_disjoint,0,20260812,1875,1875,1,1533,1531,262,287.36600000000004,285.32199999999995,2.0440000000000964,0.05173333333333333,row_centered_residual,0.9786302264856153,0.021369773514384738,0.0677555958862674,0.7849462365591398,19.403495424311924,19.501667544981196,-0.010682207272179755,-0.011251503886128575,0.15144055748214377,0.15025254930761311
DOCKSTRING-58,low_mw,row_random_disjoint,1,20260812,1875,1875,1,1541,1499,239,286.353,285.77399999999994,0.5790000000000646,0.0208,raw,0.9916153545765108,0.008384645423489157,0.0,0.8043478260869565,1.7330909940756707,1.7689116446719615,0.745882016119759,0.7378950795848267,0.745882016119759,0.7378950795848267
DOCKSTRING-58,low_mw,row_random_disjoint,1,20260812,1875,1875,1,1541,1499,239,286.353,285.77399999999994,0.5790000000000646,0.0208,row_centered_residual,0.9832663105994204,0.01673368940057962,0.06352087114337568,0.7754010695187166,19.255995598405686,19.644482045561904,-0.010863518802549934,-0.011067391319821934,0.15202269826231912,0.14961357712257456
DOCKSTRING-58,low_mw,row_random_disjoint,2,20260812,1875,1875,1,1528,1526,253,286.379,285.687,0.6920000000000073,0.022933333333333333,raw,0.9937998035342152,0.006200196465784846,0.0,0.8043478260869565,1.7496909618432521,1.7510826159632933,0.7422555715969297,0.741743000251202,0.7422555715969297,0.741743000251202
DOCKSTRING-58,low_mw,row_random_disjoint,2,20260812,1875,1875,1,1528,1526,253,286.379,285.687,0.6920000000000073,0.022933333333333333,row_centered_residual,0.9814213958242086,0.01857860417579138,0.06291591046581972,0.7473684210526316,19.278303148926305,19.587220461907282,-0.010865002533246888,-0.011067824626255168,0.15146883657673482,0.15031400090975572
DOCKSTRING-58,low_mw,row_random_disjoint,3,20260812,1875,1875,1,1526,1530,255,286.3310000000001,286.17300000000006,0.15800000000001546,0.0208,raw,0.9920116305568192,0.00798836944318082,0.0,0.7945945945945946,1.7496297947134112,1.7505396456804632,0.7421632357658469,0.7419343427730883,0.7421632357658469,0.7419343427730883
DOCKSTRING-58,low_mw,row_random_disjoint,3,20260812,1875,1875,1,1526,1530,255,286.3310000000001,286.17300000000006,0.15800000000001546,0.0208,row_centered_residual,0.9833756096966884,0.016624390303311642,0.06170598911070781,0.7849462365591398,19.364475702321847,19.57458656385492,-0.010890454522236219,-0.011033789776760679,0.1517395037065707,0.1495095841303875
DOCKSTRING-58,low_mw,row_random_disjoint,4,20260812,1875,1875,1,1515,1526,240,286.239,286.342,0.10300000000000864,0.021866666666666666,raw,0.9938307953903524,0.006169204609647649,0.0,0.7945945945945946,1.7159057246079146,1.7863283178286575,0.7503809272100426,0.7335022204531085,0.7503809272100426,0.7335022204531085
DOCKSTRING-58,low_mw,row_random_disjoint,4,20260812,1875,1875,1,1515,1526,240,286.239,286.342,0.10300000000000864,0.021866666666666666,row_centered_residual,0.9797706098911945,0.020229390108805534,0.06654567453115548,0.7754010695187166,19.676880335077332,19.191009002346252,-0.010908122815018807,-0.011043710260777573,0.14978026113189044,0.15229230531596485
