target,cells,cells_at_pkd_5_floor,fraction_at_pkd_5_floor,cells_above_pkd_5_floor,excluded_by_gt_90_percent_floor_rule
ABL1,72,30,0.4166666666666667,42,False
AKT1,72,67,0.9305555555555556,5,True
AKT2,72,65,0.9027777777777778,7,True
CDK2,72,61,0.8472222222222222,11,False
CSF1R,72,28,0.3888888888888889,44,False
EGFR,72,42,0.5833333333333334,30,False
FGFR1,72,42,0.5833333333333334,30,False
IGF1R,72,59,0.8194444444444444,13,False
JAK2,72,44,0.6111111111111112,28,False
KDR,72,38,0.5277777777777778,34,False
KIT,72,31,0.4305555555555556,41,False
LCK,72,24,0.3333333333333333,48,False
MAP2K1,72,44,0.6111111111111112,28,False
MAPK1,72,70,0.9722222222222222,2,True
MAPK14,72,62,0.8611111111111112,10,False
MAPKAPK2,72,69,0.9583333333333334,3,True
MET,72,41,0.5694444444444444,31,False
PLK1,72,62,0.8611111111111112,10,False
ROCK1,72,52,0.7222222222222222,20,False
SRC,72,34,0.4722222222222222,38,False
