drug_name,standard_inchikey,connectivity_block,davis_smiles,dockstring_rows,dockstring_row_indices,dockstring_reported_inchikeys,maximum_target_score_range_across_duplicate_rows
Erlotinib,AAKJLRGGTJKAMG-UHFFFAOYSA-N,AAKJLRGGTJKAMG,COCCOC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC=CC(=C3)C#C)OCCOC,1,15,AAKJLRGGTJKAMG-LNNLXFCONA-N,0.0
LY-317615,AXRCEOKUDYDWLF-UHFFFAOYSA-N,AXRCEOKUDYDWLF,CN1C=C(C2=CC=CC=C21)C3=C(C(=O)NC3=O)C4=CN(C5=CC=CC=C54)C6CCN(CC6)CC7=CC=CC=N7,1,14091,AXRCEOKUDYDWLF-ZYMSVLFVNA-N,0.0
Lapatinib,BCFGMOOMADDAQU-UHFFFAOYSA-N,BCFGMOOMADDAQU,CS(=O)(=O)CCNCC1=CC=C(O1)C2=CC3=C(C=C2)N=CN=C3NC4=CC(=C(C=C4)OCC5=CC(=CC=C5)F)Cl,1,5877,BCFGMOOMADDAQU-CSKMVECVNA-N,0.0
SGX-523,BCZUAADEACICHN-UHFFFAOYSA-N,BCZUAADEACICHN,CN1C=C(C=N1)C2=NN3C(=NN=C3SC4=CC5=C(C=C4)N=CC=C5)C=C2,1,26042,BCZUAADEACICHN-UHFFFAOYNA-N,0.0
Flavopiridol,BIIVYFLTOXDAOV-UHFFFAOYSA-N,BIIVYFLTOXDAOV,CN1CCC(C(C1)O)C2=C(C=C(C3=C2OC(=CC3=O)C4=CC=CC=C4Cl)O)O,1,452,BIIVYFLTOXDAOV-UHFFFAOYNA-N,0.0
A-674563,BPNUQXPIQBZCMR-UHFFFAOYSA-N,BPNUQXPIQBZCMR,CC1=C2C=C(C=CC2=NN1)C3=CC(=CN=C3)OCC(CC4=CC=CC=C4)N,1,738,BPNUQXPIQBZCMR-HXTKINSTNA-N,0.0
SB-203580,CDMGBJANTYXAIV-UHFFFAOYSA-N,CDMGBJANTYXAIV,CS(=O)C1=CC=C(C=C1)C2=NC(=C(N2)C3=CC=NC=C3)C4=CC=C(C=C4)F,1,32,CDMGBJANTYXAIV-LNNLXFCONA-N,0.0
Pazopanib,CUIHSIWYWATEQL-UHFFFAOYSA-N,CUIHSIWYWATEQL,CC1=C(C=C(C=C1)NC2=NC=CC(=N2)N(C)C3=CC4=NN(C(=C4C=C3)C)C)S(=O)(=O)N,1,1070,CUIHSIWYWATEQL-HQOSXFPVNA-N,0.0
AC220,CVWXJKQAOSCOAB-UHFFFAOYSA-N,CVWXJKQAOSCOAB,CC(C)(C)C1=CC(=NO1)NC(=O)NC2=CC=C(C=C2)C3=CN4C5=C(C=C(C=C5)OCCN6CCOCC6)SC4=N3,1,18761,CVWXJKQAOSCOAB-MTTPVDACNA-N,0.0
EXEL-2880,CXQHYVUVSFXTMY-UHFFFAOYSA-N,CXQHYVUVSFXTMY,COC1=CC2=C(C=CN=C2C=C1OCCCN3CCOCC3)OC4=C(C=C(C=C4)NC(=O)C5(CC5)C(=O)NC6=CC=C(C=C6)F)F,1,23645,CXQHYVUVSFXTMY-ZEAXPUFNNA-N,0.0
