synthetic_pkd_floor,representation,pair_stratum,mean_per_ligand_pairwise_concordance,pair_weighted_concordance,evaluated_ligands,evaluated_pairs,excluded_by_experimental_margin,excluded_both_censored_pairs,excluded_by_stratum,predicted_score_ties_half_credit,chance_concordance,difference_from_chance_0_5,mean_within_ligand_spearman,spearman_evaluated_ligands,top1_accuracy_allowing_experimental_ties,top1_evaluated_ligands
5.0,absolute_vina,all_informative,0.5393789136767917,0.5159109645507007,56,6065,9,6316,0,222,0.5,0.039378913676791694,0.04372425418252428,56,0.03571428571428571,56
5.0,absolute_vina,both_uncensored,0.45923629247458775,0.4860557768924303,49,1757,9,6316,4308,60,0.5,-0.04076370752541225,,0,,0
5.0,absolute_vina,floor_vs_uncensored,0.5473020602833384,0.5280872794800371,56,4308,9,6316,1757,162,0.5,0.04730206028333839,,0,,0
5.0,target_centered_unscaled,all_informative,0.5263861251163744,0.5185490519373455,56,6065,9,6316,0,0,0.5,0.026386125116374393,0.0381981954198542,56,0.05357142857142857,56
5.0,target_centered_unscaled,both_uncensored,0.48168344816003883,0.50199203187251,49,1757,9,6316,4308,0,0.5,-0.01831655183996117,,0,,0
5.0,target_centered_unscaled,floor_vs_uncensored,0.5298303695839356,0.5253017641597029,56,4308,9,6316,1757,0,0.5,0.02983036958393559,,0,,0
5.0,column_standardized,all_informative,0.5236072665066815,0.5170651277823578,56,6065,9,6316,0,0,0.5,0.023607266506681546,0.034121819659735174,56,0.03571428571428571,56
5.0,column_standardized,both_uncensored,0.4818544811642051,0.5014228799089356,49,1757,9,6316,4308,0,0.5,-0.018145518835794905,,0,,0
5.0,column_standardized,floor_vs_uncensored,0.5263696206212357,0.5234447539461468,56,4308,9,6316,1757,0,0.5,0.026369620621235712,,0,,0
5.0,target_centered_residual_scaled,all_informative,0.5055783523675234,0.49793899422918386,56,6065,9,6316,0,0,0.5,0.005578352367523354,0.004208898892792376,56,0.07142857142857142,56
5.0,target_centered_residual_scaled,both_uncensored,0.46688938756765885,0.4906089926010245,49,1757,9,6316,4308,0,0.5,-0.03311061243234115,,0,,0
5.0,target_centered_residual_scaled,floor_vs_uncensored,0.5074363273111852,0.5009285051067781,56,4308,9,6316,1757,0,0.5,0.0074363273111851536,,0,,0
5.0,two_way_residual,all_informative,0.5301429582811821,0.5208573784006595,56,6065,9,6316,0,0,0.5,0.030142958281182075,0.043259769408575066,56,0.07142857142857142,56
5.0,two_way_residual,both_uncensored,0.5033432109662602,0.49971542401821284,49,1757,9,6316,4308,0,0.5,0.003343210966260224,,0,,0
5.0,two_way_residual,floor_vs_uncensored,0.5342054693990863,0.5294800371402043,56,4308,9,6316,1757,0,0.5,0.03420546939908631,,0,,0
5.0,docking_target_prior,all_informative,0.521980099424031,0.4964550700741962,56,6065,9,6316,0,0,0.5,0.021980099424031008,0.014089642530983937,56,0.0,56
5.0,docking_target_prior,both_uncensored,0.4762303378449837,0.4718269778030734,49,1757,9,6316,4308,0,0.5,-0.023769662155016302,,0,,0
5.0,docking_target_prior,floor_vs_uncensored,0.5350272747476695,0.5064995357474467,56,4308,9,6316,1757,0,0.5,0.035027274747669535,,0,,0
5.5,absolute_vina,all_informative,0.5311882098336829,0.5100092678405932,54,5395,9,6986,0,195,0.5,0.031188209833682867,0.029383260627375247,54,0.037037037037037035,54
5.5,absolute_vina,both_uncensored,0.47634097455069324,0.5007007708479327,46,1427,9,6986,3968,53,0.5,-0.02365902544930676,,0,,0
5.5,absolute_vina,floor_vs_uncensored,0.5341892579368929,0.5133568548387096,54,3968,9,6986,1427,142,0.5,0.03418925793689287,,0,,0
5.5,target_centered_unscaled,all_informative,0.5132979893343028,0.5113994439295644,54,5395,9,6986,0,0,0.5,0.013297989334302818,0.022228028977117547,54,0.05555555555555555,54
5.5,target_centered_unscaled,both_uncensored,0.47514095026882747,0.5164681149264191,46,1427,9,6986,3968,0,0.5,-0.024859049731172533,,0,,0
5.5,target_centered_unscaled,floor_vs_uncensored,0.5152086687558333,0.5095766129032258,54,3968,9,6986,1427,0,0.5,0.015208668755833266,,0,,0
5.5,column_standardized,all_informative,0.5092496723096984,0.5086190917516219,54,5395,9,6986,0,0,0.5,0.00924967230969842,0.016308041055142115,54,0.037037037037037035,54
5.5,column_standardized,both_uncensored,0.4889522053204917,0.5185704274702172,46,1427,9,6986,3968,0,0.5,-0.011047794679508283,,0,,0
5.5,column_standardized,floor_vs_uncensored,0.509655653570076,0.5050403225806451,54,3968,9,6986,1427,0,0.5,0.009655653570076028,,0,,0
5.5,target_centered_residual_scaled,all_informative,0.48995396399400176,0.48878591288229845,54,5395,9,6986,0,0,0.5,-0.010046036005998238,-0.014533643572068444,54,0.07407407407407407,54
5.5,target_centered_residual_scaled,both_uncensored,0.4754119518825401,0.5066573230553609,46,1427,9,6986,3968,0,0.5,-0.024588048117459904,,0,,0
5.5,target_centered_residual_scaled,floor_vs_uncensored,0.48967313841949367,0.48235887096774194,54,3968,9,6986,1427,0,0.5,-0.01032686158050633,,0,,0
5.5,two_way_residual,all_informative,0.5163883021438004,0.5138090824837813,54,5395,9,6986,0,0,0.5,0.016388302143800382,0.025681254222279182,54,0.07407407407407407,54
5.5,two_way_residual,both_uncensored,0.5061600223684622,0.5178696566222845,46,1427,9,6986,3968,0,0.5,0.006160022368462248,,0,,0
5.5,two_way_residual,floor_vs_uncensored,0.5176257791580822,0.5123487903225806,54,3968,9,6986,1427,0,0.5,0.017625779158082167,,0,,0
5.5,docking_target_prior,all_informative,0.526522202188424,0.49712696941612605,54,5395,9,6986,0,0,0.5,0.02652220218842405,0.013677854380287673,54,0.0,54
5.5,docking_target_prior,both_uncensored,0.48637373567041087,0.4835318850735809,46,1427,9,6986,3968,0,0.5,-0.013626264329589133,,0,,0
5.5,docking_target_prior,floor_vs_uncensored,0.5300365109549018,0.5020161290322581,54,3968,9,6986,1427,0,0.5,0.030036510954901785,,0,,0
6.0,absolute_vina,all_informative,0.5205554703499803,0.5024498886414254,53,4490,6,7894,0,162,0.5,0.020555470349980287,0.01222327733221423,53,0.03773584905660377,53
6.0,absolute_vina,both_uncensored,0.5272947342625214,0.49903660886319845,42,1038,6,7894,3452,34,0.5,0.02729473426252138,,0,,0
6.0,absolute_vina,floor_vs_uncensored,0.522586392206405,0.503476245654693,53,3452,6,7894,1038,128,0.5,0.022586392206405015,,0,,0
6.0,target_centered_unscaled,all_informative,0.5134905684133028,0.5091314031180401,53,4490,6,7894,0,0,0.5,0.013490568413302761,0.014622198944543072,53,0.05660377358490566,53
6.0,target_centered_unscaled,both_uncensored,0.5139491331368082,0.5154142581888247,42,1038,6,7894,3452,0,0.5,0.013949133136808234,,0,,0
6.0,target_centered_unscaled,floor_vs_uncensored,0.5155872950765635,0.5072421784472769,53,3452,6,7894,1038,0,0.5,0.015587295076563534,,0,,0
6.0,column_standardized,all_informative,0.5115464717740503,0.5075723830734966,53,4490,6,7894,0,0,0.5,0.011546471774050326,0.012758661863802062,53,0.03773584905660377,53
6.0,column_standardized,both_uncensored,0.4950283998603326,0.5163776493256262,42,1038,6,7894,3452,0,0.5,-0.004971600139667409,,0,,0
6.0,column_standardized,floor_vs_uncensored,0.5132188216128992,0.5049246813441484,53,3452,6,7894,1038,0,0.5,0.013218821612899223,,0,,0
6.0,target_centered_residual_scaled,all_informative,0.48997395643891223,0.48552338530066813,53,4490,6,7894,0,0,0.5,-0.010026043561087772,-0.018380878265442917,53,0.07547169811320754,53
6.0,target_centered_residual_scaled,both_uncensored,0.486384696328674,0.5048169556840078,42,1038,6,7894,3452,0,0.5,-0.013615303671326018,,0,,0
6.0,target_centered_residual_scaled,floor_vs_uncensored,0.4909902975155243,0.4797219003476246,53,3452,6,7894,1038,0,0.5,-0.00900970248447569,,0,,0
6.0,two_way_residual,all_informative,0.5185943657380143,0.5131403118040089,53,4490,6,7894,0,0,0.5,0.018594365738014318,0.02022066265264631,53,0.07547169811320754,53
6.0,two_way_residual,both_uncensored,0.5278382539236881,0.5192678227360308,42,1038,6,7894,3452,0,0.5,0.027838253923688105,,0,,0
6.0,two_way_residual,floor_vs_uncensored,0.5199500676591712,0.511297798377752,53,3452,6,7894,1038,0,0.5,0.019950067659171178,,0,,0
6.0,docking_target_prior,all_informative,0.5061502537830518,0.4902004454342984,53,4490,6,7894,0,0,0.5,0.0061502537830517845,-0.002215748417430347,53,0.0,53
6.0,docking_target_prior,both_uncensored,0.4835604482663306,0.47880539499036606,42,1038,6,7894,3452,0,0.5,-0.0164395517336694,,0,,0
6.0,docking_target_prior,floor_vs_uncensored,0.5100534149658765,0.4936268829663963,53,3452,6,7894,1038,0,0.5,0.010053414965876528,,0,,0
6.5,absolute_vina,all_informative,0.5242114477328472,0.5029854990048337,51,3517,4,8869,0,116,0.5,0.024211447732847224,0.015019614189029348,51,0.0392156862745098,51
6.5,absolute_vina,both_uncensored,0.5147317647317647,0.4823529411764706,37,595,4,8869,2922,16,0.5,0.01473176473176474,,0,,0
6.5,absolute_vina,floor_vs_uncensored,0.5244404970875668,0.5071868583162218,51,2922,4,8869,595,100,0.5,0.024440497087566793,,0,,0
6.5,target_centered_unscaled,all_informative,0.5081562581606456,0.5058288313903896,51,3517,4,8869,0,0,0.5,0.00815625816064558,0.006773522765425776,51,0.058823529411764705,51
6.5,target_centered_unscaled,both_uncensored,0.5111232111232111,0.492436974789916,37,595,4,8869,2922,0,0.5,0.01112321112321113,,0,,0
6.5,target_centered_unscaled,floor_vs_uncensored,0.5096248100171187,0.5085557837097878,51,2922,4,8869,595,0,0.5,0.009624810017118679,,0,,0
6.5,column_standardized,all_informative,0.5046412649866197,0.5049758316747228,51,3517,4,8869,0,0,0.5,0.004641264986619653,0.005700049669108975,51,0.0392156862745098,51
6.5,column_standardized,both_uncensored,0.4867097867097867,0.4890756302521008,37,595,4,8869,2922,0,0.5,-0.013290213290213293,,0,,0
6.5,column_standardized,floor_vs_uncensored,0.5070686891526838,0.5082135523613963,51,2922,4,8869,595,0,0.5,0.007068689152683771,,0,,0
6.5,target_centered_residual_scaled,all_informative,0.4836156084930467,0.48365083878305376,51,3517,4,8869,0,0,0.5,-0.01638439150695331,-0.02147336112278281,51,0.0784313725490196,51
6.5,target_centered_residual_scaled,both_uncensored,0.477903177903178,0.48067226890756304,37,595,4,8869,2922,0,0.5,-0.02209682209682201,,0,,0
6.5,target_centered_residual_scaled,floor_vs_uncensored,0.48468482019715203,0.48425735797399044,51,2922,4,8869,595,0,0.5,-0.015315179802847967,,0,,0
6.5,two_way_residual,all_informative,0.5153109108823895,0.5115154961615013,51,3517,4,8869,0,0,0.5,0.01531091088238945,0.014575996542856639,51,0.0784313725490196,51
6.5,two_way_residual,both_uncensored,0.5290482790482791,0.4991596638655462,37,595,4,8869,2922,0,0.5,0.029048279048279113,,0,,0
6.5,two_way_residual,floor_vs_uncensored,0.5155325003075869,0.5140314852840521,51,2922,4,8869,595,0,0.5,0.015532500307586905,,0,,0
6.5,docking_target_prior,all_informative,0.5145590593757297,0.499289166903611,51,3517,4,8869,0,0,0.5,0.014559059375729655,0.009569950975329866,51,0.0,51
6.5,docking_target_prior,both_uncensored,0.47284702284702296,0.4907563025210084,37,595,4,8869,2922,0,0.5,-0.027152977152977043,,0,,0
6.5,docking_target_prior,floor_vs_uncensored,0.5158464484099072,0.5010266940451745,51,2922,4,8869,595,0,0.5,0.015846448409907232,,0,,0
7.0,absolute_vina,all_informative,0.5311733679023652,0.4994473102431835,48,2714,2,9674,0,87,0.5,0.031173367902365245,0.015547913162273426,48,0.041666666666666664,48
7.0,absolute_vina,both_uncensored,0.4917226292226292,0.5480132450331126,32,302,2,9674,2412,7,0.5,-0.008277370777370785,,0,,0
7.0,absolute_vina,floor_vs_uncensored,0.5268554863934628,0.49336650082918737,48,2412,2,9674,302,80,0.5,0.026855486393462802,,0,,0
7.0,target_centered_unscaled,all_informative,0.5100656669087176,0.5014738393515107,48,2714,2,9674,0,0,0.5,0.010065666908717574,0.0036620879785894405,48,0.0625,48
7.0,target_centered_unscaled,both_uncensored,0.5078970797720798,0.5463576158940397,32,302,2,9674,2412,0,0.5,0.007897079772079763,,0,,0
7.0,target_centered_unscaled,floor_vs_uncensored,0.5069549040001365,0.49585406301824214,48,2412,2,9674,302,0,0.5,0.006954904000136541,,0,,0
7.0,column_standardized,all_informative,0.5095340078255716,0.5033161385408991,48,2714,2,9674,0,0,0.5,0.009534007825571567,0.005504908409363907,48,0.041666666666666664,48
7.0,column_standardized,both_uncensored,0.48498041310541307,0.5331125827814569,32,302,2,9674,2412,0,0.5,-0.015019586894586934,,0,,0
7.0,column_standardized,floor_vs_uncensored,0.5079079485670411,0.4995854063018242,48,2412,2,9674,302,0,0.5,0.007907948567041134,,0,,0
7.0,target_centered_residual_scaled,all_informative,0.4974168823340104,0.48563006632277084,48,2714,2,9674,0,0,0.5,-0.0025831176659896204,-0.011186690114325845,48,0.08333333333333333,48
7.0,target_centered_residual_scaled,both_uncensored,0.45961284086284077,0.5099337748344371,32,302,2,9674,2412,0,0.5,-0.040387159137159234,,0,,0
7.0,target_centered_residual_scaled,floor_vs_uncensored,0.4962372434447613,0.48258706467661694,48,2412,2,9674,302,0,0.5,-0.003762756555238722,,0,,0
