deleted_target,all_informative__absolute_vina,all_informative__target_centered_unscaled,all_informative__column_standardized,all_informative__target_centered_residual_scaled,all_informative__two_way_residual,all_informative__two_way_residual_minus_absolute_vina,both_uncensored__absolute_vina,both_uncensored__target_centered_unscaled,both_uncensored__column_standardized,both_uncensored__target_centered_residual_scaled,both_uncensored__two_way_residual,both_uncensored__two_way_residual_minus_absolute_vina,floor_vs_uncensored__absolute_vina,floor_vs_uncensored__target_centered_unscaled,floor_vs_uncensored__column_standardized,floor_vs_uncensored__target_centered_residual_scaled,floor_vs_uncensored__two_way_residual,floor_vs_uncensored__two_way_residual_minus_absolute_vina
ABL1,0.5239106526680553,0.5255589845671856,0.5265292540047766,0.5069794947304692,0.5285214244847075,0.004610771816652278,0.44200193841550384,0.4728328905099613,0.4814133179079157,0.4749070790487357,0.49282680105009036,0.05082486263458652,0.5313698031660217,0.5303192034044326,0.5303785788445853,0.5083888820909912,0.5343851814664646,0.0030153783004429843
AKT1,0.5497457960074725,0.527508218184803,0.5243892794797874,0.5090047047329319,0.5295157519368106,-0.02023004407066199,0.4660688667741489,0.48860050069533867,0.48878360201889615,0.47656024003563013,0.5058329736601045,0.03976410688595562,0.562853846567151,0.5306759962718679,0.5270339515123004,0.5092181833627819,0.5332535499285901,-0.029600296638560963
AKT2,0.5323403042335727,0.5195869137956147,0.516012768024675,0.49869479129116245,0.5218021266741529,-0.010538177559419774,0.44586628024503167,0.4682002526840462,0.4683085988308077,0.4540494041994642,0.4899458617946013,0.044079581549569556,0.5425804622930467,0.5262843411084335,0.5214710423305624,0.5035185565950764,0.5291723267116597,-0.013408135581387063
CDK2,0.5418263835643855,0.5294491607514744,0.525994396539818,0.5119978679972341,0.530640156911349,-0.011186226653036598,0.45904352433151446,0.483079977166987,0.4704208055923742,0.4565612378725124,0.48422706559961465,0.02518354126810009,0.5494160855909974,0.5327225414803889,0.5283162839307489,0.5141012890642019,0.5349200702588001,-0.014496015332197397
CSF1R,0.5386132857211507,0.5346662316582285,0.5280129784687033,0.510249465228326,0.539832304179063,0.0012190184579122707,0.4540180213499541,0.47687720220733426,0.47963703296836546,0.4645591692110299,0.49985463160733273,0.04583661025737855,0.5488235719447547,0.5410565086436534,0.5325990369357946,0.5146823555974626,0.5466777215615171,-0.0021458503832377978
EGFR,0.5286158664298974,0.5238641697276727,0.5216575255745236,0.5021203498610661,0.5275656695115146,-0.001050196918382854,0.46453278735819414,0.4840992780917688,0.4832153314631412,0.46974219749563934,0.5018335440112661,0.03730075665307205,0.5329186416263006,0.5248351019895137,0.5225740653434503,0.5013846102102857,0.5290325822971476,-0.003886059329153189
FGFR1,0.5313946531930231,0.5168688182376635,0.5158856875555136,0.49877343835793103,0.5221979657656654,-0.009196687427357736,0.462914321572785,0.48313061266242535,0.4930203316757938,0.47791021170372916,0.5052249848768455,0.042310663304060664,0.5381995600311956,0.518140067311583,0.5159901499437034,0.49920880955130176,0.5236320111561985,-0.014567548874997189
IGF1R,0.5309628619354898,0.5252436998322011,0.5238937945279504,0.5066386960412042,0.530269796505504,-0.0006930654299859672,0.46414281108158656,0.4844797936934792,0.48362361261520925,0.4710399799835575,0.5078526515501305,0.04370984046854395,0.5377391838452348,0.5287803164527374,0.5263410508625913,0.5080575571421367,0.5340603251445039,-0.0036788587007309365
JAK2,0.5400636189581361,0.52423612893009,0.5222037330804551,0.5058473441454009,0.5270712660128498,-0.012992352945286398,0.4543143930899033,0.48410386132474975,0.48363804396217364,0.4670376664374264,0.49763142464222904,0.043317031552325684,0.5507180983131199,0.5301262188526189,0.5271946004010425,0.510525677023355,0.5340301734997459,-0.016687924813373996
KDR,0.5406796595555032,0.527904588092918,0.5265920791608546,0.5035444754298412,0.5319355534232717,-0.008744106132231533,0.44942193827247845,0.48092161051344723,0.47800118049217694,0.4623397033361018,0.5088997248360992,0.05947778656362089,0.5506103238494361,0.5326207583504202,0.5311368489358387,0.5074278364540209,0.5349953085838065,-0.015615015265629625
