target,davis_protein,n_ligands,uncensored_cells,floor_cells,floor_fraction,unique_pkd_values,pkd_minimum,pkd_maximum,pkd_range,uncensored_pkd_standard_deviation
ABL1,abl1,59,35,24,0.4067796610169492,35,5.0,10.537602002101044,5.537602002101044,1.2452590319365255
AKT1,akt1,59,2,57,0.9661016949152542,3,5.0,7.698970004336019,2.6989700043360187,0.40996891278847225
AKT2,akt2,59,4,55,0.9322033898305084,5,5.0,7.356547323513813,2.356547323513813,1.0109376702500004
CDK2,cdk2,59,9,50,0.847457627118644,10,5.0,9.275724130399212,4.275724130399212,1.4408884298500189
CSF1R,csf1r,59,36,23,0.3898305084745763,36,5.0,9.236572006437065,4.236572006437065,1.207620066387288
EGFR,egfr,59,26,33,0.559322033898305,26,5.0,9.721246399047171,4.721246399047171,1.3084341895665383
FGFR1,fgfr1,59,24,35,0.5932203389830508,25,5.0,7.356547323513813,2.356547323513813,0.7201716564067644
IGF1R,igf1r,59,10,49,0.8305084745762712,11,5.0,8.568636235841012,3.568636235841012,1.0313664833374114
JAK2,jak2_jh1domain_catalytic,59,22,37,0.6271186440677966,23,5.0,10.443697499232712,5.443697499232712,1.4430466158856559
KDR,vegfr2,59,28,31,0.5254237288135594,29,5.0,8.958607314841775,3.9586073148417746,1.08162799334039
KIT,kit,59,34,25,0.423728813559322,35,5.0,9.431798275933003,4.431798275933003,1.070541918486996
LCK,lck,59,39,20,0.3389830508474576,35,5.0,9.69897000433602,4.6989700043360205,1.073997275431482
MAP2K1,mek1,59,22,37,0.6271186440677966,19,5.0,7.920818753952375,2.920818753952375,0.7652713695479045
MAPK1,erk2,59,2,57,0.9661016949152542,3,5.0,6.522878745280337,1.5228787452803374,0.9801925552705797
MAPK14,p38_alpha,59,9,50,0.847457627118644,10,5.0,9.346787486224656,4.346787486224656,1.0253440209062605
MAPKAPK2,mapkapk2,59,2,57,0.9661016949152542,3,5.0,6.055517327849832,1.0555173278498318,0.4492255917844451
MET,met,59,24,35,0.5932203389830508,24,5.0,9.721246399047171,4.721246399047171,1.2211564822260306
PLK1,plk1,59,8,51,0.864406779661017,9,5.0,9.721246399047171,4.721246399047171,1.2331714560932094
PTK2,fak,59,12,47,0.7966101694915254,13,5.0,8.958607314841775,3.9586073148417746,0.962910695091138
ROCK1,rock1,59,14,45,0.7627118644067796,13,5.0,9.55284196865778,4.552841968657781,1.085799976893832
SRC,src,59,30,29,0.4915254237288136,30,5.0,9.67778070526608,4.6777807052660805,1.2041713098112845
