evaluation_identity,representation,roc_auc,average_precision
AHJRHEGDXFFMBM-UHFFFAOYSA-N,absolute_vina,,
AJLPDJZYNSSQJO-UHFFFAOYSA-N,absolute_vina,0.39444444444444443,0.27296777296777297
ANERBUIPYRATIP-VLIAUNLRSA-N,absolute_vina,,
AQJWACKPYCXBCF-SFHVURJKSA-N,absolute_vina,0.5333333333333333,0.6285014005602241
ASKIKAANLSSJGL-UHFFFAOYSA-N,absolute_vina,0.45,0.07692307692307693
ASUBFYXRDNJNOB-UHFFFAOYSA-N,absolute_vina,,
AXWDQRXGOKDXJT-UHFFFAOYSA-N,absolute_vina,1.0,1.0
BAVKHKJJAGWXBX-UHFFFAOYSA-N,absolute_vina,0.5648148148148149,0.24310776942355888
BBQOARXEMKNYLC-UHFFFAOYSA-N,absolute_vina,,
BSBQPLUISHJULY-UHFFFAOYSA-N,absolute_vina,0.20918367346938774,0.2561050061050061
BURBAFXROHRDAV-UHFFFAOYSA-N,absolute_vina,0.975,0.5
BVFBTDPKGZCIBA-UHFFFAOYSA-N,absolute_vina,0.5,0.16616161616161618
CCZQCOZJIRYKNS-UHFFFAOYSA-N,absolute_vina,,
CNJVEOVFYHCDGZ-UHFFFAOYSA-N,absolute_vina,,
COKWOGHRTHBMJL-UHFFFAOYSA-N,absolute_vina,0.5220588235294117,0.22916666666666666
CXEXTPDLKDYOMC-UHFFFAOYSA-N,absolute_vina,0.275,0.0625
CYGVOJDKMSFPSA-UHFFFAOYSA-N,absolute_vina,0.5588235294117647,0.30783991228070173
DANPUZSWWCDWEM-UHFFFAOYSA-N,absolute_vina,0.4605263157894737,0.21428571428571427
DIJIJDANNOSBAG-LLVKDONJSA-N,absolute_vina,0.15000000000000002,0.05555555555555555
DJNZZLZKAXGMMC-UHFFFAOYSA-N,absolute_vina,0.7236842105263158,0.25757575757575757
DKXHSOUZPMHNIZ-UHFFFAOYSA-N,absolute_vina,0.42592592592592593,0.14657097288676235
DKXUHTCPDJKABE-UHFFFAOYSA-N,absolute_vina,0.15000000000000002,0.05555555555555555
DTRYLKVJZPTTIX-UHFFFAOYSA-N,absolute_vina,0.3088235294117647,0.16855419799498747
DUACVOORSOOZRH-UHFFFAOYSA-N,absolute_vina,0.5073529411764706,0.42782738095238093
DWBXNQKRJAOIHK-NRFANRHFSA-N,absolute_vina,0.8289473684210527,0.30952380952380953
FAICIPSJBXCWEZ-UHFFFAOYSA-N,absolute_vina,0.6666666666666667,0.23333333333333334
FBHNLBFMQWTPTN-WBVHZDCISA-N,absolute_vina,,
FISKNRRMNMXILF-UHFFFAOYSA-N,absolute_vina,0.4625,0.4352380952380952
FLUPOKVTJQLXSE-UHFFFAOYSA-N,absolute_vina,0.26363636363636367,0.37668916051268986
FMTCKHIVPRUMEG-UHFFFAOYSA-N,absolute_vina,0.0,0.047619047619047616
FOHZGCHKLPIBBX-UHFFFAOYSA-N,absolute_vina,0.6,0.1
FTHCHPDGJBUELK-UHFFFAOYSA-N,absolute_vina,0.4342105263157895,0.15000000000000002
FUWKNYZEQAGYBA-UHFFFAOYSA-N,absolute_vina,,
GALNGZPXDPAWDR-QGZVFWFLSA-N,absolute_vina,0.5147058823529411,0.2583333333333333
GBRORGYPYNNDGL-UHFFFAOYSA-N,absolute_vina,0.46052631578947373,0.12142857142857143
GFMMXOIFOQCCGU-UHFFFAOYSA-N,absolute_vina,,
GIWGYHXKKYZEQA-UHFFFAOYSA-N,absolute_vina,0.35526315789473684,0.10427807486631016
GVVAOKGDOGVPSI-UHFFFAOYSA-N,absolute_vina,0.81875,0.6436507936507937
GWTAEVKZCDFFEX-UHFFFAOYSA-N,absolute_vina,0.7631578947368421,0.5833333333333334
HABRRQSUPGOZTD-UHFFFAOYSA-N,absolute_vina,,
HCRQPXYLXXLKPT-UHFFFAOYSA-N,absolute_vina,0.625,0.1111111111111111
HEKAIDKUDLCBRU-UHFFFAOYSA-N,absolute_vina,0.0,0.047619047619047616
HESLKTSGTIBHJU-UHFFFAOYSA-N,absolute_vina,0.6617647058823529,0.32711038961038963
HNQXYQNMPSACKT-UHFFFAOYSA-N,absolute_vina,0.7592592592592592,0.5054945054945055
HVNQYDHDQBJAAH-UHFFFAOYSA-N,absolute_vina,0.85,0.2
HZJDBCYRQSJNLZ-UHFFFAOYSA-N,absolute_vina,0.4736842105263158,0.11666666666666667
IAUZTOZLTFSMIE-UHFFFAOYSA-N,absolute_vina,0.868421052631579,0.3666666666666667
IBAYIPZJRQHHLX-OAHLLOKOSA-N,absolute_vina,0.8500000000000001,0.25
IBCXZJCWDGCXQT-UHFFFAOYSA-N,absolute_vina,,
IFPPYSWJNWHOLQ-UHFFFAOYSA-N,absolute_vina,0.7222222222222222,0.8402777777777778
IHKGTVZWLMITRF-UHFFFAOYSA-N,absolute_vina,0.8026315789473685,0.6
IJMSMJUUYYSKBT-UHFFFAOYSA-N,absolute_vina,,
INZKYFAYQUYDOC-UHFFFAOYSA-N,absolute_vina,0.275,0.23174603174603173
ISXAVIPPPMJTPN-UHFFFAOYSA-N,absolute_vina,,
IYWBGQMZDRCNAW-UHFFFAOYSA-N,absolute_vina,,
JIJYWPGTRDMEFZ-UHFFFAOYSA-N,absolute_vina,,
JIQRMBNAYWCUEG-UHFFFAOYSA-N,absolute_vina,0.26315789473684215,0.125
JMBATVPHKFZTAF-UHFFFAOYSA-N,absolute_vina,0.6315789473684211,0.19642857142857142
JOAWBRMGMMCJGS-ZBFHGGJFSA-N,absolute_vina,0.9,0.3333333333333333
JONFDFIXMPXTRH-UHFFFAOYSA-N,absolute_vina,,
JONPLOXVIREWEK-UHFFFAOYSA-N,absolute_vina,,
KCAJXIDMCNPGHZ-UHFFFAOYSA-N,absolute_vina,0.775,0.16666666666666666
KCJAPLFLYYZXFD-UHFFFAOYSA-N,absolute_vina,0.2894736842105263,0.09821428571428571
KFAFRWFUXQYYSW-UHFFFAOYSA-N,absolute_vina,0.6691176470588235,0.49935897435897436
KFMQOHDPKOQCMU-UHFFFAOYSA-N,absolute_vina,,
KJUCPVIVNLPLEE-UHFFFAOYSA-N,absolute_vina,0.42592592592592593,0.40672336922336927
KKVSVOHZYJFTQM-UHFFFAOYSA-N,absolute_vina,0.7763157894736842,0.5909090909090909
KPILPRJNCZJVNG-UHFFFAOYSA-N,absolute_vina,0.4846938775510204,0.4239745898359344
KTEIFNKAUNYNJU-GFCCVEGCSA-N,absolute_vina,0.45408163265306123,0.41514703967711486
LIHQCVPFINJLRH-UHFFFAOYSA-N,absolute_vina,0.30000000000000004,0.06666666666666667
LOAIUSJMQXSEBK-UHFFFAOYSA-N,absolute_vina,0.625,0.1111111111111111
LVHOFIUXRMSCFN-UHFFFAOYSA-N,absolute_vina,0.45,0.07692307692307693
MAOSUPNJVJGJEU-UHFFFAOYSA-N,absolute_vina,0.575,0.09090909090909091
MDEAKINSCUXXNF-UHFFFAOYSA-N,absolute_vina,0.4907407407407408,0.19393939393939394
MKVMEJKNLUWFSQ-UHFFFAOYSA-N,absolute_vina,0.30092592592592593,0.3520826114221367
MNHRKQKSNCFFOW-UHFFFAOYSA-N,absolute_vina,0.6710526315789473,0.20192307692307693
MUJSVAMMIKEZPF-UHFFFAOYSA-N,absolute_vina,0.325,0.06666666666666667
MVCOAUNKQVWQHZ-UHFFFAOYSA-N,absolute_vina,0.19117647058823528,0.14345238095238094
MZTUKIVBKFNLSN-UHFFFAOYSA-N,absolute_vina,0.6166666666666667,0.43105423987776925
NDRPTJVBXDZQSJ-UHFFFAOYSA-N,absolute_vina,0.30000000000000004,0.06666666666666667
NFLNGTZCZDPIPL-UHFFFAOYSA-N,absolute_vina,0.625,0.1111111111111111
NHJSWORVNIOXIT-UHFFFAOYSA-N,absolute_vina,0.25,0.0900735294117647
NPHKXSDZIKFIRU-UHFFFAOYSA-N,absolute_vina,,
NPRGDRYIMFLLIG-HNNXBMFYSA-N,absolute_vina,0.9210526315789473,0.7
NPRGGISRWJDWPO-UHFFFAOYSA-N,absolute_vina,,
NWZJBVCVSXFQRM-UHFFFAOYSA-N,absolute_vina,0.875,0.25
OCINIHGZWSHFSH-UHFFFAOYSA-N,absolute_vina,0.5624999999999999,0.48666666666666664
OGNYUTNQZVRGMN-UHFFFAOYSA-N,absolute_vina,0.4852941176470588,0.2757659007659008
OHVZOXZMVPDEDV-UHFFFAOYSA-N,absolute_vina,0.47368421052631576,0.2976190476190476
OMZCMEYTWSXEPZ-UHFFFAOYSA-N,absolute_vina,0.5,0.24533991228070173
OSVNSMJGPXYEBY-UHFFFAOYSA-N,absolute_vina,0.6,0.1111111111111111
OVNJVYZXVSMONK-CQSZACIVSA-N,absolute_vina,0.4855769230769231,0.38667763157894736
PDMUGYOXRHVNMO-UHFFFAOYSA-N,absolute_vina,0.55,0.09090909090909091
PTFWTMLTKFRZKM-UHFFFAOYSA-N,absolute_vina,0.65,0.1111111111111111
PXRULJZQXIUNTM-UHFFFAOYSA-N,absolute_vina,,
QBUKWINFURUTNN-UHFFFAOYSA-N,absolute_vina,0.6838235294117647,0.4603386809269162
QEIJYXMTALGXJH-GDLZYMKVSA-N,absolute_vina,0.95,0.5
QEIJYXMTALGXJH-LJAQVGFWSA-N,absolute_vina,0.85,0.25
QLCDVXBLLOIZEO-UTKZUKDTSA-N,absolute_vina,0.9750000000000001,0.5
QUKIIQWKXMTFAE-UHFFFAOYSA-N,absolute_vina,0.513157894736842,0.1380952380952381
QVWIVWPIJUYRRF-UHFFFAOYSA-N,absolute_vina,0.07500000000000001,0.047619047619047616
RGYLSTMWQZFYAE-UHFFFAOYSA-N,absolute_vina,0.85,0.2
RITAVMQDGBJQJZ-FMIVXFBMSA-N,absolute_vina,0.7749999999999999,0.4760606060606061
RLXHHNOPSKGTDC-UHFFFAOYSA-N,absolute_vina,,
RNXPIGAWEIQILT-UHFFFAOYSA-N,absolute_vina,0.875,0.25
ROZXJVHSZADRDQ-UHFFFAOYSA-N,absolute_vina,0.325,0.06666666666666667
RPSIDICSSBFGPU-UHFFFAOYSA-N,absolute_vina,,
RTDGHNXXZKSIDE-OAHLLOKOSA-N,absolute_vina,0.5394736842105263,0.18382352941176472
SAYGKHKXGCPTLX-UHFFFAOYSA-N,absolute_vina,0.712962962962963,0.30158730158730157
SIXVRXARNAVBTC-UHFFFAOYSA-N,absolute_vina,0.22368421052631582,0.08608058608058608
SJMSBWUNRHAZIS-UHFFFAOYSA-N,absolute_vina,0.3981481481481482,0.15317460317460319
SLIYJTVHXLYNJL-UHFFFAOYSA-N,absolute_vina,,
SPESUKLLJMFRNX-UHFFFAOYSA-N,absolute_vina,,
SUDAHWBOROXANE-SECBINFHSA-N,absolute_vina,1.0,1.0
TWOLOZGQZKJZKJ-UHFFFAOYSA-N,absolute_vina,0.6062500000000001,0.5875
TXXYVBLFLGPQOR-GDBMZVCRSA-N,absolute_vina,,
TXXYVBLFLGPQOR-GOEBONIOSA-N,absolute_vina,0.15000000000000002,0.05555555555555555
UHBZCEYZFPBQEU-UHFFFAOYSA-N,absolute_vina,0.625,0.1111111111111111
UJLAWZDWDVHWOW-YPMHNXCESA-N,absolute_vina,0.875,0.25
UJPJYIXFJSSTRL-UHFFFAOYSA-N,absolute_vina,0.525,0.09090909090909091
VBJULRMRDQBSIN-UHFFFAOYSA-N,absolute_vina,,
VBVQRWCLJVUBMP-UHFFFAOYSA-N,absolute_vina,0.6447368421052632,0.5625
VFCFJSWYTMMESK-UHFFFAOYSA-N,absolute_vina,0.675,0.125
VNDDOAWIHYNTOI-UHFFFAOYSA-N,absolute_vina,0.5441176470588235,0.2928113553113553
VQYHPUHKYSSEOB-ZDUSSCGKSA-N,absolute_vina,0.7000000000000001,0.14285714285714285
VRFCECOEWLDCBE-UHFFFAOYSA-N,absolute_vina,0.32142857142857145,0.33397799311112
VYPFXAQENHJVIR-UHFFFAOYSA-N,absolute_vina,0.65,0.1111111111111111
WHARNYOKNQYQGR-UHFFFAOYSA-N,absolute_vina,0.15000000000000002,0.05555555555555555
WLALQQYUBWGRLL-UHFFFAOYSA-N,absolute_vina,0.8999999999999999,0.25
WNZMTWAJENZPDM-UHFFFAOYSA-N,absolute_vina,0.9473684210526315,0.75
WOZKSDHVBUBBLG-UHFFFAOYSA-N,absolute_vina,0.09999999999999998,0.05263157894736842
WQQPBXGJFFKXKX-UHFFFAOYSA-N,absolute_vina,0.6029411764705882,0.26309523809523805
WXOGYBWIHWKUMA-UHFFFAOYSA-N,absolute_vina,0.5204081632653061,0.4561355311355311
WYSOLHCQRQBXQP-UHFFFAOYSA-N,absolute_vina,0.875,0.25
XCAXPNXUNVKBEX-UHFFFAOYSA-N,absolute_vina,0.24375000000000002,0.21668509509066783
XDLYKKIQACFMJG-WKILWMFISA-N,absolute_vina,,
