representation,experimental_margin_name,experimental_margin_percentage_points,mean_per_ligand_pairwise_concordance,pair_weighted_concordance,evaluated_ligands,evaluated_pairs,median_pairs_per_evaluated_ligand,minimum_pairs_per_evaluated_ligand,maximum_pairs_per_evaluated_ligand,excluded_by_experimental_margin,excluded_by_activity_stratum_after_margin,predicted_score_ties_half_credit,chance_concordance,difference_from_chance_0_5,mean_within_ligand_spearman,spearman_evaluated_ligands,top1_accuracy_allowing_experimental_ties,top1_evaluated_ligands
absolute_vina,exact_non_ties,0.0,0.5134576820882613,0.5134643377001455,154,24732,166.5,39,207,7608,0,1108,0.5,0.013457682088261258,0.03134105111489113,154,0.07142857142857142,154
absolute_vina,absolute_difference_gt_5,5.0,0.518861747278075,0.5172723194257515,154,20061,138.0,20,186,12279,0,904,0.5,0.018861747278074992,0.03134105111489113,154,0.07142857142857142,154
absolute_vina,absolute_difference_gt_10,10.0,0.5253641604250487,0.525400499482244,154,16417,108.0,16,178,15923,0,753,0.5,0.025364160425048743,0.03134105111489113,154,0.07142857142857142,154
absolute_vina,absolute_difference_gt_20,20.0,0.5447207089059192,0.5410763648928818,151,11576,73.0,16,158,20764,0,519,0.5,0.04472070890591917,0.03134105111489113,154,0.07142857142857142,154
target_centered_unscaled,exact_non_ties,0.0,0.5187393909989992,0.5189228529839883,154,24732,166.5,39,207,7608,0,0,0.5,0.01873939099899924,0.04098344200246438,154,0.08441558441558442,154
target_centered_unscaled,absolute_difference_gt_5,5.0,0.5230791544391344,0.520961068740342,154,20061,138.0,20,186,12279,0,0,0.5,0.02307915443913444,0.04098344200246438,154,0.08441558441558442,154
target_centered_unscaled,absolute_difference_gt_10,10.0,0.5248586352406385,0.527258329780106,154,16417,108.0,16,178,15923,0,0,0.5,0.02485863524063847,0.04098344200246438,154,0.08441558441558442,154
target_centered_unscaled,absolute_difference_gt_20,20.0,0.5354448777194909,0.5393918451969593,151,11576,73.0,16,158,20764,0,0,0.5,0.0354448777194909,0.04098344200246438,154,0.08441558441558442,154
column_standardized,exact_non_ties,0.0,0.5183506320193562,0.5177502830341258,154,24732,166.5,39,207,7608,0,0,0.5,0.01835063201935616,0.03792082248383942,154,0.09740259740259741,154
column_standardized,absolute_difference_gt_5,5.0,0.5223012417808455,0.518917302228204,154,20061,138.0,20,186,12279,0,0,0.5,0.02230124178084547,0.03792082248383942,154,0.09740259740259741,154
column_standardized,absolute_difference_gt_10,10.0,0.5240439529488716,0.5245172686848998,154,16417,108.0,16,178,15923,0,0,0.5,0.024043952948871627,0.03792082248383942,154,0.09740259740259741,154
column_standardized,absolute_difference_gt_20,20.0,0.5343195975506336,0.5353317208016586,151,11576,73.0,16,158,20764,0,0,0.5,0.03431959755063363,0.03792082248383942,154,0.09740259740259741,154
target_centered_residual_scaled,exact_non_ties,0.0,0.5049163514119108,0.502668607472101,154,24732,166.5,39,207,7608,0,0,0.5,0.004916351411910824,0.007421932440101464,154,0.09090909090909091,154
target_centered_residual_scaled,absolute_difference_gt_5,5.0,0.5062873230220392,0.501021883256069,154,20061,138.0,20,186,12279,0,0,0.5,0.00628732302203916,0.007421932440101464,154,0.09090909090909091,154
target_centered_residual_scaled,absolute_difference_gt_10,10.0,0.5074392585006554,0.5052689285496741,154,16417,108.0,16,178,15923,0,0,0.5,0.00743925850065541,0.007421932440101464,154,0.09090909090909091,154
target_centered_residual_scaled,absolute_difference_gt_20,20.0,0.5093595686087207,0.5075155494125777,151,11576,73.0,16,158,20764,0,0,0.5,0.00935956860872067,0.007421932440101464,154,0.09090909090909091,154
two_way_residual,exact_non_ties,0.0,0.5163108989877772,0.5162138120653404,154,24732,166.5,39,207,7608,0,0,0.5,0.016310898987777156,0.036703331928638346,154,0.07792207792207792,154
two_way_residual,absolute_difference_gt_5,5.0,0.5208224083582299,0.5180200388814117,154,20061,138.0,20,186,12279,0,0,0.5,0.020822408358229905,0.036703331928638346,154,0.07792207792207792,154
two_way_residual,absolute_difference_gt_10,10.0,0.5225163766430134,0.524395443747335,154,16417,108.0,16,178,15923,0,0,0.5,0.022516376643013425,0.036703331928638346,154,0.07792207792207792,154
two_way_residual,absolute_difference_gt_20,20.0,0.5323453398142709,0.5355044920525225,151,11576,73.0,16,158,20764,0,0,0.5,0.0323453398142709,0.036703331928638346,154,0.07792207792207792,154
docking_target_prior,exact_non_ties,0.0,0.4981198792944759,0.49551188743328484,154,24732,166.5,39,207,7608,0,0,0.5,-0.0018801207055241242,-0.006520652150998159,154,0.0,154
docking_target_prior,absolute_difference_gt_5,5.0,0.49500343034573013,0.49718359005034646,154,20061,138.0,20,186,12279,0,0,0.5,-0.004996569654269867,-0.006520652150998159,154,0.0,154
docking_target_prior,absolute_difference_gt_10,10.0,0.5043561143130592,0.502040567704209,154,16417,108.0,16,178,15923,0,0,0.5,0.004356114313059156,-0.006520652150998159,154,0.0,154
docking_target_prior,absolute_difference_gt_20,20.0,0.5146610192481449,0.5051831375259157,151,11576,73.0,16,158,20764,0,0,0.5,0.014661019248144891,-0.006520652150998159,154,0.0,154
