standard_inchikey,connectivity_block,pkis2_rows,pkis2_excel_rows,pkis2_regno,pkis2_compound,pkis2_smiles,maximum_target_experimental_range_across_duplicate_rows,dockstring_rows,dockstring_row_indices,dockstring_reported_inchikeys,maximum_target_score_range_across_duplicate_rows
AHJRHEGDXFFMBM-UHFFFAOYSA-N,AHJRHEGDXFFMBM,1,37,0,PFE-PKIS 32,CC(C1=CN=C(NC2=NC=C(N3CCNCC3)C=C2)N=C1N4C5CCCC5)=C(C(C)=O)C4=O,0.0,1,13441,AHJRHEGDXFFMBM-LBOYIXSDNA-N,0.0
AJLPDJZYNSSQJO-UHFFFAOYSA-N,AJLPDJZYNSSQJO,1,558,GW696155,UNC10225414A,CC(C)Oc1ccc2c(cnn2n1)-c1ccnc(Nc2ccc(cc2)N2CCN(C)CC2)n1,0.0,1,82477,AJLPDJZYNSSQJO-LELJVTLKNA-N,0.0
ANERBUIPYRATIP-VLIAUNLRSA-N,ANERBUIPYRATIP,1,171,GSK2375584,UNC10224994A,CNc1nc(cc(n1)-c1ccc2c(N)n[nH]c2c1)N1C[C@H](OC[C@H]1C)C(=O)NC1CCCCC1,0.0,1,84299,ANERBUIPYRATIP-QEXRDZHHNA-N,0.0
AQJWACKPYCXBCF-SFHVURJKSA-N,AQJWACKPYCXBCF,1,382,GSK1660450,UNC10225217A,Cc1n[nH]c2cnc(cc12)-c1cc(OC[C@@H](N)Cc2c[nH]c3ccccc23)c(N)nc1-c1ccoc1C,0.0,2,25148;30640,AQJWACKPYCXBCF-KVFNQWKGNA-N;AQJWACKPYCXBCF-XOELGRHUNA-N,1.5
ASKIKAANLSSJGL-UHFFFAOYSA-N,ASKIKAANLSSJGL,1,126,0,TPKI-71,CCCNC(=O)NC1=CC=C(OC2=NC=NC3=C2N(C)C=C3)C=C1,0.0,1,83627,ASKIKAANLSSJGL-VUEOKQGPNA-N,0.0
ASUBFYXRDNJNOB-UHFFFAOYSA-N,ASUBFYXRDNJNOB,1,106,0,TPKI-51,CCC1=CC=C(C=C1)C1=CC2=C(C=C1)N(C)S(=O)(=O)C1=C2N(C)N=C1,0.0,1,83619,ASUBFYXRDNJNOB-UHFFFAOYNA-N,0.0
AXWDQRXGOKDXJT-UHFFFAOYSA-N,AXWDQRXGOKDXJT,1,539,SB-711805,UNC10225392A,Oc1cccc(c1)-c1ccc2c(NC(=O)C3CC3)n[nH]c2n1,0.0,1,26854,AXWDQRXGOKDXJT-CMLSCEPHNA-N,0.0
BAVKHKJJAGWXBX-UHFFFAOYSA-N,BAVKHKJJAGWXBX,1,84,0,TPKI-29,CN1CCC(CC1)NC(=O)c2ccc(Nc3ncc4N(C)C(=O)C(F)(F)CN(C5CCCC5)c4n3)cc2,0.0,1,80395,BAVKHKJJAGWXBX-PUXXYCQMNA-N,0.0
BBQOARXEMKNYLC-UHFFFAOYSA-N,BBQOARXEMKNYLC,1,479,SB-732932,UNC10225326A,O=C(Nc1n[nH]c2cc(ccc12)-c1ccsc1)C1CC1,0.0,1,80487,BBQOARXEMKNYLC-CUNFQGHENA-N,0.0
BSBQPLUISHJULY-UHFFFAOYSA-N,BSBQPLUISHJULY,1,77,0,TPKI-114,CN(C1=CC(NC(=O)C2=CC=CC(OC(C)(C)C#N)=C2Cl)=C(F)C=C1)C1=CC=C2N=C(NC(=O)C3CC3)SC2=N1,0.0,1,18262,BSBQPLUISHJULY-SWQYCRJUNA-N,0.0
