deleted_target,endpoint,experimental_margin_name,representation,estimate,evaluated_ligands,evaluated_pairs
NONE_FULL_PANEL,pairwise_concordance,exact_non_ties,absolute_vina,0.5134576820882613,154,24732
NONE_FULL_PANEL,pairwise_concordance,absolute_difference_gt_5,absolute_vina,0.518861747278075,154,20061
NONE_FULL_PANEL,pairwise_concordance,absolute_difference_gt_10,absolute_vina,0.5253641604250487,154,16417
NONE_FULL_PANEL,pairwise_concordance,absolute_difference_gt_20,absolute_vina,0.5447207089059192,151,11576
NONE_FULL_PANEL,roc_auc,,absolute_vina,0.5541369735600605,123,5426
NONE_FULL_PANEL,average_precision,,absolute_vina,0.2737656943132155,123,5426
NONE_FULL_PANEL,pairwise_concordance,exact_non_ties,target_centered_unscaled,0.5187393909989992,154,24732
NONE_FULL_PANEL,pairwise_concordance,absolute_difference_gt_5,target_centered_unscaled,0.5230791544391344,154,20061
NONE_FULL_PANEL,pairwise_concordance,absolute_difference_gt_10,target_centered_unscaled,0.5248586352406385,154,16417
NONE_FULL_PANEL,pairwise_concordance,absolute_difference_gt_20,target_centered_unscaled,0.5354448777194909,151,11576
NONE_FULL_PANEL,roc_auc,,target_centered_unscaled,0.5741646487984177,123,5426
NONE_FULL_PANEL,average_precision,,target_centered_unscaled,0.2999123699419551,123,5426
NONE_FULL_PANEL,pairwise_concordance,exact_non_ties,column_standardized,0.5183506320193562,154,24732
NONE_FULL_PANEL,pairwise_concordance,absolute_difference_gt_5,column_standardized,0.5223012417808455,154,20061
NONE_FULL_PANEL,pairwise_concordance,absolute_difference_gt_10,column_standardized,0.5240439529488716,154,16417
NONE_FULL_PANEL,pairwise_concordance,absolute_difference_gt_20,column_standardized,0.5343195975506336,151,11576
NONE_FULL_PANEL,roc_auc,,column_standardized,0.5738057896217373,123,5426
NONE_FULL_PANEL,average_precision,,column_standardized,0.3006296987449631,123,5426
NONE_FULL_PANEL,pairwise_concordance,exact_non_ties,target_centered_residual_scaled,0.5049163514119108,154,24732
NONE_FULL_PANEL,pairwise_concordance,absolute_difference_gt_5,target_centered_residual_scaled,0.5062873230220392,154,20061
NONE_FULL_PANEL,pairwise_concordance,absolute_difference_gt_10,target_centered_residual_scaled,0.5074392585006554,154,16417
NONE_FULL_PANEL,pairwise_concordance,absolute_difference_gt_20,target_centered_residual_scaled,0.5093595686087207,151,11576
NONE_FULL_PANEL,roc_auc,,target_centered_residual_scaled,0.5486349399721873,123,5426
NONE_FULL_PANEL,average_precision,,target_centered_residual_scaled,0.28225139321778275,123,5426
NONE_FULL_PANEL,pairwise_concordance,exact_non_ties,two_way_residual,0.5163108989877772,154,24732
NONE_FULL_PANEL,pairwise_concordance,absolute_difference_gt_5,two_way_residual,0.5208224083582299,154,20061
NONE_FULL_PANEL,pairwise_concordance,absolute_difference_gt_10,two_way_residual,0.5225163766430134,154,16417
NONE_FULL_PANEL,pairwise_concordance,absolute_difference_gt_20,two_way_residual,0.5323453398142709,151,11576
