target_1,target_2,informative_ligands__exact_non_ties,informative_ligands__absolute_difference_gt_5,informative_ligands__absolute_difference_gt_10,informative_ligands__absolute_difference_gt_20,active_vs_inactive_ligands,both_active_unequal_ligands
ABL1,AKT1,110,106,100,91,35,0
ABL1,AKT2,134,124,111,86,34,0
ABL1,CDK2,117,107,97,80,29,4
ABL1,CSF1R,135,103,86,67,18,22
ABL1,EGFR,149,140,135,106,37,4
ABL1,FGFR1,118,105,96,81,29,6
ABL1,IGF1R,127,116,104,88,32,0
ABL1,JAK2,128,112,103,83,43,6
ABL1,KDR,127,105,89,69,19,18
ABL1,KIT,140,114,100,67,27,22
ABL1,LCK,145,119,100,75,21,18
ABL1,MAP2K1,124,107,100,85,34,1
ABL1,MAPK1,120,105,100,87,32,0
ABL1,MAPK14,133,118,111,100,48,11
ABL1,MAPKAPK2,126,112,106,97,36,0
ABL1,MET,117,109,98,80,32,7
ABL1,PLK1,124,117,109,90,55,0
ABL1,PTK2,113,99,93,80,36,2
ABL1,ROCK1,135,124,116,101,42,0
ABL1,SRC,118,104,92,72,26,6
AKT1,AKT2,99,68,45,9,1,2
AKT1,CDK2,90,68,48,26,8,0
AKT1,CSF1R,124,96,83,57,39,0
AKT1,EGFR,131,105,87,59,14,1
AKT1,FGFR1,100,73,60,39,12,0
AKT1,IGF1R,98,66,45,15,3,0
AKT1,JAK2,117,90,75,50,24,1
AKT1,KDR,111,93,77,52,26,0
AKT1,KIT,136,115,105,81,50,0
AKT1,LCK,130,107,84,57,26,1
AKT1,MAP2K1,94,71,53,31,7,0
AKT1,MAPK1,91,63,32,14,3,0
AKT1,MAPK14,116,94,77,62,43,0
AKT1,MAPKAPK2,89,69,53,24,7,0
AKT1,MET,92,73,58,38,17,0
AKT1,PLK1,95,72,56,39,26,0
AKT1,PTK2,86,57,41,25,11,0
AKT1,ROCK1,118,93,78,48,9,2
AKT1,SRC,91,63,49,31,13,1
AKT2,CDK2,101,71,46,23,7,0
AKT2,CSF1R,123,94,78,51,38,0
AKT2,EGFR,130,102,88,55,13,1
AKT2,FGFR1,110,83,59,33,11,0
AKT2,IGF1R,104,68,44,12,2,0
AKT2,JAK2,129,100,77,47,25,0
AKT2,KDR,119,90,71,47,25,0
AKT2,KIT,134,110,94,73,49,0
AKT2,LCK,134,108,88,58,25,1
AKT2,MAP2K1,112,84,60,31,6,0
AKT2,MAPK1,106,75,50,10,2,0
AKT2,MAPK14,120,97,77,57,42,0
AKT2,MAPKAPK2,88,59,43,17,6,0
AKT2,MET,110,86,68,36,16,0
AKT2,PLK1,114,93,68,44,25,0
AKT2,PTK2,108,79,59,30,10,0
AKT2,ROCK1,112,82,66,44,10,1
AKT2,SRC,103,83,58,27,12,1
CDK2,CSF1R,121,96,80,58,39,1
CDK2,EGFR,133,110,97,68,16,1
CDK2,FGFR1,97,76,60,38,12,1
CDK2,IGF1R,91,64,44,25,5,0
CDK2,JAK2,108,91,70,47,26,1
CDK2,KDR,107,90,69,50,26,1
CDK2,KIT,129,108,91,71,48,2
CDK2,LCK,126,111,92,64,26,2
CDK2,MAP2K1,97,69,54,34,9,0
CDK2,MAPK1,94,66,52,20,5,0
CDK2,MAPK14,121,103,86,71,43,1
CDK2,MAPKAPK2,90,71,59,36,9,0
CDK2,MET,100,82,65,47,15,2
CDK2,PLK1,96,80,61,48,28,0
CDK2,PTK2,85,58,40,30,11,1
CDK2,ROCK1,109,90,71,54,15,0
CDK2,SRC,94,71,52,35,13,1
CSF1R,EGFR,134,122,106,70,43,3
CSF1R,FGFR1,124,96,85,57,31,6
CSF1R,IGF1R,122,98,80,59,36,0
CSF1R,JAK2,138,108,94,67,41,9
CSF1R,KDR,120,80,59,32,17,20
CSF1R,KIT,127,88,65,39,17,28
CSF1R,LCK,141,108,88,54,25,18
CSF1R,MAP2K1,128,105,83,63,38,1
CSF1R,MAPK1,125,99,79,55,36,0
CSF1R,MAPK14,132,108,91,74,50,13
CSF1R,MAPKAPK2,116,100,86,64,40,0
CSF1R,MET,126,100,84,65,36,7
CSF1R,PLK1,131,113,95,75,57,1
CSF1R,PTK2,125,100,84,65,42,1
CSF1R,ROCK1,130,111,94,79,42,2
