target,pkis2_construct,n_ligands,minimum_percent_inhibition,median_percent_inhibition,mean_percent_inhibition,maximum_percent_inhibition,standard_deviation,unique_values,exact_zero_fraction,exact_100_fraction,active_at_65_count,active_at_65_fraction
ABL1,ABL1-nonphosphorylated,154,0.0,31.0,34.871428571428574,100.0,35.05814537911225,67,0.33116883116883117,0.025974025974025976,32,0.2077922077922078
AKT1,AKT1,154,0.0,0.0,5.472077922077922,97.4,13.890169076048307,27,0.6688311688311688,0.0,3,0.01948051948051948
AKT2,AKT2,154,0.0,0.0,6.141558441558441,99.5,12.903425604335755,27,0.538961038961039,0.0,2,0.012987012987012988
CDK2,CDK2,154,0.0,0.0,8.144155844155845,99.7,18.105886765283085,35,0.6298701298701299,0.0,5,0.032467532467532464
CSF1R,CSF1R,154,0.0,10.5,28.88246753246753,100.0,37.46487702989231,59,0.3116883116883117,0.03896103896103896,36,0.23376623376623376
EGFR,EGFR,154,0.0,15.0,22.181168831168833,100.0,25.92561952286796,54,0.24675324675324675,0.025974025974025976,13,0.08441558441558442
FGFR1,FGFR1,154,0.0,3.0,14.042857142857143,99.9,22.998862879372197,46,0.44805194805194803,0.0,9,0.05844155844155844
IGF1R,IGF1R,154,0.0,0.0,5.675324675324675,64.0,10.911337940212967,30,0.5714285714285714,0.0,0,0.0
JAK2,JAK2(JH1domain-catalytic),154,0.0,7.5,22.15,100.0,31.58717008099159,57,0.35714285714285715,0.01948051948051948,23,0.14935064935064934
KDR,VEGFR2,154,0.0,6.0,23.114285714285717,99.9,33.026195640825314,57,0.3961038961038961,0.0,23,0.14935064935064934
KIT,KIT,154,0.0,23.0,39.70974025974026,100.0,39.042717964761174,66,0.18831168831168832,0.11038961038961038,47,0.3051948051948052
LCK,LCK,154,0.0,16.5,26.4,99.8,30.893860041038806,67,0.23376623376623376,0.0,25,0.16233766233766234
MAP2K1,MEK1,154,0.0,0.0,10.205194805194804,100.0,19.638959519474408,37,0.5454545454545454,0.006493506493506494,4,0.025974025974025976
MAPK1,ERK2,154,0.0,0.0,5.123376623376624,40.0,7.914847404652037,26,0.5454545454545454,0.0,0,0.0
MAPK14,p38-alpha,154,0.0,7.0,30.42402597402597,100.0,39.458248067398294,60,0.33766233766233766,0.025974025974025976,40,0.2597402597402597
MAPKAPK2,MAPKAPK2,154,0.0,0.0,6.533116883116883,100.0,16.037220005838318,28,0.6883116883116883,0.006493506493506494,4,0.025974025974025976
MET,MET,154,0.0,0.0,15.383766233766233,100.0,25.94006785579592,43,0.512987012987013,0.006493506493506494,14,0.09090909090909091
PLK1,PLK1,154,0.0,0.0,20.492207792207793,100.0,34.48873365814061,43,0.525974025974026,0.045454545454545456,23,0.14935064935064934
PTK2,FAK,154,0.0,0.0,10.107142857142858,100.0,21.872671064499606,40,0.5844155844155844,0.006493506493506494,8,0.05194805194805195
ROCK1,ROCK1,154,0.0,5.0,17.52564935064935,99.35,25.31783726076372,55,0.42857142857142855,0.0,10,0.06493506493506493
SRC,SRC,154,0.0,0.0,13.770129870129873,100.0,25.635351739474004,48,0.5064935064935064,0.01948051948051948,12,0.07792207792207792
