dataset,support_seed,partition,partition_seed,ligands,targets,chemical_groups,mean_squared_offdiagonal_target_correlation_before,mean_squared_offdiagonal_target_correlation_after,absolute_mean_squared_offdiagonal_target_correlation_reduction,relative_mean_squared_offdiagonal_target_correlation_reduction,mean_out_of_fold_target_r2,median_out_of_fold_target_r2,seed,groups,minimum_fold_ligands,median_fold_ligands,maximum_fold_ligands
Docking-44,,deterministic_GroupKFold,,12651,44,8150,0.086841026186168097,0.046134531690476266,0.040706494495691831,0.46874727629802582,0.21973852271310992,0.22162476153684524,,,,,
Docking-44,,balanced_random_group_partition_1,20260831,12651,44,8150,0.086678565335493438,0.046240108548557882,0.040438456786935556,0.46653352683465188,0.2182341898510308,0.22087860512612989,20260831,8150,2530,2530,2531
Docking-44,,balanced_random_group_partition_2,20260832,12651,44,8150,0.08674222988046297,0.046227418560761242,0.040514811319701728,0.46707136046115083,0.21855678626226263,0.21794697921665107,20260832,8150,2529,2530,2532
Docking-44,,balanced_random_group_partition_3,20260833,12651,44,8150,0.086716487457041261,0.046012690672688927,0.040703796784352334,0.4693893627150974,0.21967701762000721,0.21806060838401614,20260833,8150,2528,2529,2537
Docking-44,,balanced_random_group_partition_4,20260834,12651,44,8150,0.086794257504541464,0.046369399943383835,0.040424857561157629,0.46575497876737315,0.21880349079979033,0.21865835846853315,20260834,8150,2530,2530,2531
Docking-44,,balanced_random_group_partition_5,20260835,12651,44,8150,0.086658175531666604,0.045937956254101818,0.040720219277564786,0.46989472173557145,0.22003353359043684,0.22122417971377106,20260835,8150,2528,2528,2539
Docking-44,,balanced_random_group_partition_6,20260836,12651,44,8150,0.086735687947629633,0.046129120907695303,0.04060656703993433,0.46816446610133855,0.21955261723146172,0.21934969892106193,20260836,8150,2529,2529,2535
Docking-44,,balanced_random_group_partition_7,20260837,12651,44,8150,0.086772778583248264,0.046056270805806543,0.040716507777441721,0.4692313469987483,0.22014683767554419,0.22132975759983137,20260837,8150,2530,2530,2531
Docking-44,,balanced_random_group_partition_8,20260838,12651,44,8150,0.086695946599042506,0.046220282111915333,0.040475664487127173,0.46686916833980563,0.21898666440007541,0.21947576810831054,20260838,8150,2529,2530,2532
Docking-44,,balanced_random_group_partition_9,20260839,12651,44,8150,0.086646304825982526,0.046246843988695698,0.040399460837286828,0.46625716951719665,0.21755054390635217,0.2156163705940089,20260839,8150,2529,2530,2532
Docking-44,,balanced_random_group_partition_10,20260840,12651,44,8150,0.086709828267788752,0.04597630928783894,0.040733518979949812,0.46976818883957622,0.21986514752511671,0.22080282252729783,20260840,8150,2528,2530,2532
Docking-44,,balanced_random_group_partition_11,20260841,12651,44,8150,0.086634215700650372,0.046543303876813658,0.040090911823836714,0.4627607175710341,0.21650557305598239,0.21229475779525969,20260841,8150,2530,2530,2531
Docking-44,,balanced_random_group_partition_12,20260842,12651,44,8150,0.086668512456000227,0.046623202033304341,0.040045310422695886,0.46205143353563433,0.21617114234428214,0.21421019061054575,20260842,8150,2529,2529,2534
DOCKSTRING-58,71,deterministic_GroupKFold,,15000,58,11905,0.039227700681763455,0.018201556776858613,0.021026143904904843,0.53600245590432161,0.16982830943845095,0.11782603250305007,,,,,
DOCKSTRING-58,71,balanced_random_group_partition_1,20360831,15000,58,11905,0.039228465936569423,0.018202766994494145,0.021025698942075278,0.53598065690544305,0.16986793053581259,0.1176210499700876,20360831,11905,2999,3000,3001
DOCKSTRING-58,71,balanced_random_group_partition_2,20360832,15000,58,11905,0.039252216563739409,0.018236696788271233,0.021015519775468176,0.53539701997063749,0.16980181096102107,0.11758909887055918,20360832,11905,2999,3000,3001
DOCKSTRING-58,71,balanced_random_group_partition_3,20360833,15000,58,11905,0.039217186186111037,0.018232375884698452,0.020984810301412585,0.53509219661568841,0.16964558763000603,0.11808567966488448,20360833,11905,3000,3000,3000
DOCKSTRING-58,71,balanced_random_group_partition_4,20360834,15000,58,11905,0.039223534023479834,0.018211706446242176,0.021011827577237657,0.5356944013423075,0.16967544244805366,0.117748022627856,20360834,11905,3000,3000,3000
DOCKSTRING-58,71,balanced_random_group_partition_5,20360835,15000,58,11905,0.039222195126515882,0.018198873015427969,0.021023322111087914,0.5360057498891807,0.16988326661378961,0.11767445390672482,20360835,11905,2999,3000,3001
DOCKSTRING-58,71,balanced_random_group_partition_6,20360836,15000,58,11905,0.039214347198804199,0.018197405131316308,0.021016942067487891,0.5359503235114107,0.16976274232760849,0.11751831811574748,20360836,11905,3000,3000,3000
DOCKSTRING-58,71,balanced_random_group_partition_7,20360837,15000,58,11905,0.039224134129968079,0.018224961056566097,0.020999173073401982,0.53536358518002736,0.16950246525170456,0.11734259114449974,20360837,11905,3000,3000,3000
DOCKSTRING-58,71,balanced_random_group_partition_8,20360838,15000,58,11905,0.039221854785512732,0.018212655119644768,0.021009199665867964,0.53565033527246841,0.16975189267823498,0.11755418295027997,20360838,11905,3000,3000,3000
DOCKSTRING-58,71,balanced_random_group_partition_9,20360839,15000,58,11905,0.039247104574759141,0.018210687850106686,0.021036416724652455,0.53599920179032867,0.16973549731025089,0.11776175357634788,20360839,11905,2999,3000,3001
DOCKSTRING-58,71,balanced_random_group_partition_10,20360840,15000,58,11905,0.039222286610555185,0.018232842666244819,0.020989443944310366,0.53514075180568021,0.16966008757781542,0.11757546662192087,20360840,11905,3000,3000,3000
