seed,panel,component_remainder_spearman,component_remainder_pearson,partial_spearman_component,partial_spearman_remainder,standardized_beta_component,standardized_beta_remainder,joint_rank_r2,semipartial_rank_r2_component,semipartial_rank_r2_remainder
20260910,DAVIS,0.48176549576384248,0.42829181084137719,0.22332806263563004,0.096637633456386637,0.24832636304162092,0.10523338045517772,0.097919253333690115,0.047353431793582201,0.0085037962502578779
20260910,PKIS2,0.48176549576384248,0.42829181084137719,0.19795542068245309,0.11143529801839998,0.21994462573182591,0.12212418995402273,0.08917093744953819,0.037147749812714292,0.011452734551461452
20260910,PKIS1,0.48176549576384248,0.42829181084137719,0.085127809515034472,0.079221161863477205,0.096243475047127658,0.089521801617149996,0.025578635794888505,0.0071129276943155961,0.0061540841467928598
20260910,KiRHub,0.48176549576384248,0.42829181084137719,0.28221505664123153,0.091762798587841893,0.31198888533405972,0.09773259072827864,0.13626821178764781,0.074745327249217342,0.0073347383401984878
20260911,DAVIS,0.41083774007444446,0.37348177873903404,0.22814660012562149,0.11616380753930715,0.24399504712059106,0.12178127175280634,0.09877954868630634,0.049485049524669478,0.012327442856664095
20260911,PKIS2,0.41083774007444446,0.37348177873903404,0.2193397711924662,0.12368956784442411,0.23434490587267265,0.12993089650062367,0.096818476714545354,0.045648133320546957,0.014032558389396543
20260911,PKIS1,0.41083774007444446,0.37348177873903404,0.080462421995854377,0.085434107223710504,0.087518065635334458,0.092964307016078315,0.022986972177394538,0.0063665977025190168,0.0071836383540819782
20260911,KiRHub,0.41083774007444446,0.37348177873903404,0.29722600532089949,0.1121210942932046,0.31611898851785331,0.11458133105495837,0.14282227872517839,0.083064060109633853,0.010912888400716136
20260912,DAVIS,0.53151290092596248,0.49141155593161218,0.16266108823658831,0.11137178700831538,0.1870389376359915,0.12714843377449769,0.076430857593119739,0.025100498671005278,0.011599528205683218
20260912,PKIS2,0.53151290092596248,0.49141155593161218,0.14315588535288426,0.1254212579530832,0.16442992814675481,0.14371080889604915,0.072809678104373998,0.019399030665641193,0.014818258385680738
20260912,PKIS1,0.53151290092596248,0.49141155593161218,0.03463395080007127,0.095281456827619071,0.040521945118978789,0.11192224089299557,0.018989764300004097,0.001178145323181834,0.0089877521879696554
20260912,KiRHub,0.53151290092596248,0.49141155593161218,0.22970673197826885,0.097398981012351726,0.26267547244419653,0.10891779800474843,0.11127469493138031,0.049505943247382445,0.0085116939735024877
20260913,DAVIS,0.37504669177306271,0.34193626154564566,0.27925349800997828,0.11060632745807922,0.29368881995010726,0.11238575138685331,0.1236415913647736,0.074120756875443283,0.010853942685654538
