arm,panel,spearman
observed_residual,DAVIS,0.27979984866179414
observed_residual,PKIS2,0.28717080659764616
observed_residual,PKIS1,0.17364265812874249
observed_residual,KiRHub,0.32158843881081411
physicochemical_7,DAVIS,0.25635729813189184
physicochemical_7,PKIS2,0.21846676026890974
physicochemical_7,PKIS1,0.096789093151727498
physicochemical_7,KiRHub,0.2877674115480674
morgan_count_plus_size_rp_7_locked_seed_20260910,DAVIS,0.29902417474751447
morgan_count_plus_size_rp_7_locked_seed_20260910,PKIS2,0.27877984664978323
morgan_count_plus_size_rp_7_locked_seed_20260910,PKIS1,0.1393719901848863
morgan_count_plus_size_rp_7_locked_seed_20260910,KiRHub,0.3590730753585536
morgan_normalized_bit_rp_7_seed_a,DAVIS,0.1304264150778342
morgan_normalized_bit_rp_7_seed_a,PKIS2,0.11178469734545789
morgan_normalized_bit_rp_7_seed_a,PKIS1,0.175037069112572
morgan_normalized_bit_rp_7_seed_a,KiRHub,0.22789346840049518
morgan_normalized_bit_rp_7_seed_b,DAVIS,0.34590227750878066
morgan_normalized_bit_rp_7_seed_b,PKIS2,0.35047566560380011
morgan_normalized_bit_rp_7_seed_b,PKIS1,0.20173732761222432
morgan_normalized_bit_rp_7_seed_b,KiRHub,0.3829442716739494
stable_hash_nuisance_7,DAVIS,0.24795759031085574
stable_hash_nuisance_7,PKIS2,0.24958994344499993
stable_hash_nuisance_7,PKIS1,0.10261517668516844
stable_hash_nuisance_7,KiRHub,0.34763435639710105
outcome_rank7_svd_transported_oracle,DAVIS,0.26829289628958963
outcome_rank7_svd_transported_oracle,PKIS2,0.2665398225056535
outcome_rank7_svd_transported_oracle,PKIS1,0.1486744785174105
outcome_rank7_svd_transported_oracle,KiRHub,0.31939972094284591
