seed,permutation_index_sha256,permuted_feature_matrix_sha256,mean_out_of_fold_target_r2,relative_reduction_in_mean_squared_offdiagonal_target_correlation,DAVIS_component_map_spearman,PKIS2_component_map_spearman,PKIS1_component_map_spearman,KiRHub_component_map_spearman
20261010,9c4908eba76805b366806b27ae49c7294479d63ab5389be4dbf86fcc8eab4719,d7d1d0b2b71d55ec79d2dd7d21bcbff4f7ba8c48831e01e22480b4031977abc3,-3.7547994724718148e-05,-1.424701278007574e-05,0.4719731265336114,0.43163493375673051,0.36928884165037373,0.39286785900178028
20261011,87022692de4084baaa8b2d0e474de3f4ae1bac2cd0b07d955e2f1273a2a449c9,d611209aa14268f30b323e00df545ffd7a0f5a90c526062eedf433ab663e02ca,-3.5964267312804667e-05,-2.1805875464988144e-05,0.038229080554790087,0.025123016966500013,0.046238633232295358,0.08337160527846664
20261012,b184355765fd450a6fd926e0b6f71f56284f265228002a520cdad202b1bb9181,2f4d64a54538dab117f3a6672a450f673c6bb4f0a43f3a16f9b782fd87327ff5,-2.7044569047013355e-05,-1.2119613177448862e-06,0.050383375541821401,0.052974495575763121,0.0442371198502364,0.064357228148906306
20261013,f61341af6c1a3b5761a8e91e08142484eb355382525919e6d97c00e76cb59615,2c4d3a1c1f7027d8b5003b1d528d706c5d876f954e2e6e94d7a53a1cd286021a,-3.7788847884812069e-05,3.3837175372036406e-06,0.23325941380501869,0.25406885450974742,0.18339303756774128,0.27182353790234759
20261014,a8ed64d53086fb51cb738b0f0310dcd758671183ab350e8becff59e6bc8e185a,c45794f0f4bbbc4c1df391d686f597f3cfb97ec8f761f3d7409fc41f96b472e2,-4.3640688659374313e-05,-2.5477151164450864e-05,0.11629859990289861,0.18746954646651529,0.19638887795404747,0.15692897164376912
20261015,428a53d06fe23341976419cb904b5ec9580a736228cc0b56dde45fccb3c3fd93,de809ad651db62357f6e0a23f23c510bb84bf3d69a4a88ffa989c10fe82adf3f,-4.4381315119368378e-05,-1.0437690158713625e-05,0.089888770792601089,0.086632812397485839,-0.0028421839940164615,0.1095907307535855
20261016,53f0cfddff1e980ebc921b2125c15ff8d3aeb23bf428f4656e719b56cf15c5c1,cc3867bb223a84fd6423e9ea49db565521e73cdd3d0d12ff2daed8beb471c3e0,-4.4787822023328872e-05,-3.9281787875444775e-05,0.11540806641385316,0.16713249091314683,0.001407532793589558,0.14386139869744172
20261017,794345a4a35050d0ea1f9b68c563bbbecba3e59658c2ead993e315338a5fe913,72c82d25abd7c5643cfaff9f328030aaac784d9a4a8a8bf49e4a2faa858778ae,-2.4581816409879886e-05,2.2180321894360197e-05,0.37253780174695039,0.3318776872372905,0.23847314621632615,0.39574415970117277
20261018,dcb06465ec3991387e2a76ebab29dfaa552194f0b6d6cd4bf23a87b71fe8cc23,da86b66a77b637675cbc48a935e9ced07932fa670eeec1a8d9e36ee2fb59cc50,-2.8210177862719733e-05,-1.7507357924327787e-05,0.18311135605155998,0.19802647981209567,0.2163322792146159,0.21672943265668534
20261019,171405c140521325d05638ed66278b1eab88387162979a4143e282922b48889a,325e606e4234680c1051e6900f06c7fc890b2d90dfc3eae4177e3cde4d024c14,-5.0711131095615425e-05,1.8979558510287285e-06,0.034495488284410895,0.084017198318658795,0.027194513333945736,0.029636919523940687
20261020,9468e74589a5c4d9cf5662b206fa9eb55dabeefb56402040181afacf00f375c2,a53edb52eb495154f17a749b0507ad27f0da65f5930dc6946156bb4e7bb09537,-4.0364613103927025e-05,-2.6242136222468358e-05,0.14885643427941581,0.14911362175071188,0.10675991899469442,0.16146736824609512
20261021,353feba5c44f460e1b3aee8e574272c2daab2ede3a049e332a83fb5b20ad7dd3,d18455e5c9c15384c92d4b28fb623d851b731b429b72a71e16f822a80e8f5c55,-4.1073674722225118e-05,-2.4136642251216379e-05,0.11291317298481804,0.11042527785432167,-0.0023855450143683786,0.088732301959086116
20261022,7697beef8519b46d96ddd058f8fc440f0deaffbeaa308e83f682f08f6d976f9e,58cf68e28fdf9b0d9b9b4bd4e8008cd2a71119cd9a637e76300eb0b1149c4acb,-3.1775482580759241e-05,3.7162216914867539e-05,0.26509117470814897,0.27525270418629477,0.20064384346555741,0.30211042440306696
