ligand_id,q_inferred_median_ratio,n_targets_used_for_q,median_absolute_target_ratio_deviation,inferred_torsions_continuous,inferred_torsions_nearest_integer,rotatable_bonds_frozen_descriptor,heavy_atoms_frozen_descriptor,q_from_rotatable_bonds
1,1.17746,43,0.005109142857142812,3.035579883681149,3,3.0,11.0,1.17538
2,1.057124,43,0.005861686274510225,0.977146767020184,1,0.0,9.0,1.0
3,1.1455909999999998,43,0.004692290322580561,2.490437906260688,2,2.0,11.0,1.11692
4,1.0872336507936506,43,0.004169447797898851,1.4921938213077428,1,1.0,11.0,1.05846
5,1.2921052631578949,43,0.006807882205514426,4.996668887408397,5,5.0,9.0,1.2923
6,1.1454008695652171,43,0.0042222981366457635,2.4871855895521238,2,2.0,12.0,1.11692
8,1.0866925,43,0.0036961363636365263,1.4829370509750268,1,1.0,14.0,1.05846
9,1.2344694736842103,43,0.004343229018491934,4.010767596377187,4,3.0,14.0,1.17538
10,1.1776445161290325,43,0.004204790101635769,3.0387361636851273,3,3.0,15.0,1.17538
11,1.1464705555555554,43,0.004070555555555577,2.5054833314326967,3,2.0,16.0,1.11692
12,1.2335247826086955,43,0.004595659801678087,3.994607981674572,4,4.0,17.0,1.23384
13,1.6434634782608692,43,0.0059889217391306815,11.00690178345654,11,10.0,21.0,1.5846
14,1.3233822527641275,42,0.004413192620387418,5.531684104757569,6,5.0,22.0,1.2923
15,1.3519527272727272,43,0.004768538083537166,6.020402450782196,6,4.0,22.0,1.23384
16,1.5542718333333332,43,0.005085935897435556,9.481215075835326,9,9.0,22.0,1.5261399999999998
18,1.1169187777777778,41,0.0030609281045754777,1.9999790930170684,2,2.0,29.0,1.11692
19,1.583748316648127,42,0.005987954185161737,9.985431348753455,10,9.0,32.0,1.5261399999999998
20,1.234792808988764,39,0.0033576633576963832,4.016298477399317,4,2.0,33.0,1.11692
21,1.5560680219780223,41,0.0060992857142856405,9.511940163838904,10,6.0,34.0,1.35076
22,1.5009990909090907,39,0.005840214646464448,8.569946816782256,9,6.0,35.0,1.35076
23,1.1168444554455443,29,0.0038682332233219707,1.9987077565094824,2,2.0,45.0,1.11692
24,1.7289537807470392,32,0.006863036963036917,12.469274388420104,12,9.0,46.0,1.5261399999999998
25,1.6456719620743034,42,0.005782564075222596,11.044679474415044,11,8.0,29.0,1.46768
26,1.2056360396825396,40,0.004446939378148218,3.517551140652406,4,3.0,29.0,1.17538
27,1.1456889583333332,40,0.004425622667599272,2.492113553426842,2,1.0,26.0,1.05846
28,1.2313896599616858,42,0.004067196035976051,3.9580851857968837,4,4.0,26.0,1.23384
29,1.0286256429930245,42,0.0033932671998035957,0.48966204230284816,0,0.0,26.0,1.0
30,1.118079608250277,42,0.004147735389610441,2.0198359262791152,2,1.0,25.0,1.05846
31,1.1167827057089252,42,0.0030325474297042687,1.9976514832180166,2,2.0,26.0,1.11692
32,1.0884190839243497,42,0.002321852006689218,1.5124715005875764,2,1.0,26.0,1.05846
33,1.3483619772727273,42,0.0037839923896499927,5.958980110720618,6,6.0,25.0,1.35076
34,1.0280178626262626,42,0.0032693694879455393,0.47926552559463914,0,0.0,24.0,1.0
35,1.1162379299928926,42,0.003675694235588667,1.9883327060022686,2,2.0,25.0,1.11692
36,1.0302084271284275,42,0.0026508042872155357,0.5167366939518907,1,0.0,24.0,1.0
37,1.0009890340909091,42,0.0019862893772895074,0.01691813361117197,0,0.0,25.0,1.0
39,1.057883804555591,42,0.0038258861308373415,0.9901437659184219,1,0.0,23.0,1.0
40,1.0583263972602739,42,0.002555494186046503,0.9977146298370491,1,1.0,24.0,1.05846
41,1.2643846376811592,43,0.00319231353835292,4.522487815278125,5,4.0,22.0,1.23384
42,1.059094522606383,42,0.0024674984071777484,1.0108539617923886,1,0.0,21.0,1.0
43,1.1461642424242424,43,0.00334412477718371,2.500243626825905,3,1.0,21.0,1.05846
44,1.4103492452830189,43,0.0034744626743237195,7.019316546066009,7,5.0,20.0,1.2923
45,1.1756776470588237,42,0.003970261154932153,3.0050914652552807,3,3.0,20.0,1.17538
46,1.0299549643599644,42,0.0020315195110033324,0.5124010325002457,1,0.0,19.0,1.0
47,1.8523794444444448,43,0.006295210727968126,14.58055840650778,15,14.0,18.0,1.8184399999999998
48,1.3802584615384619,43,0.004076471794871139,6.504592226111219,7,6.0,19.0,1.35076
49,0.998528904109589,43,0.003457096880673083,-0.025164144550306963,0,0.0,18.0,1.0
50,1.0576107462686568,43,0.0031111584932481673,0.9854729091456861,1,0.0,18.0,1.0
51,1.1163110169491526,43,0.004353220338983332,1.9895829105226237,2,1.0,11.0,1.05846
52,1.2328994047619046,43,0.0041136714285714415,3.9839104475180402,4,4.0,17.0,1.23384
53,1.1760097701149421,43,0.004165963218391466,3.0107726670363006,3,3.0,17.0,1.17538
54,1.7317146666666667,43,0.006723881720430258,12.516501311438022,13,12.0,16.0,1.70152
55,0.9998496969696974,43,0.00346128894579556,-0.0025710405457169357,0,0.0,16.0,1.0
56,1.1735410204081635,43,0.004786841303685785,2.9685429423223324,3,3.0,15.0,1.17538
57,1.0311889411764708,43,0.0031915052790347787,0.5335090861524248,1,0.0,14.0,1.0
58,1.1458158823529414,43,0.005315724789915599,2.4942846793181905,2,2.0,12.0,1.11692
59,1.1769244827586207,43,0.005068745053702806,3.0264194792784935,3,1.0,12.0,1.05846
