target,n_observed_negative_cells,pearson_reconstructed_vs_scalar,spearman_reconstructed_vs_scalar,mean_absolute_error_kcal_mol,root_mean_squared_error_kcal_mol
1m2z,12235,0.9996816964063363,0.9995444079065033,0.02582064100058469,0.037974024939451304
1pbq,12651,0.9996873409471696,0.999601541251619,0.025217677528369717,0.032718558398319116
1xoq,12650,0.9996528374409881,0.9995504286554946,0.025425004388708965,0.035190103083250185
2rh1,12644,0.9996820098172974,0.9995489873964053,0.025520344423420528,0.03873163424990232
2vt4,12636,0.9996891541161462,0.9995619991694159,0.025235101467923668,0.036090493002960494
2ydo,12648,0.9995346171448676,0.9994093760040451,0.026489428098079,0.044961145750246
2z5x,12308,0.9997144635035192,0.999653411449162,0.0260919284678495,0.04041260498678779
3b66,12015,0.9996491863184799,0.9995582093660365,0.02584099419145236,0.04189866568026744
3kk6,12640,0.9997057895482151,0.9996505865634935,0.025100405589832855,0.033855104010504206
3ln1,12197,0.9996338971215468,0.999600583751611,0.026241935276632263,0.04487573772643616
3rze,12648,0.9996609705105226,0.9996065717162343,0.025778917739492563,0.03789133036793659
4djh,12651,0.9996202620398331,0.9994785393681053,0.025496365991665503,0.035211547502940574
4ey7,12651,0.9997192752840538,0.9996530718947093,0.02597744388935028,0.03736681261762728
4iar,12620,0.9997318578156776,0.9996714373098197,0.025261692834953126,0.03395086920533196
4mqs,9248,0.999603556319778,0.9996274705500314,0.028475598692374652,0.05701731548260484
4n6h,12651,0.9996396889977947,0.9995726440940407,0.025224964218756345,0.03425632098241738
5cxv,12589,0.9995498552224664,0.9994636192377679,0.02612570005832419,0.04306484839804289
5i71,12642,0.9997598526756185,0.999713912555676,0.025167170889111398,0.03384376600359668
5tvn,12650,0.9997128601541978,0.9996668302173592,0.025408758352821952,0.034079207806059185
5u09,12518,0.9997533368951399,0.9997090214107629,0.025399147837063176,0.0337778307042934
5va1,12651,0.999064824837812,0.9989885758501634,0.025203434120306633,0.0348961836011916
6cm4,12634,0.9996519582600675,0.9995320227507349,0.025551267723130284,0.03556244428792437
6kpf,12425,0.9997633224892294,0.9997114212133477,0.025503654014030926,0.03493046047533372
6kux,12643,0.9996314917768189,0.9995500676739449,0.025110401184056996,0.03271287640637219
6lqa,12651,0.9997245757205928,0.9996555436932283,0.025157806628518325,0.03307107429311744
6pdj,12651,0.999665203294393,0.9995898525128785,0.02477584248311729,0.03192510980181616
6x3x,12622,0.9996064832209549,0.9995963041436231,0.025930751697449104,0.04223671565747091
6y1z,12623,0.9996409414871131,0.9996422526527424,0.025711306642894314,0.039090343109788685
7f8y,12631,0.9995610720199996,0.9995795819446727,0.025281941235848857,0.04193984211779047
7kwe,12649,0.9996905197887954,0.9995963330745189,0.025353823523697326,0.03491381655834208
7ljd,12560,0.9994847833242713,0.9994312249568824,0.02606671748928195,0.04165019364346455
7wc9,12573,0.9997451897934335,0.9996722251615301,0.025774025062236982,0.03800559537454264
7xnk,12651,0.999567914309233,0.999512477439182,0.02539208279594554,0.0336651624315198
7ym8,12390,0.9996697347689025,0.9995277366949848,0.02591266414821843,0.03585633461765694
8e9y,12115,0.9997176481006341,0.9995520306597944,0.026008396310850744,0.03688154217110657
8ef6,12651,0.9996932846128689,0.9996643751146576,0.025037471281922855,0.03282342882648124
8fhs,12649,0.9996996087102565,0.9996361691076078,0.025130515667399066,0.03362505554275227
8pjk,12633,0.9996691225227493,0.9996163782368168,0.02534296775274256,0.03542371548342006
8st0,11628,0.9989652655420316,0.9990794730635763,0.028760487373731575,0.06493010684989331
8wty,12625,0.9997595915018704,0.9997012850202456,0.02505871912299594,0.034665687942656745
8xvk,12650,0.9992941612090175,0.9991493064648981,0.025422634017336344,0.034443182344463495
8yn3,12410,0.9995467489623012,0.9994261551670119,0.02613583969999367,0.038748878220314364
9eo4,12516,0.9996212016028356,0.9994856310258813,0.025930329576814994,0.04133421397712417
