target,n_held_out_observed_negative_cells,pearson_leave_one_target_out,spearman_leave_one_target_out,mean_absolute_error_leave_one_target_out_kcal_mol,root_mean_squared_error_leave_one_target_out_kcal_mol
1m2z,12235,0.9996681410292797,0.9995374109398001,0.026976865185607962,0.038774254598326625
1pbq,12651,0.999669740529664,0.9995945551926273,0.02637801522831545,0.03362674999338331
1xoq,12650,0.9996350539200087,0.9995424839757739,0.026602528000069015,0.036080119297482546
2rh1,12644,0.9996673573638595,0.9995428317111208,0.026816424946099843,0.03961390608529075
2vt4,12636,0.999673680150129,0.9995553563782097,0.026475673912328725,0.03697778624788727
2ydo,12648,0.9995194315970993,0.9994022851428259,0.027703384901191726,0.045688626866374815
2z5x,12308,0.9997028049675581,0.9996473930485095,0.027332201472340046,0.04122926162644806
3b66,12015,0.999637884673936,0.9995524712256619,0.0269296655889554,0.04256766477731718
3kk6,12640,0.9996900718243993,0.999644782767507,0.026279984524973835,0.0347477018880596
3ln1,12197,0.9996225962109713,0.9995944265230469,0.027398734019372827,0.045562788875511934
3rze,12648,0.9996466020089493,0.9996003975693719,0.02692080361589008,0.03868572322217372
4djh,12651,0.9996014063573803,0.9994714073474414,0.02665446956950385,0.036074976258582886
4ey7,12651,0.9997047859092455,0.9996460112030185,0.027313438176143016,0.03831913886141554
4iar,12620,0.9997171418641171,0.9996651627230833,0.026481936636997792,0.03487013329083582
4mqs,9248,0.9995974729775533,0.9996241193683242,0.029373033744962276,0.05745264343710231
4n6h,12651,0.999621931522437,0.9995667271600152,0.02632987692348064,0.03509042336841234
5cxv,12589,0.999533801660021,0.9994557339913831,0.027366950761518342,0.04382634504052985
5i71,12642,0.9997458975191068,0.9997085456247744,0.026436182534601182,0.03481358501305689
5tvn,12650,0.9996972975602089,0.9996609829042028,0.02660576880369781,0.03499019360034979
5u09,12518,0.9997393380203591,0.9997026593316901,0.02663014242486829,0.0347231011604106
5va1,12651,0.9990332695591804,0.998980438945584,0.02600130142650745,0.03547987909810459
6cm4,12634,0.9996342440259482,0.999523737475402,0.026760920874658825,0.036456214211086
6kpf,12425,0.9997505621727888,0.9997054013173223,0.026755012398033736,0.035860253979638344
6kux,12643,0.9996119908838138,0.9995428779027674,0.026203189784364773,0.03356771705848709
6lqa,12651,0.9997095172962394,0.9996501170440963,0.026300811306351028,0.033963511546091264
6pdj,12651,0.999646391425992,0.9995837562416546,0.02589286118574383,0.03280973038833069
6x3x,12622,0.9995912236906201,0.9995894273862379,0.02721051754858224,0.04304761958621904
6y1z,12623,0.9996258969547951,0.9996365884759943,0.026930977824005442,0.03990081326009931
7f8y,12631,0.9995455421287335,0.9995732640510778,0.02645543323529835,0.042675182667024865
7kwe,12649,0.9996740262068213,0.9995896199011305,0.02658829204144386,0.035831969062168484
7ljd,12560,0.9994671296205576,0.9994237509887316,0.0271772125255697,0.042358060755230034
7wc9,12573,0.9997324531353142,0.9996661735261093,0.02711970260631283,0.03894373077134047
7xnk,12651,0.9995469525460985,0.9995049488161393,0.02644348475344314,0.034471625091053344
7ym8,12390,0.999652949143979,0.9995185246684474,0.02712909612063859,0.03675600038213113
8e9y,12115,0.9997053869980247,0.9995448523556707,0.02710353324344633,0.03767377530009806
8ef6,12651,0.9996766846858604,0.9996584084702711,0.026168724726036575,0.033699710494061154
8fhs,12649,0.9996848714207198,0.9996308910131894,0.02619456045444094,0.03444025156914746
8pjk,12633,0.9996527600046933,0.9996094329148126,0.02652885837167163,0.03628900435349179
8st0,11628,0.9989528825016071,0.9990727671039279,0.02964458237675127,0.06531760277726588
8wty,12625,0.9997463497451811,0.9996958193011131,0.026334015649923315,0.03560797794958353
8xvk,12650,0.9992621480544331,0.9991372620649744,0.026440309677860957,0.03521564227921293
8yn3,12410,0.999529971730963,0.9994183447139462,0.02719766864339655,0.03945949600424066
9eo4,12516,0.9996064865726595,0.9994790030119131,0.027159986127500185,0.042129816977264596
