target,ligands_observed,mean_pchembl,median_pchembl,mean_dockstring_score_full_reference,mean_dockstring_score_evaluated_cohort
ABL1,869,6.423630609896433,6.3,-8.873038624311784,-9.437273143205735
ADORA2A,18,5.387222222222223,5.2625,-8.902456641232709,-9.552867164861988
ADRB1,728,6.460776098901099,6.3149999999999995,-9.310351020787904,-10.075339332011584
ADRB2,731,6.930164158686732,6.68,-9.32736984611545,-9.940430074729301
AKT1,549,6.824262295081967,6.91,-8.896822038007437,-9.374569162726871
AKT2,430,6.558372093023255,6.525,-8.301645131133256,-8.885077016928514
AR,340,6.517661764705883,6.345,-6.872471304273659,-6.980478877535463
CDK2,502,6.27550796812749,6.225,-8.373599737771938,-8.935397285343916
CSF1R,480,7.058843749999999,7.0,-8.59474457991169,-9.057457678816519
DRD2,82,6.100792682926829,6.0,-9.097968897285126,-9.749992374561518
EGFR,940,5.97838829787234,5.98,-8.873940711661795,-9.529014793350653
ESR1,1328,6.860365210843374,6.75,-7.9680415530409805,-8.46336739362516
ESR2,1318,7.1599317147192725,7.195,-7.7549204588212115,-8.207541558639653
F2,2,6.615,6.615,-8.173978339042051,-8.488340704590527
FGFR1,819,6.351807081807081,6.24,-8.154110694322135,-8.659874942809216
IGF1R,337,6.2102077151335315,6.13,-8.00507736887629,-8.381927710843316
JAK2,304,6.5052960526315795,6.3,-8.405241455287447,-8.942290681714207
KDR,2200,6.618688636363636,6.6,-8.258000279295933,-8.644311422906824
KIT,653,7.055130168453292,7.1,-8.04287659382989,-8.563436022571285
LCK,936,6.763643162393163,6.62,-8.042878145474461,-8.65934878755529
MAP2K1,195,6.103153846153847,6.0,-8.691770465221762,-9.245348482537729
MAPK1,250,6.10436,5.925,-8.52058935339101,-9.132598749428077
MAPK14,337,6.731928783382789,6.58,-7.8849187908033604,-8.276689034619478
MAPKAPK2,177,5.853983050847457,5.7,-7.99830327668515,-8.552180875400353
MET,555,6.5401351351351344,6.5,-8.428203273193901,-8.95584108586247
NR3C1,420,7.022333333333334,7.18,-8.43720572091352,-8.63362055818208
PGR,505,6.571396039603961,6.38,-7.457108277635613,-7.694280921152984
PLK1,179,5.923854748603351,5.64,-8.85155843299409,-9.439454018606071
PTGS2,20,5.5722499999999995,5.6675,-8.319594361323807,-8.636266585328647
ROCK1,477,6.349863731656185,6.3,-8.358663025474112,-8.848711300899778
SRC,1339,6.434439880507842,6.38,-8.125704155692189,-8.76185755680955
