component,response,descriptor,spearman_rho,p_value_descriptive_only
released_score,row_mean,heavy_atoms,-0.5091802624848225,4.00663159885849e-35
released_score,residual_rms,heavy_atoms,0.20795818084071196,2.0743868425001326e-06
released_score,row_mean,molecular_weight,-0.4292957048023459,2.251553712946855e-24
released_score,residual_rms,molecular_weight,0.17365545713599065,7.821015303213113e-05
released_score,row_mean,labute_asa,-0.47783395541879903,1.4507155557514888e-30
released_score,residual_rms,labute_asa,0.1993290339146954,5.494449639231719e-06
released_score,row_mean,clogp,-0.40250388401908505,2.31672949923506e-21
released_score,residual_rms,clogp,0.2962630069752005,7.838805534591747e-12
released_score,row_mean,tpsa,-0.1459782832287088,0.0009236677335401236
released_score,residual_rms,tpsa,0.000983973472279951,0.9822801496272078
released_score,row_mean,hbd,-0.08611742672806637,0.05147825023356632
released_score,residual_rms,hbd,0.029196608566550982,0.5097868300912838
released_score,row_mean,hba,-0.09554470580361754,0.03064956132508236
released_score,residual_rms,hba,-0.03380031838859326,0.445366397244483
released_score,row_mean,rotatable_bonds,-0.08961713124965615,0.04266979122992148
released_score,residual_rms,rotatable_bonds,-0.14481800654422558,0.0010155342418729997
released_score,row_mean,rdkit_rotatable_bonds,-0.08961713124965615,0.04266979122992148
released_score,residual_rms,rdkit_rotatable_bonds,-0.14481800654422558,0.0010155342418729997
released_score,row_mean,ring_count,-0.6340359711772074,6.354459866604545e-59
released_score,residual_rms,ring_count,0.3367658868783372,4.8237127524304165e-15
rescored_post_total,row_mean,heavy_atoms,-0.5112848005983542,1.9031177149651243e-35
rescored_post_total,residual_rms,heavy_atoms,0.20711124031673625,2.2867126382535173e-06
rescored_post_total,row_mean,molecular_weight,-0.43138579181973197,1.2761935101238406e-24
rescored_post_total,residual_rms,molecular_weight,0.17286053675856305,8.443113905251339e-05
rescored_post_total,row_mean,labute_asa,-0.4798741466966503,7.568265457574695e-31
rescored_post_total,residual_rms,labute_asa,0.1985651378732219,5.977294436593691e-06
rescored_post_total,row_mean,clogp,-0.40121914017349314,3.18132962465586e-21
rescored_post_total,residual_rms,clogp,0.29533111460157246,9.172139409093912e-12
rescored_post_total,row_mean,tpsa,-0.14863752799556035,0.0007413226285047568
rescored_post_total,residual_rms,tpsa,0.0005621492169333688,0.9898759973412581
rescored_post_total,row_mean,hbd,-0.08830704662403016,0.045805670137731694
rescored_post_total,residual_rms,hbd,0.030294318169374054,0.49399806280737335
rescored_post_total,row_mean,hba,-0.09750762502655974,0.027369121474984125
rescored_post_total,residual_rms,hba,-0.03232714192402098,0.46546191774624734
rescored_post_total,row_mean,rotatable_bonds,-0.09241474491003002,0.0365754844310354
rescored_post_total,residual_rms,rotatable_bonds,-0.1424722604269362,0.0012275344804506686
rescored_post_total,row_mean,rdkit_rotatable_bonds,-0.09241474491003002,0.0365754844310354
rescored_post_total,residual_rms,rdkit_rotatable_bonds,-0.1424722604269362,0.0012275344804506686
rescored_post_total,row_mean,ring_count,-0.6342410206077255,5.685489953477957e-59
rescored_post_total,residual_rms,ring_count,0.33402153955028757,8.251406857206945e-15
zero_rot_pre_total,row_mean,heavy_atoms,-0.8142318993433505,1.5526316004487405e-122
zero_rot_pre_total,residual_rms,heavy_atoms,0.32419991741448384,5.395011702219459e-14
zero_rot_pre_total,row_mean,molecular_weight,-0.7838297584715213,1.3220998616544485e-107
zero_rot_pre_total,residual_rms,molecular_weight,0.300245744927387,3.980068893155857e-12
zero_rot_pre_total,row_mean,labute_asa,-0.800848439592131,1.2090449954683989e-115
zero_rot_pre_total,residual_rms,labute_asa,0.3168349133392843,2.1103145958645342e-13
zero_rot_pre_total,row_mean,clogp,-0.3359070121078953,5.7094971618175725e-15
zero_rot_pre_total,residual_rms,clogp,0.26786107677870474,7.31632448072383e-10
zero_rot_pre_total,row_mean,tpsa,-0.4888448249341124,4.1083815723934753e-32
zero_rot_pre_total,residual_rms,tpsa,0.1328024439343445,0.0026040724727293876
zero_rot_pre_total,row_mean,hbd,-0.3380697482881542,3.7307288374894265e-15
zero_rot_pre_total,residual_rms,hbd,0.1176328609478988,0.007710778565303314
zero_rot_pre_total,row_mean,hba,-0.3888896456880843,6.226745834698759e-20
zero_rot_pre_total,residual_rms,hba,0.07507448067122915,0.08969948580949187
zero_rot_pre_total,row_mean,rotatable_bonds,-0.7692839961656813,2.719356213054317e-101
zero_rot_pre_total,residual_rms,rotatable_bonds,0.08595749873001912,0.0519145957287099
zero_rot_pre_total,row_mean,rdkit_rotatable_bonds,-0.7692839961656813,2.719356213054317e-101
zero_rot_pre_total,residual_rms,rdkit_rotatable_bonds,0.08595749873001912,0.0519145957287099
zero_rot_pre_total,row_mean,ring_count,-0.405807333435613,1.0184960373295586e-21
zero_rot_pre_total,residual_rms,ring_count,0.2869864949656075,3.6508108773995024e-11
post_gauss1,row_mean,heavy_atoms,-0.6023277293323567,7.19746608794914e-52
post_gauss1,residual_rms,heavy_atoms,0.6556273828683823,3.22052057921409e-64
post_gauss1,row_mean,molecular_weight,-0.5430097432508211,1.322541670603265e-40
post_gauss1,residual_rms,molecular_weight,0.6287123702521143,1.1083961732307792e-57
post_gauss1,row_mean,labute_asa,-0.5781238377049931,5.400010366026861e-47
post_gauss1,residual_rms,labute_asa,0.6540461992595644,8.13711550154436e-64
post_gauss1,row_mean,clogp,-0.3588827233609137,5.2226513796195743e-17
post_gauss1,residual_rms,clogp,0.37841053117954704,7.079653589868934e-19
post_gauss1,row_mean,tpsa,-0.2605215390212992,2.1750497764222752e-09
post_gauss1,residual_rms,tpsa,0.2544691030387458,5.2101280039188445e-09
post_gauss1,row_mean,hbd,-0.10879152905333313,0.01377919130714382
post_gauss1,residual_rms,hbd,0.07754469947520337,0.07960407082352303
post_gauss1,row_mean,hba,-0.27020549456033793,5.129686126245727e-10
post_gauss1,residual_rms,hba,0.2868778004050365,3.7159884401043665e-11
post_gauss1,row_mean,rotatable_bonds,-0.28396245485471827,5.956149896159409e-11
post_gauss1,residual_rms,rotatable_bonds,0.18373575166846906,2.877293514690861e-05
post_gauss1,row_mean,rdkit_rotatable_bonds,-0.28396245485471827,5.956149896159409e-11
post_gauss1,residual_rms,rdkit_rotatable_bonds,0.18373575166846906,2.877293514690861e-05
post_gauss1,row_mean,ring_count,-0.5787263768425966,4.129897654308515e-47
post_gauss1,residual_rms,ring_count,0.591845856561813,1.0449738599823957e-49
post_gauss2,row_mean,heavy_atoms,-0.6746479645628998,2.9410613333300804e-69
post_gauss2,residual_rms,heavy_atoms,0.7784295966450725,3.3191081365994825e-105
post_gauss2,row_mean,molecular_weight,-0.6082575874618051,3.9650945392722403e-53
post_gauss2,residual_rms,molecular_weight,0.7378896012863208,3.9662950218785374e-89
post_gauss2,row_mean,labute_asa,-0.6485413018848492,1.964474544713385e-62
post_gauss2,residual_rms,labute_asa,0.7701946075233747,1.1297313704807092e-101
post_gauss2,row_mean,clogp,-0.3998734707774001,4.4282450427307606e-21
post_gauss2,residual_rms,clogp,0.39551253991142243,1.2799316779182063e-20
post_gauss2,row_mean,tpsa,-0.23629203604902724,6.287990240952859e-08
post_gauss2,residual_rms,tpsa,0.30525435620408986,1.6719930206994504e-12
post_gauss2,row_mean,hbd,-0.05267528786343644,0.23411767747044643
post_gauss2,residual_rms,hbd,0.10448735933152292,0.018031185964444654
post_gauss2,row_mean,hba,-0.2840580074689994,5.865266366482444e-11
post_gauss2,residual_rms,hba,0.29917244598635456,4.782599690904353e-12
post_gauss2,row_mean,rotatable_bonds,-0.12518227467530868,0.004556886549372267
post_gauss2,residual_rms,rotatable_bonds,0.24554344891974794,1.81432617254804e-08
post_gauss2,row_mean,rdkit_rotatable_bonds,-0.12518227467530868,0.004556886549372267
post_gauss2,residual_rms,rdkit_rotatable_bonds,0.24554344891974794,1.81432617254804e-08
post_gauss2,row_mean,ring_count,-0.7719966254086046,1.9625272886929223e-102
