component,descriptor,analysis_role,raw_column_centered_r2,two_way_residual_r2,residual_pc1_score_r2,mean_target_slope_per_heavy_atom,sd_target_slope_per_heavy_atom,minimum_target_slope_per_heavy_atom,maximum_target_slope_per_heavy_atom,negative_target_slopes,positive_target_slopes
released_score,heavy_atoms,descriptive_linear_projection,0.2239587475400998,0.23868189642378745,0.584055756962082,-0.056224548959898556,0.056882164516546506,-0.1136880827727665,0.04302899866392684,7,2
rescored_post_total,heavy_atoms,descriptive_linear_projection,0.22488395398026384,0.23851367856777228,0.5841231111857642,-0.05645481164877485,0.05673058583106867,-0.11360806753391482,0.04261823394312858,7,2
zero_rot_pre_total,heavy_atoms,descriptive_linear_projection,0.5661555669674656,0.30202212630805814,0.6952097841400708,-0.2149071314551304,0.09016414524952615,-0.3059724373320618,-0.05044118596829754,9,0
post_gauss1,heavy_atoms,descriptive_linear_projection,0.17057465257655424,0.10998566361460005,0.2797331591257336,-0.021823641093221356,0.021170742125112534,-0.050004429633119934,0.01095257486177556,7,2
post_gauss2,heavy_atoms,descriptive_linear_projection,0.2809512439206039,0.15168061466411065,0.3077262415929175,-0.06408117712041306,0.04060787037066862,-0.09829204349239662,0.030490586126588094,8,1
post_repulsion,heavy_atoms,descriptive_linear_projection,0.1336313832302657,0.08735932408398794,0.0017012996042515827,0.0412123124801983,0.047650907451712576,0.0005834902901885369,0.15964306772860332,0,9
post_hydrophobic,heavy_atoms,descriptive_linear_projection,0.050646913946834515,0.1065069185359655,0.30492786479767175,-0.0061816351804700135,0.01630652927937413,-0.022495969053210805,0.02545272109637336,7,2
post_hydrogen,heavy_atoms,descriptive_linear_projection,0.01581456431711803,0.01443379946551726,0.05528351704633605,-0.005580670734868726,0.006156601968311684,-0.01736814484667972,0.002724853207221114,7,2
pre_gauss1,heavy_atoms,descriptive_linear_projection,0.38565643267678007,0.11900270391145928,0.2695564637289276,-0.06935554910069473,0.030475557098031982,-0.10978219829509521,-0.025968702840095267,9,0
pre_gauss2,heavy_atoms,descriptive_linear_projection,0.6120475419821081,0.17522483765526398,0.3300815654781073,-0.17866375295365822,0.06067005597564655,-0.23026792735558826,-0.03613010227070268,9,0
pre_repulsion,heavy_atoms,descriptive_linear_projection,0.1930266842742746,0.09660417929695797,0.02537528674121159,0.08158293030002345,0.06973905068186197,0.025891292833167608,0.25499017802524593,0,9
pre_hydrophobic,heavy_atoms,descriptive_linear_projection,0.14918685248800867,0.14340025368922704,0.4122200789972664,-0.030499280988748347,0.025887127888613064,-0.056487413528906925,0.01621607313244979,7,2
pre_hydrogen,heavy_atoms,descriptive_linear_projection,0.045888240121430446,0.013596199144402799,0.02671529678473583,-0.017971478712052527,0.008082848441271199,-0.03603169140947661,-0.009576949952634934,9,0
