support,n_ligands,term,shared_row_axis_covariance_share,raw_pc1_bilinear_share,residual_frobenius_inner_product_share,residual_pc1_bilinear_share
all_selected_ligands,512,gauss1,0.2733346569510844,0.2585688181450693,0.28181391622777496,0.2747463258419287
all_selected_ligands,512,gauss2,0.7153277445056864,0.7127815116829779,0.5252048479896845,0.5545663104542826
all_selected_ligands,512,repulsion,-0.28576815671482936,-0.2443242966715254,-0.06467279850851583,-0.037377704750809676
all_selected_ligands,512,hydrophobic,0.29770950690418446,0.2869650276127051,0.22796092350052122,0.25539552895064355
all_selected_ligands,512,hydrogen,-0.0006037516461258981,-0.013991060769226892,0.029693110790535247,-0.04733046049604475
target_invariant_effective_torsions,511,gauss1,0.27338719730877215,0.25860084186431626,0.28149758781632817,0.2744441660518328
target_invariant_effective_torsions,511,gauss2,0.7155396232519461,0.7129240389571171,0.5249881777930521,0.5540892384342072
target_invariant_effective_torsions,511,repulsion,-0.2861211564386122,-0.24460411391807427,-0.06418952598616844,-0.03645959469826853
target_invariant_effective_torsions,511,hydrophobic,0.29791953710564484,0.2871388806194303,0.227883160922135,0.25511061710510935
target_invariant_effective_torsions,511,hydrogen,-0.0007252012277512282,-0.014059647522788822,0.029820599454653193,-0.04718442689288077
released_scores_reproduced_within_0.10_kcal_mol,497,gauss1,0.27278026210317136,0.2578972284279596,0.2816261490036175,0.269756598547896
released_scores_reproduced_within_0.10_kcal_mol,497,gauss2,0.7151983124895874,0.7121627842846991,0.5244866374306236,0.5500634606982623
released_scores_reproduced_within_0.10_kcal_mol,497,repulsion,-0.2833180024329943,-0.24163038443623322,-0.061381530572330575,-0.020717645337375263
released_scores_reproduced_within_0.10_kcal_mol,497,hydrophobic,0.29722868048760664,0.28668291470475116,0.22586068173025556,0.25139056528072967
released_scores_reproduced_within_0.10_kcal_mol,497,hydrogen,-0.0018892526473714697,-0.015112542981176338,0.029408062407834012,-0.05049297918951298
both_quality_rules,497,gauss1,0.27278026210317136,0.2578972284279596,0.2816261490036175,0.269756598547896
both_quality_rules,497,gauss2,0.7151983124895874,0.7121627842846991,0.5244866374306236,0.5500634606982623
both_quality_rules,497,repulsion,-0.2833180024329943,-0.24163038443623322,-0.061381530572330575,-0.020717645337375263
both_quality_rules,497,hydrophobic,0.29722868048760664,0.28668291470475116,0.22586068173025556,0.25139056528072967
both_quality_rules,497,hydrogen,-0.0018892526473714697,-0.015112542981176338,0.029408062407834012,-0.05049297918951298
