term,residual_mode,mode_variance_fraction,bilinear_share
gauss1,1,0.3695179041185967,0.2747463258419287
gauss1,2,0.1384565381587637,0.28775172191775483
gauss1,3,0.13330650248380016,0.25263406048936554
gauss1,4,0.1283610347345865,0.2804149927240437
gauss1,5,0.0727886602026788,0.3372567037371087
gauss2,1,0.3695179041185967,0.5545663104542826
gauss2,2,0.1384565381587637,0.524420995882848
gauss2,3,0.13330650248380016,0.3875156439390674
gauss2,4,0.1283610347345865,0.5748567153174484
gauss2,5,0.0727886602026788,0.5263882471609774
repulsion,1,0.3695179041185967,-0.037377704750809676
repulsion,2,0.1384565381587637,-0.08096476054306596
repulsion,3,0.13330650248380016,0.06503278578268241
repulsion,4,0.1283610347345865,-0.035916724981799854
repulsion,5,0.0727886602026788,-0.2499174814289389
hydrophobic,1,0.3695179041185967,0.25539552895064355
hydrophobic,2,0.1384565381587637,0.21505450037491586
hydrophobic,3,0.13330650248380016,0.20684040086009423
hydrophobic,4,0.1283610347345865,0.16886024499954108
hydrophobic,5,0.0727886602026788,0.27955151241622844
hydrogen,1,0.3695179041185967,-0.04733046049604475
hydrogen,2,0.1384565381587637,0.05373754236754718
hydrogen,3,0.13330650248380016,0.08797710892878993
hydrogen,4,0.1283610347345865,0.011784771940766743
hydrogen,5,0.0727886602026788,0.10672101811462358
