selection_rank,index,inchikey,smiles,NR3C1,ADRB2,ADRB1,ADORA2A,AR,PTGS2,ACHE,DRD2,LCK
1,151348,FOGMLARNZDEUKH-JSGCOSHPNA-N,S(=O)(=O)(N1[C@H](CO[C@H]1CC(=O)C)CO)C2=CC=C(C=C2)C,-7.2,-7.3,-6.7,-6.9,-7.0,-7.8,-9.0,-7.2,-7.0
2,89921,CHYHMJYTWVQCFW-ZRZAMGCNNA-N,C1CN(CCN1C2=C(C=CC=C2)OC(C)C)[C@@H]3CC[C@@H](CC3)NS(C4=C(C=CC(=C4)C)OC)(=O)=O,-8.2,-10.6,-10.6,-9.5,-6.0,-8.2,-10.0,-8.9,-8.1
3,159828,SKVPIYLYAOJOHK-HPHMPNDVNA-N,N=1C(=C(CN)C(=NC1C2=CC=CC=C2)N)C=3C=C(OC)C=CC3,-8.7,-9.0,-9.4,-8.7,-6.0,-9.1,-10.6,-9.3,-8.1
4,257256,GLYMSBYTEHJOFI-UHFFFAOYNA-N,FC=1C=CC(C2=NOC(=C2)C3OC(=NN3)C=4C=CC=CC4)=CC1,-9.8,-10.5,-10.1,-10.0,-8.6,-9.8,-11.1,-10.2,-8.7
5,163237,IHNNMQCDBCUENA-MSPWJIQNNA-N,C=1C=C(C=C(C1)C(=N)NC2=CC=CC=3C2=CC=CC3)C(N)=N,-9.5,-10.3,-10.6,-9.8,-8.7,-10.4,-12.3,-9.8,-9.3
6,196766,VTIPAJYQSUSLDX-UHFFFAOYNA-N,ClC=1C=C(N=C2C(C(=O)C=3C2=CC=CC3)C=4C=CC(=CC4)C(F)(F)F)C(OC)=CC1OC,-6.1,-9.4,-9.3,-8.2,-6.4,-7.3,-8.9,-10.0,-8.6
7,104429,INAAURZIHBQNQA-SMOXQLQSNA-N,C(C)[C@H](C)[C@H](N)C(N1CCC(C1)F)=O,-5.8,-6.4,-6.3,-6.2,-6.2,-6.5,-7.0,-7.0,-5.8
8,93119,MHDGMURJDSJVEZ-UHFFFAOYNA-N,C1(=C(C=C(C=C1)C2=NN(C(C=3C=CC(=CC3)F)C2)C=4SC=C(N4)C5=CC=CC=C5)C)C,-7.2,-11.9,-11.7,-10.0,-7.6,-8.8,-10.3,-10.5,-9.6
9,137877,BAJRXUAYQOHELU-UHFFFAOYNA-N,S1C=2N(N=C(C2C=C1C(=O)N3CCC(CC3)C(OCC)=O)C4=CC(OC)=C(OC)C=C4)C,-8.2,-9.4,-9.1,-9.0,-6.1,-7.3,-10.7,-9.6,-7.9
10,131039,UCECRYHBDBVQJK-UHFFFAOYNA-N,S(CC(=O)N1CCC(CC1)C(OCC)=O)C=2N(C(=NN2)C=3OC=CC3)C4=CC=CC=C4,-8.8,-9.4,-9.6,-8.8,-6.2,-6.9,-10.3,-9.5,-7.8
11,197322,HDNQJCWYCHMXEK-PKSOQXRJNA-N,S=C1NC(C(C(=N1)C2=CC(OC3=CC=CC=C3)=CC=C2)C(OCC)=O)C,-8.9,-9.9,-9.6,-9.1,-6.8,-7.0,-9.5,-9.5,-7.8
12,193117,XSOCTUMRZKXSIW-BQWHZAAWNA-N,S(=O)(=O)(/N=C(/NC1=C(C=C(C=C1)C)C)\C=2C=CC=CC2)C=3SC=CC3,-8.6,-9.5,-8.5,-9.3,-6.1,-9.2,-10.5,-8.4,-8.3
