component,target,slope_kcal_per_mol_per_heavy_atom,slope_deviation_from_panel_mean
released_score,NR3C1,0.0009121921706255335,0.05713674113052409
released_score,ADRB2,-0.11323304024750468,-0.05700849128760612
released_score,ADRB1,-0.1136880827727665,-0.057463533812867944
released_score,ADORA2A,-0.07578123068059102,-0.019556681720692463
released_score,AR,0.04302899866392684,0.0992535476238254
released_score,PTGS2,-0.004777103667207968,0.05144744529269059
released_score,ACHE,-0.05355664777706378,0.0026679011828347754
released_score,DRD2,-0.10577592630391179,-0.049551377344013235
released_score,LCK,-0.08315010002459368,-0.026925551064695123
rescored_post_total,NR3C1,0.0005656782386257127,0.057020489887400556
rescored_post_total,ADRB2,-0.11333474952345303,-0.05687993787467818
rescored_post_total,ADRB1,-0.11360806753391482,-0.057153255885139975
rescored_post_total,ADORA2A,-0.07595263050806166,-0.01949781885928681
rescored_post_total,AR,0.04261823394312858,0.09907304559190343
rescored_post_total,PTGS2,-0.0053242132240154325,0.051130598424759414
rescored_post_total,ACHE,-0.05362624186542306,0.002828569783351789
rescored_post_total,DRD2,-0.10585028525476327,-0.04939547360598842
rescored_post_total,LCK,-0.08358102911109669,-0.02712621746232184
zero_rot_pre_total,NR3C1,-0.12461815107923906,0.09028898037589135
zero_rot_pre_total,ADRB2,-0.30562956582671025,-0.09072243437157984
zero_rot_pre_total,ADRB1,-0.3059724373320618,-0.0910653058769314
zero_rot_pre_total,ADORA2A,-0.24371413768892805,-0.028807006233797644
zero_rot_pre_total,AR,-0.05044118596829754,0.16446594548683285
zero_rot_pre_total,PTGS2,-0.13900564035260618,0.07590149110252423
zero_rot_pre_total,ACHE,-0.23202396594353236,-0.017116834488401955
zero_rot_pre_total,DRD2,-0.29014193424481266,-0.07523480278968225
zero_rot_pre_total,LCK,-0.24261716465998576,-0.02771003320485535
post_gauss1,NR3C1,-0.050004429633119934,-0.02818078853989858
post_gauss1,ADRB2,-0.04710270235419176,-0.025279061260970407
post_gauss1,ADRB1,-0.03744360357658571,-0.015619962483364353
post_gauss1,ADORA2A,-0.02111672697865564,0.000706914114565714
post_gauss1,AR,0.0042665534647322615,0.026090194557953618
post_gauss1,PTGS2,0.01095257486177556,0.03277621595499691
post_gauss1,ACHE,-0.009606044739595622,0.012217596353625734
post_gauss1,DRD2,-0.023244541699554484,-0.0014209006063331288
post_gauss1,LCK,-0.023113849183796872,-0.0012902080905755169
post_gauss2,NR3C1,-0.08988902567430515,-0.025807848553892093
post_gauss2,ADRB2,-0.09829204349239662,-0.03421086637198356
post_gauss2,ADRB1,-0.09584772352793966,-0.0317665464075266
post_gauss2,ADORA2A,-0.06752436499200469,-0.0034431878715916325
post_gauss2,AR,0.030490586126588094,0.09457176324700114
post_gauss2,PTGS2,-0.03279964145027656,0.0312815356701365
post_gauss2,ACHE,-0.0761565058148757,-0.012075328694462636
post_gauss2,DRD2,-0.08022568451121295,-0.016144507390799895
post_gauss2,LCK,-0.0664861907472943,-0.002405013626881239
post_repulsion,NR3C1,0.15964306772860332,0.11843075524840502
post_repulsion,ADRB2,0.05183111216912512,0.010618799688926824
post_repulsion,ADRB1,0.041358474793552535,0.00014616231335423668
post_repulsion,ADORA2A,0.03139403864401953,-0.009818273836178767
post_repulsion,AR,0.0005834902901885369,-0.04062882219000976
post_repulsion,PTGS2,0.00843827711479195,-0.03277403536540635
post_repulsion,ACHE,0.04415220189707724,0.002939889416878942
post_repulsion,DRD2,0.016589537138569522,-0.024622775341628777
post_repulsion,LCK,0.016920612545856955,-0.024291699934341344
post_hydrophobic,NR3C1,-0.007167272758167768,-0.0009856375776977544
post_hydrophobic,ADRB2,-0.022495969053210805,-0.01631433387274079
post_hydrophobic,ADRB1,-0.022419242070690876,-0.016237606890220864
post_hydrophobic,ADORA2A,-0.014140319741809945,-0.007958684561339932
post_hydrophobic,AR,0.014956119760756613,0.021137754941226626
post_hydrophobic,PTGS2,0.02545272109637336,0.03163435627684337
post_hydrophobic,ACHE,-0.008675591876338965,-0.0024939566958689513
post_hydrophobic,DRD2,-0.015087880386936306,-0.008906245206466292
post_hydrophobic,LCK,-0.006057281594205431,0.00012435358626458268
post_hydrogen,NR3C1,-0.01201666142438479,-0.006435990689516065
post_hydrogen,ADRB2,0.002724853207221114,0.00830552394208984
post_hydrogen,ADRB1,0.0007440268477487161,0.006324697582617442
post_hydrogen,ADORA2A,-0.004565257439610865,0.0010154132952578613
post_hydrogen,AR,-0.007678515699136895,-0.0020978449642681694
post_hydrogen,PTGS2,-0.01736814484667972,-0.011787474111810995
post_hydrogen,ACHE,-0.0033403013316901024,0.0022403694031786236
post_hydrogen,DRD2,-0.003881715795629005,0.001698954939239721
post_hydrogen,LCK,-0.004844320131656983,0.0007363506032117429
pre_gauss1,NR3C1,-0.10978219829509521,-0.04042664919440048
pre_gauss1,ADRB2,-0.10666924197601764,-0.03731369287532291
pre_gauss1,ADRB1,-0.0934224384411888,-0.02406688934049407
pre_gauss1,ADORA2A,-0.06744740440416767,0.0019081446965270588
pre_gauss1,AR,-0.026672128610897704,0.04268342048979703
pre_gauss1,PTGS2,-0.025968702840095267,0.043386846260599465
pre_gauss1,ACHE,-0.06251941453293201,0.0068361345677627194
pre_gauss1,DRD2,-0.07060896693336792,-0.001253417832673187
pre_gauss1,LCK,-0.06110944587249036,0.00824610322820437
pre_gauss2,NR3C1,-0.2178749031948364,-0.03921115024117819
pre_gauss2,ADRB2,-0.23026792735558826,-0.05160417440193005
pre_gauss2,ADRB1,-0.22638362980113036,-0.04771987684747214
pre_gauss2,ADORA2A,-0.1766050845818291,0.0020586683718291088
pre_gauss2,AR,-0.03613010227070268,0.14253365068295554
pre_gauss2,PTGS2,-0.14001982631769305,0.038643926635965165
pre_gauss2,ACHE,-0.20359588611442755,-0.024932133160769337
pre_gauss2,DRD2,-0.20156175578598037,-0.022898002832322156
pre_gauss2,LCK,-0.17553466116073635,0.0031290917929218676
pre_repulsion,NR3C1,0.25499017802524593,0.17340724772522248
pre_repulsion,ADRB2,0.09626459025052432,0.014681659950500872
pre_repulsion,ADRB1,0.08059532471322271,-0.0009876055868007355
pre_repulsion,ADORA2A,0.0610929704430259,-0.02048995985699755
pre_repulsion,AR,0.025891292833167608,-0.05569163746685584
pre_repulsion,PTGS2,0.04679850708220886,-0.03478442321781459
pre_repulsion,ACHE,0.09213555923903041,0.010552628939006964
pre_repulsion,DRD2,0.04152329581513686,-0.040059634484886586
pre_repulsion,LCK,0.034954654298648496,-0.04662827600137495
pre_hydrophobic,NR3C1,-0.028007560133453423,0.0024917208552949245
