component,raw_pr,residual_pr,pr_increase,raw_pc1_fraction,residual_pc1_fraction,raw_mean_correlation,residual_mean_absolute_correlation,residual_fraction_grand_centered_ss,z_then_row_center_pr
released_score,2.6544188032771032,4.911918815488637,2.2575000122115334,0.5833274056006245,0.3694471436891063,0.48504557957696914,0.2821880177527786,0.3001808304343005,4.777223155051752
rescored_post_total,2.649528001680738,4.911876072913026,2.2623480712322883,0.5840426349700731,0.3695179041185967,0.486053549899879,0.28251800555727774,0.2991421154117253,4.778861125680864
zero_rot_pre_total,1.7166996796360583,4.731688060331328,3.0149883806952693,0.7538235844870557,0.3796577827280093,0.7088314732390849,0.2831986669948235,0.20089405603888577,4.7330939103867715
post_gauss1,4.980576712554207,6.380211474765654,1.3996347622114476,0.37587256914716954,0.2765263469287495,0.24891443014907397,0.1893303117575764,0.5300450551644819,6.5348576570300905
post_gauss2,2.4235127794431626,5.914115508411813,3.4906027289686503,0.6203949570760481,0.29589763970863536,0.5055315650279643,0.20496346269561885,0.43061607358386333,5.885842615693733
post_repulsion,6.900465980411691,6.354669911659641,-0.5457960687520504,0.2706579749423024,0.2667822198649641,0.12414072779179114,0.1964777445135964,0.7274028364231327,7.287747025734471
post_hydrophobic,2.274752419844371,6.468479934312629,4.193727514468258,0.6456493575136398,0.26890094021805644,0.5777515932086716,0.17561630390349137,0.32308171967515925,6.60490443099687
post_hydrogen,4.2818433589897635,7.656873964624571,3.375030605634808,0.43862729213936613,0.16830787246042345,0.3670837005810317,0.12758734266027466,0.5315782889156301,7.697316277021678
pre_gauss1,2.723811629392448,6.405713327987312,3.6819016985948645,0.5801439093795958,0.27067746110306373,0.505211298544878,0.18736682234918323,0.3922203791534797,6.369595136255385
pre_gauss2,1.8109095640968138,5.892622493891085,4.081712929794271,0.7314684632475538,0.29576665562357435,0.6591641591383312,0.20673543308005426,0.29896360489389473,5.579251791103727
pre_repulsion,6.037960019821791,6.145436796325053,0.10747677650326182,0.31887625920650287,0.2754298867885097,0.1903478988295665,0.20611411189918713,0.695773196224583,7.255894277872008
pre_hydrophobic,2.243717281565796,6.268602807977736,4.024885526411939,0.6500268912208808,0.28159283085149006,0.5777340402699941,0.18487640736158617,0.3229107930964404,6.384155522114983
pre_hydrogen,3.5983789917173943,7.659328393514837,4.060949401797442,0.4944824392261978,0.16875769778295185,0.42998949417710725,0.12609233278866158,0.48330467095062946,7.706958788944889
