arm,affinity_pearson,raw_effective_rank,interaction_effective_rank,selectivity_p_at_5,selectivity_auprc,clears_chance
boltz_s3,0.4826,3.259,15.485,0.46764705882352936,0.4236119829243698,True
s1_readout,0.5535,3.439,9.297,0.4264705882352941,0.4228973393686665,True
chembert_davisoof,0.6091,3.09,9.261,0.4264705882352941,0.3785542753271354,True
chembert_kiba2davis,0.1542,2.172,10.558,0.16470588235294117,0.2078233654999473,True
conplex_kiba2davis,0.3784,2.379,1.955,0.3088235294117647,0.3114860334880185,True
deepdta_kiba2davis,0.0722,1.131,2.781,0.09999999999999999,0.16142640354475646,False
dmpnn_kiba2davis,0.2176,1.016,2.758,0.07941176470588236,0.16222654012753365,False
esm_target_davisoof,0.7444,4.635,9.013,0.5941176470588235,0.544564263356531,True
esm_target_kiba2davis,0.3134,2.401,7.852,0.21764705882352942,0.23997463145234482,True
histgbm_davisoof,0.617,1.82,7.047,0.4617647058823529,0.4124485215673088,True
histgbm_kiba2davis,0.196,1.211,8.655,0.11176470588235295,0.1779531346653431,False
kronrls_davisoof,0.2786,1.003,5.532,0.10588235294117648,0.1429165241795301,False
mlp_davisoof,0.6181,3.382,9.615,0.45882352941176474,0.3926417922490333,True
mlp_kiba2davis,0.1524,3.001,11.991,0.1411764705882353,0.2029498066027122,True
morgan_cnn_kiba2davis,0.2413,1.0,31.746,0.07941176470588236,0.1526136310004738,False
rf_davisoof,0.6378,1.618,7.173,0.5499999999999999,0.4600496149004405,True
rf_kiba2davis,0.2175,1.108,9.351,0.14411764705882354,0.18936695932406358,True
ridge_davisoof,0.3042,1.002,3.344,0.04411764705882353,0.11646840823229077,False
ridge_kiba2davis,0.1456,1.0,4.565,0.12058823529411763,0.14108302740455833,False
transformer_cnn_kiba2davis,0.0828,8.212,4.559,0.10882352941176471,0.150786722975866,False
