top_fraction,positive_pairs,candidate_name,model,panel,analysis_role,metric,baseline,candidate_with_stability,candidate_minus_baseline
0.05,10,scaffold_residual_stability_primary,class_balanced_ridge,PKIS1,post_hoc_discovery_model_fit_only,continuous_spearman,0.544914642627511,0.535403954913462,-0.0095106877140495
0.05,10,scaffold_residual_stability_primary,class_balanced_ridge,PKIS1,post_hoc_discovery_model_fit_only,roc_auc,0.956666666666667,0.965,0.0083333333333333
0.05,10,scaffold_residual_stability_primary,class_balanced_ridge,PKIS1,post_hoc_discovery_model_fit_only,average_precision,0.512655677655678,0.576537848340917,0.0638821706852396
0.05,10,scaffold_residual_stability_primary,class_balanced_ridge,DAVIS,locked_no_retuning_evaluation,continuous_spearman,0.557777515341583,0.558865750764345,0.00108823542276271
0.05,10,scaffold_residual_stability_primary,class_balanced_ridge,DAVIS,locked_no_retuning_evaluation,roc_auc,0.945555555555556,0.945555555555555,-1.11022302462516e-16
0.05,10,scaffold_residual_stability_primary,class_balanced_ridge,DAVIS,locked_no_retuning_evaluation,average_precision,0.531306471306471,0.553907450220001,0.0226009789135301
0.05,10,scaffold_residual_stability_primary,class_balanced_ridge,PKIS2,locked_no_retuning_evaluation,continuous_spearman,0.581984629986835,0.555803995153678,-0.0261806348331561
0.05,10,scaffold_residual_stability_primary,class_balanced_ridge,PKIS2,locked_no_retuning_evaluation,roc_auc,0.898333333333333,0.877777777777778,-0.0205555555555555
0.05,10,scaffold_residual_stability_primary,class_balanced_ridge,PKIS2,locked_no_retuning_evaluation,average_precision,0.584963165489481,0.559641685788772,-0.0253214797007094
0.05,10,scaffold_residual_stability_primary,class_balanced_ridge,KiRHub,locked_no_retuning_evaluation,continuous_spearman,0.523044959694174,0.523578579957748,0.000533620263573398
0.05,10,scaffold_residual_stability_primary,class_balanced_ridge,KiRHub,locked_no_retuning_evaluation,roc_auc,0.821111111111111,0.832777777777778,0.0116666666666667
0.05,10,scaffold_residual_stability_primary,class_balanced_ridge,KiRHub,locked_no_retuning_evaluation,average_precision,0.28959367747509,0.329276474220637,0.0396827967455475
0.05,10,random_residual_stability_control,class_balanced_ridge,PKIS1,post_hoc_discovery_model_fit_only,continuous_spearman,0.544914642627511,0.53150065390352,-0.0134139887239915
0.05,10,random_residual_stability_control,class_balanced_ridge,PKIS1,post_hoc_discovery_model_fit_only,roc_auc,0.956666666666667,0.962777777777778,0.00611111111111107
0.05,10,random_residual_stability_control,class_balanced_ridge,PKIS1,post_hoc_discovery_model_fit_only,average_precision,0.512655677655678,0.561614496614497,0.0489588189588189
0.05,10,random_residual_stability_control,class_balanced_ridge,DAVIS,locked_no_retuning_evaluation,continuous_spearman,0.557777515341583,0.554820734208995,-0.00295678113258724
0.05,10,random_residual_stability_control,class_balanced_ridge,DAVIS,locked_no_retuning_evaluation,roc_auc,0.945555555555556,0.951111111111111,0.00555555555555542
0.05,10,random_residual_stability_control,class_balanced_ridge,DAVIS,locked_no_retuning_evaluation,average_precision,0.531306471306471,0.556581386093581,0.0252749147871099
0.05,10,random_residual_stability_control,class_balanced_ridge,PKIS2,locked_no_retuning_evaluation,continuous_spearman,0.581984629986835,0.562735809856229,-0.0192488201306058
0.05,10,random_residual_stability_control,class_balanced_ridge,PKIS2,locked_no_retuning_evaluation,roc_auc,0.898333333333333,0.882222222222222,-0.0161111111111111
0.05,10,random_residual_stability_control,class_balanced_ridge,PKIS2,locked_no_retuning_evaluation,average_precision,0.584963165489481,0.563035658576153,-0.0219275069133286
0.05,10,random_residual_stability_control,class_balanced_ridge,KiRHub,locked_no_retuning_evaluation,continuous_spearman,0.523044959694174,0.52256732581891,-0.000477633875264116
0.05,10,random_residual_stability_control,class_balanced_ridge,KiRHub,locked_no_retuning_evaluation,roc_auc,0.821111111111111,0.834444444444444,0.0133333333333333
0.05,10,random_residual_stability_control,class_balanced_ridge,KiRHub,locked_no_retuning_evaluation,average_precision,0.28959367747509,0.328419981263784,0.0388263037886944
0.05,10,scaffold_raw_stability_control,class_balanced_ridge,PKIS1,post_hoc_discovery_model_fit_only,continuous_spearman,0.544914642627511,0.54379316528669,-0.00112147734082146
0.05,10,scaffold_raw_stability_control,class_balanced_ridge,PKIS1,post_hoc_discovery_model_fit_only,roc_auc,0.956666666666667,0.957777777777778,0.00111111111111106
0.05,10,scaffold_raw_stability_control,class_balanced_ridge,PKIS1,post_hoc_discovery_model_fit_only,average_precision,0.512655677655678,0.526508374666269,0.0138526970105918
0.05,10,scaffold_raw_stability_control,class_balanced_ridge,DAVIS,locked_no_retuning_evaluation,continuous_spearman,0.557777515341583,0.557014700800868,-0.000762814540714918
0.05,10,scaffold_raw_stability_control,class_balanced_ridge,DAVIS,locked_no_retuning_evaluation,roc_auc,0.945555555555556,0.95,0.00444444444444436
0.05,10,scaffold_raw_stability_control,class_balanced_ridge,DAVIS,locked_no_retuning_evaluation,average_precision,0.531306471306471,0.529458757616652,-0.00184771368981906
0.05,10,scaffold_raw_stability_control,class_balanced_ridge,PKIS2,locked_no_retuning_evaluation,continuous_spearman,0.581984629986835,0.57719954336102,-0.00478508662581412
0.05,10,scaffold_raw_stability_control,class_balanced_ridge,PKIS2,locked_no_retuning_evaluation,roc_auc,0.898333333333333,0.9,0.00166666666666682
0.05,10,scaffold_raw_stability_control,class_balanced_ridge,PKIS2,locked_no_retuning_evaluation,average_precision,0.584963165489481,0.555458152958153,-0.0295050125313284
0.05,10,scaffold_raw_stability_control,class_balanced_ridge,KiRHub,locked_no_retuning_evaluation,continuous_spearman,0.523044959694174,0.520142415375262,-0.00290254431891246
0.05,10,scaffold_raw_stability_control,class_balanced_ridge,KiRHub,locked_no_retuning_evaluation,roc_auc,0.821111111111111,0.824444444444445,0.00333333333333341
0.05,10,scaffold_raw_stability_control,class_balanced_ridge,KiRHub,locked_no_retuning_evaluation,average_precision,0.28959367747509,0.282265549326953,-0.0073281281481371
0.05,10,scaffold_residual_stability_primary,class_balanced_logistic_sensitivity,PKIS1,post_hoc_discovery_model_fit_only,continuous_spearman,0.578548465404349,0.54053545731694,-0.0380130080874088
0.05,10,scaffold_residual_stability_primary,class_balanced_logistic_sensitivity,PKIS1,post_hoc_discovery_model_fit_only,roc_auc,0.97,0.982777777777778,0.0127777777777779
0.05,10,scaffold_residual_stability_primary,class_balanced_logistic_sensitivity,PKIS1,post_hoc_discovery_model_fit_only,average_precision,0.666185807656396,0.732591852591853,0.0664060449354568
0.05,10,scaffold_residual_stability_primary,class_balanced_logistic_sensitivity,DAVIS,locked_no_retuning_evaluation,continuous_spearman,0.586565016380393,0.579589462311975,-0.00697555406841721
0.05,10,scaffold_residual_stability_primary,class_balanced_logistic_sensitivity,DAVIS,locked_no_retuning_evaluation,roc_auc,0.946666666666667,0.932222222222222,-0.0144444444444444
