candidate_name,panel,analysis_role,partial_spearman_stability_vs_continuous_experimental_geometry,controls
scaffold_residual_stability_primary,PKIS1,post_hoc_discovery_model_fit_only,-0.0455589223968249,mean scaffold-support residual docking edge; receptor-domain sequence identity; KLIFS pocket identity; two outcome-blind MaxMin-80 target-breadth pair features
scaffold_residual_stability_primary,DAVIS,locked_no_retuning_evaluation,-0.0813560912697658,mean scaffold-support residual docking edge; receptor-domain sequence identity; KLIFS pocket identity; two outcome-blind MaxMin-80 target-breadth pair features
scaffold_residual_stability_primary,PKIS2,locked_no_retuning_evaluation,0.0273295122016484,mean scaffold-support residual docking edge; receptor-domain sequence identity; KLIFS pocket identity; two outcome-blind MaxMin-80 target-breadth pair features
scaffold_residual_stability_primary,KiRHub,locked_no_retuning_evaluation,-0.115352000538497,mean scaffold-support residual docking edge; receptor-domain sequence identity; KLIFS pocket identity; two outcome-blind MaxMin-80 target-breadth pair features
random_residual_stability_control,PKIS1,post_hoc_discovery_model_fit_only,0.0017250848646543,mean scaffold-support residual docking edge; receptor-domain sequence identity; KLIFS pocket identity; two outcome-blind MaxMin-80 target-breadth pair features
random_residual_stability_control,DAVIS,locked_no_retuning_evaluation,-0.0247299902523507,mean scaffold-support residual docking edge; receptor-domain sequence identity; KLIFS pocket identity; two outcome-blind MaxMin-80 target-breadth pair features
random_residual_stability_control,PKIS2,locked_no_retuning_evaluation,0.0570834233565197,mean scaffold-support residual docking edge; receptor-domain sequence identity; KLIFS pocket identity; two outcome-blind MaxMin-80 target-breadth pair features
random_residual_stability_control,KiRHub,locked_no_retuning_evaluation,-0.0794572346679007,mean scaffold-support residual docking edge; receptor-domain sequence identity; KLIFS pocket identity; two outcome-blind MaxMin-80 target-breadth pair features
scaffold_raw_stability_control,PKIS1,post_hoc_discovery_model_fit_only,-0.10008092306379,mean scaffold-support residual docking edge; receptor-domain sequence identity; KLIFS pocket identity; two outcome-blind MaxMin-80 target-breadth pair features
scaffold_raw_stability_control,DAVIS,locked_no_retuning_evaluation,-0.0198533617655734,mean scaffold-support residual docking edge; receptor-domain sequence identity; KLIFS pocket identity; two outcome-blind MaxMin-80 target-breadth pair features
scaffold_raw_stability_control,PKIS2,locked_no_retuning_evaluation,-0.0866969317130913,mean scaffold-support residual docking edge; receptor-domain sequence identity; KLIFS pocket identity; two outcome-blind MaxMin-80 target-breadth pair features
scaffold_raw_stability_control,KiRHub,locked_no_retuning_evaluation,-0.0346558595318709,mean scaffold-support residual docking edge; receptor-domain sequence identity; KLIFS pocket identity; two outcome-blind MaxMin-80 target-breadth pair features
