support_kind,surface,support_id,target_a,target_b,correlation,percentile_rank
scaffold,residual,0,ABL1,AKT1,-0.47630823980114,0.00529100529100529
scaffold,residual,0,ABL1,AKT2,-0.154714169105906,0.28042328042328
scaffold,residual,0,ABL1,CDK2,-0.292281954329379,0.0740740740740741
scaffold,residual,0,ABL1,CSF1R,0.0125352882921321,0.64021164021164
scaffold,residual,0,ABL1,EGFR,-0.0718607394159116,0.44973544973545
scaffold,residual,0,ABL1,FGFR1,0.400617645200935,0.978835978835979
scaffold,residual,0,ABL1,IGF1R,-0.211697280008477,0.195767195767196
scaffold,residual,0,ABL1,JAK2,-0.170953519011646,0.238095238095238
scaffold,residual,0,ABL1,KDR,0.389775924543041,0.973544973544973
scaffold,residual,0,ABL1,KIT,0.19687941494197,0.920634920634921
scaffold,residual,0,ABL1,LCK,-0.0996597360811529,0.407407407407407
scaffold,residual,0,ABL1,MAP2K1,-0.291389468997634,0.0793650793650794
scaffold,residual,0,ABL1,MAPK1,-0.193389730130049,0.211640211640212
scaffold,residual,0,ABL1,MAPK14,-0.0681784113871678,0.481481481481481
scaffold,residual,0,ABL1,MAPKAPK2,-0.182050032594744,0.232804232804233
scaffold,residual,0,ABL1,MET,0.159165062100888,0.878306878306878
scaffold,residual,0,ABL1,PLK1,-0.262120432728037,0.132275132275132
scaffold,residual,0,ABL1,ROCK1,-0.439917563573589,0.0158730158730159
scaffold,residual,0,ABL1,SRC,-0.233964392270831,0.153439153439153
scaffold,residual,0,AKT1,AKT2,0.237333791507991,0.952380952380952
scaffold,residual,0,AKT1,CDK2,0.122874732916671,0.82010582010582
scaffold,residual,0,AKT1,CSF1R,-0.231272606843521,0.158730158730159
scaffold,residual,0,AKT1,EGFR,-0.0651278385261753,0.486772486772487
scaffold,residual,0,AKT1,FGFR1,-0.287456876074628,0.0846560846560847
scaffold,residual,0,AKT1,IGF1R,-0.123063518041078,0.365079365079365
scaffold,residual,0,AKT1,JAK2,-0.0626946680335822,0.497354497354497
scaffold,residual,0,AKT1,KDR,-0.317189176659662,0.0582010582010582
scaffold,residual,0,AKT1,KIT,-0.228477887645336,0.169312169312169
scaffold,residual,0,AKT1,LCK,0.0666166557383723,0.735449735449735
scaffold,residual,0,AKT1,MAP2K1,0.384020733419391,0.968253968253968
scaffold,residual,0,AKT1,MAPK1,-0.0246389846169452,0.555555555555556
scaffold,residual,0,AKT1,MAPK14,-0.115919832290057,0.380952380952381
scaffold,residual,0,AKT1,MAPKAPK2,0.0531082624077099,0.708994708994709
scaffold,residual,0,AKT1,MET,-0.151588251557502,0.291005291005291
scaffold,residual,0,AKT1,PLK1,0.140050443828604,0.846560846560847
scaffold,residual,0,AKT1,ROCK1,0.466383735326609,0.994708994708995
scaffold,residual,0,AKT1,SRC,0.13106868264146,0.830687830687831
scaffold,residual,0,AKT2,CDK2,0.00831458999593057,0.634920634920635
scaffold,residual,0,AKT2,CSF1R,-0.126903346154517,0.343915343915344
scaffold,residual,0,AKT2,EGFR,-0.168015031366412,0.243386243386243
scaffold,residual,0,AKT2,FGFR1,-0.0909261934731534,0.423280423280423
scaffold,residual,0,AKT2,IGF1R,-0.157713319859686,0.275132275132275
scaffold,residual,0,AKT2,JAK2,-0.137179812469735,0.322751322751323
scaffold,residual,0,AKT2,KDR,-0.125124076617345,0.35978835978836
scaffold,residual,0,AKT2,KIT,-0.0936048157085062,0.417989417989418
scaffold,residual,0,AKT2,LCK,0.0482328929273764,0.698412698412698
scaffold,residual,0,AKT2,MAP2K1,0.0607958371675011,0.724867724867725
scaffold,residual,0,AKT2,MAPK1,-0.0219549783055411,0.560846560846561
scaffold,residual,0,AKT2,MAPK14,-0.117300007290076,0.375661375661376
scaffold,residual,0,AKT2,MAPKAPK2,-0.012592008478978,0.587301587301587
scaffold,residual,0,AKT2,MET,-0.103663833092962,0.396825396825397
scaffold,residual,0,AKT2,PLK1,-0.0215203295185606,0.566137566137566
scaffold,residual,0,AKT2,ROCK1,0.183887741387834,0.904761904761905
scaffold,residual,0,AKT2,SRC,0.0504190811370091,0.703703703703704
scaffold,residual,0,CDK2,CSF1R,-0.00852196153296475,0.592592592592593
scaffold,residual,0,CDK2,EGFR,0.0605327218532877,0.71957671957672
scaffold,residual,0,CDK2,FGFR1,-0.338891034574628,0.0423280423280423
scaffold,residual,0,CDK2,IGF1R,0.0786079773521982,0.746031746031746
scaffold,residual,0,CDK2,JAK2,0.237799146978766,0.957671957671958
scaffold,residual,0,CDK2,KDR,-0.324311990822761,0.0476190476190476
scaffold,residual,0,CDK2,KIT,-0.229270571107197,0.164021164021164
scaffold,residual,0,CDK2,LCK,0.123607171242882,0.825396825396825
scaffold,residual,0,CDK2,MAP2K1,-0.000269200071511557,0.624338624338624
scaffold,residual,0,CDK2,MAPK1,0.155962846428461,0.867724867724868
scaffold,residual,0,CDK2,MAPK14,-0.0488442556735748,0.513227513227513
scaffold,residual,0,CDK2,MAPKAPK2,0.195798406437512,0.915343915343915
scaffold,residual,0,CDK2,MET,-0.263369595200827,0.126984126984127
scaffold,residual,0,CDK2,PLK1,0.137542935979502,0.841269841269841
scaffold,residual,0,CDK2,ROCK1,0.11314157263869,0.798941798941799
scaffold,residual,0,CDK2,SRC,0.0856372056777115,0.756613756613757
scaffold,residual,0,CSF1R,EGFR,-0.18465032175046,0.227513227513228
scaffold,residual,0,CSF1R,FGFR1,-0.13921153077974,0.317460317460317
scaffold,residual,0,CSF1R,IGF1R,0.105037946537675,0.783068783068783
scaffold,residual,0,CSF1R,JAK2,0.12254561550522,0.814814814814815
scaffold,residual,0,CSF1R,KDR,-0.190834911681382,0.216931216931217
scaffold,residual,0,CSF1R,KIT,0.108708610789896,0.793650793650794
scaffold,residual,0,CSF1R,LCK,0.0553577938362118,0.714285714285714
scaffold,residual,0,CSF1R,MAP2K1,-0.296414360387033,0.0687830687830688
scaffold,residual,0,CSF1R,MAPK1,0.0358016180823515,0.650793650793651
scaffold,residual,0,CSF1R,MAPK14,0.200957547254231,0.925925925925926
scaffold,residual,0,CSF1R,MAPKAPK2,-0.0689207283913047,0.476190476190476
scaffold,residual,0,CSF1R,MET,-0.129791267616184,0.333333333333333
scaffold,residual,0,CSF1R,PLK1,-0.0394187921427971,0.53968253968254
scaffold,residual,0,CSF1R,ROCK1,-0.0455046907714209,0.523809523809524
scaffold,residual,0,CSF1R,SRC,0.0280298188189806,0.645502645502645
scaffold,residual,0,EGFR,FGFR1,-0.0808840228709842,0.428571428571429
scaffold,residual,0,EGFR,IGF1R,-0.00301220531192149,0.619047619047619
scaffold,residual,0,EGFR,JAK2,0.0458647188896788,0.682539682539683
scaffold,residual,0,EGFR,KDR,-0.016180175051337,0.582010582010582
scaffold,residual,0,EGFR,KIT,-0.0720057708519336,0.439153439153439
scaffold,residual,0,EGFR,LCK,-0.0719373078144882,0.444444444444444
scaffold,residual,0,EGFR,MAP2K1,0.0912116572853467,0.772486772486772
scaffold,residual,0,EGFR,MAPK1,-0.00666347879721334,0.608465608465608
scaffold,residual,0,EGFR,MAPK14,-0.125370988162733,0.354497354497354
scaffold,residual,0,EGFR,MAPKAPK2,-0.00705945692615695,0.597883597883598
scaffold,residual,0,EGFR,MET,-0.0297200550495236,0.55026455026455
scaffold,residual,0,EGFR,PLK1,-0.0442560206511641,0.534391534391534
scaffold,residual,0,EGFR,ROCK1,-0.0703547932978232,0.46031746031746
scaffold,residual,0,EGFR,SRC,-0.0699676390521735,0.470899470899471
scaffold,residual,0,FGFR1,IGF1R,-0.221952909708025,0.174603174603175
scaffold,residual,0,FGFR1,JAK2,-0.33990045582243,0.037037037037037
scaffold,residual,0,FGFR1,KDR,0.401006271587509,0.984126984126984
scaffold,residual,0,FGFR1,KIT,0.187399826399922,0.91005291005291
scaffold,residual,0,FGFR1,LCK,-0.234292288342308,0.148148148148148
scaffold,residual,0,FGFR1,MAP2K1,-0.125893276969577,0.349206349206349
scaffold,residual,0,FGFR1,MAPK1,-0.237245793972042,0.142857142857143
scaffold,residual,0,FGFR1,MAPK14,-0.046262656355999,0.518518518518518
scaffold,residual,0,FGFR1,MAPKAPK2,-0.211556761372236,0.201058201058201
scaffold,residual,0,FGFR1,MET,0.209608482896317,0.936507936507937
scaffold,residual,0,FGFR1,PLK1,-0.283761538856249,0.0952380952380952
scaffold,residual,0,FGFR1,ROCK1,-0.283468343209486,0.100529100529101
scaffold,residual,0,FGFR1,SRC,-0.265031410658912,0.121693121693122
scaffold,residual,0,IGF1R,JAK2,0.169915118012742,0.888888888888889
scaffold,residual,0,IGF1R,KDR,-0.239496841957906,0.137566137566138
scaffold,residual,0,IGF1R,KIT,-0.152460103801403,0.285714285714286
scaffold,residual,0,IGF1R,LCK,0.0641402419334675,0.73015873015873
scaffold,residual,0,IGF1R,MAP2K1,-0.100268671325138,0.402116402116402
