support_kind,support_id,rows,chemical_groups
scaffold,0,1995,1995
scaffold,1,1995,1995
scaffold,2,1995,1995
scaffold,3,1995,1995
scaffold,4,1995,1995
scaffold,5,1995,1995
scaffold,6,1995,1995
scaffold,7,1995,1995
scaffold,8,1995,1995
scaffold,9,1995,1995
scaffold,10,1995,1995
scaffold,11,1995,1995
scaffold,12,1995,1995
scaffold,13,1995,1995
scaffold,14,1995,1995
scaffold,15,1995,1995
scaffold,16,1995,1995
scaffold,17,1995,1995
scaffold,18,1995,1995
scaffold,19,1995,1995
scaffold,20,1995,1995
scaffold,21,1995,1995
scaffold,22,1995,1995
scaffold,23,1995,1995
scaffold,24,1995,1995
scaffold,25,1995,1995
scaffold,26,1995,1995
scaffold,27,1995,1995
scaffold,28,1995,1995
scaffold,29,1995,1995
scaffold,30,1995,1995
scaffold,31,1995,1995
scaffold,32,1995,1995
scaffold,33,1995,1995
scaffold,34,1995,1995
scaffold,35,1995,1995
scaffold,36,1995,1995
scaffold,37,1995,1995
scaffold,38,1995,1995
scaffold,39,1995,1995
scaffold,40,1995,1995
scaffold,41,1995,1995
scaffold,42,1995,1995
scaffold,43,1995,1995
scaffold,44,1995,1995
scaffold,45,1995,1995
scaffold,46,1995,1995
scaffold,47,1995,1995
scaffold,48,1995,1995
scaffold,49,1995,1995
random,0,1995,1877
random,1,1995,1858
random,2,1995,1868
random,3,1995,1877
random,4,1995,1880
random,5,1995,1876
random,6,1995,1867
random,7,1995,1865
random,8,1995,1856
random,9,1995,1849
random,10,1995,1880
random,11,1995,1865
random,12,1995,1855
random,13,1995,1863
random,14,1995,1846
random,15,1995,1841
random,16,1995,1858
random,17,1995,1845
random,18,1995,1868
random,19,1995,1855
random,20,1995,1848
random,21,1995,1870
random,22,1995,1850
random,23,1995,1862
random,24,1995,1872
random,25,1995,1874
random,26,1995,1873
random,27,1995,1846
random,28,1995,1860
random,29,1995,1852
random,30,1995,1858
random,31,1995,1862
random,32,1995,1869
random,33,1995,1874
random,34,1995,1858
random,35,1995,1869
random,36,1995,1860
random,37,1995,1864
random,38,1995,1864
random,39,1995,1874
random,40,1995,1873
random,41,1995,1855
random,42,1995,1888
random,43,1995,1866
random,44,1995,1859
random,45,1995,1868
random,46,1995,1864
random,47,1995,1868
random,48,1995,1863
random,49,1995,1872
