support_kind,surface,support_a,support_b,edge_rank_spearman
scaffold,residual,0,1,0.985076128366291
scaffold,residual,0,2,0.981867408486312
scaffold,residual,0,3,0.982766689848531
scaffold,residual,0,4,0.987142376009833
scaffold,residual,0,5,0.982003875307816
scaffold,residual,0,6,0.98416110083236
scaffold,residual,0,7,0.979949874686717
scaffold,residual,0,8,0.982577735787987
scaffold,residual,0,9,0.981423016529106
scaffold,residual,0,10,0.982673962392893
scaffold,residual,0,11,0.983424529911165
scaffold,residual,0,12,0.983548749710227
scaffold,residual,0,13,0.979645448700285
scaffold,residual,0,14,0.983072865409597
scaffold,residual,0,15,0.986015649945107
scaffold,residual,0,16,0.984210088922131
scaffold,residual,0,17,0.979785414671058
scaffold,residual,0,18,0.986531774462334
scaffold,residual,0,19,0.983445524806781
scaffold,residual,0,20,0.984112112742589
scaffold,residual,0,21,0.984264325735806
scaffold,residual,0,22,0.986362065722771
scaffold,residual,0,23,0.984098116145512
scaffold,residual,0,24,0.981967134240488
scaffold,residual,0,25,0.979379513355815
scaffold,residual,0,26,0.985272080725374
scaffold,residual,0,27,0.980455501756136
scaffold,residual,0,28,0.983998390391336
scaffold,residual,0,29,0.981711696343826
scaffold,residual,0,30,0.985286077322451
scaffold,residual,0,31,0.984484772139774
scaffold,residual,0,32,0.980584970279101
scaffold,residual,0,33,0.981827168269715
scaffold,residual,0,34,0.981258556513448
scaffold,residual,0,35,0.983914410808872
scaffold,residual,0,36,0.979556220393917
scaffold,residual,0,37,0.984915167499902
scaffold,residual,0,38,0.982733447930472
scaffold,residual,0,39,0.983798938882984
scaffold,residual,0,40,0.984364051489982
scaffold,residual,0,41,0.984943160694056
scaffold,residual,0,42,0.987053147703465
scaffold,residual,0,43,0.980179068963858
scaffold,residual,0,44,0.984661479177875
scaffold,residual,0,45,0.986265839117865
scaffold,residual,0,46,0.983739453345405
scaffold,residual,0,47,0.984147104235283
scaffold,residual,0,48,0.985098872836542
scaffold,residual,0,49,0.983422780336531
scaffold,residual,1,2,0.981807922948733
scaffold,residual,1,3,0.979969120007698
scaffold,residual,1,4,0.981515743984744
scaffold,residual,1,5,0.981085348624616
scaffold,residual,1,6,0.983240824574525
scaffold,residual,1,7,0.977171550166866
scaffold,residual,1,8,0.981499997813032
scaffold,residual,1,9,0.983032625193
scaffold,residual,1,10,0.98528957647172
scaffold,residual,1,11,0.982458764712829
scaffold,residual,1,12,0.979629702528573
scaffold,residual,1,13,0.982603979407507
scaffold,residual,1,14,0.982446517690387
scaffold,residual,1,15,0.986120624423187
scaffold,residual,1,16,0.98190065040437
scaffold,residual,1,17,0.978761913509778
scaffold,residual,1,18,0.986127622721726
scaffold,residual,1,19,0.977405993167911
scaffold,residual,1,20,0.981470255044243
scaffold,residual,1,21,0.980779173063549
scaffold,residual,1,22,0.982756192400723
scaffold,residual,1,23,0.982694957288509
scaffold,residual,1,24,0.982813928363667
scaffold,residual,1,25,0.985247586680488
scaffold,residual,1,26,0.97987989170133
scaffold,residual,1,27,0.983790191009811
scaffold,residual,1,28,0.980875399668456
scaffold,residual,1,29,0.975595183421031
scaffold,residual,1,30,0.986512529141353
scaffold,residual,1,31,0.978053335782738
scaffold,residual,1,32,0.97998486617941
scaffold,residual,1,33,0.979327026116775
scaffold,residual,1,34,0.981582227820861
scaffold,residual,1,35,0.982409776623059
scaffold,residual,1,36,0.983945903152296
scaffold,residual,1,37,0.986020898669011
scaffold,residual,1,38,0.984518014057832
scaffold,residual,1,39,0.98051323771908
scaffold,residual,1,40,0.984605492789566
scaffold,residual,1,41,0.981599723567208
scaffold,residual,1,42,0.986216851028094
scaffold,residual,1,43,0.98232404746596
scaffold,residual,1,44,0.982859417304168
scaffold,residual,1,45,0.983468269277032
scaffold,residual,1,46,0.982334544913768
scaffold,residual,1,47,0.980793169660626
scaffold,residual,1,48,0.984929164096979
scaffold,residual,1,49,0.980700442204989
scaffold,residual,2,3,0.976870623329703
scaffold,residual,2,4,0.981657459530152
scaffold,residual,2,5,0.973829862614652
scaffold,residual,2,6,0.984061375078184
scaffold,residual,2,7,0.977031584196092
scaffold,residual,2,8,0.981853411889234
scaffold,residual,2,9,0.977327262309351
scaffold,residual,2,10,0.978408499433575
scaffold,residual,2,11,0.980579721555197
scaffold,residual,2,12,0.976676420545255
scaffold,residual,2,13,0.98308511243204
scaffold,residual,2,14,0.979012102682535
scaffold,residual,2,15,0.983959899749374
scaffold,residual,2,16,0.981480752492051
scaffold,residual,2,17,0.980567474532754
scaffold,residual,2,18,0.98620810315492
scaffold,residual,2,19,0.976933608016551
scaffold,residual,2,20,0.979781915521789
scaffold,residual,2,21,0.977330761458621
scaffold,residual,2,22,0.982661715370451
scaffold,residual,2,23,0.985469782659091
scaffold,residual,2,24,0.978382255814055
scaffold,residual,2,25,0.983342299903336
scaffold,residual,2,26,0.977582700206013
scaffold,residual,2,27,0.981848163165331
scaffold,residual,2,28,0.97738674784693
scaffold,residual,2,29,0.980270046844861
scaffold,residual,2,30,0.980800167959165
scaffold,residual,2,31,0.97635974753638
scaffold,residual,2,32,0.978154811111549
scaffold,residual,2,33,0.97977841637252
scaffold,residual,2,34,0.983697463554174
scaffold,residual,2,35,0.976513710104231
