panel,support,transform,bootstrap_unit,target_a,target_b,full_map_correlation,full_map_sign,full_map_top_decile,bootstrap_sign_matches_full_fraction,bootstrap_top_decile_inclusion_fraction,repeats,valid_repeats,seed
DAVIS,released_full_panel,two_way_centered,ligand,ABL1,AKT1,-0.4253822428889693,-1,False,1.0,0.0,2000,2000,20360850
DAVIS,released_full_panel,two_way_centered,ligand,ABL1,AKT2,-0.4537628879637819,-1,False,1.0,0.0,2000,2000,20360850
DAVIS,released_full_panel,two_way_centered,ligand,ABL1,CDK2,-0.36403113464238557,-1,False,1.0,0.0,2000,2000,20360850
DAVIS,released_full_panel,two_way_centered,ligand,ABL1,CSF1R,0.3367959910380168,1,False,0.9975,0.217,2000,2000,20360850
DAVIS,released_full_panel,two_way_centered,ligand,ABL1,EGFR,-0.017533249278167604,-1,False,0.588,0.0,2000,2000,20360850
DAVIS,released_full_panel,two_way_centered,ligand,ABL1,FGFR1,-0.12017089562751931,-1,False,0.7745,0.001,2000,2000,20360850
DAVIS,released_full_panel,two_way_centered,ligand,ABL1,IGF1R,-0.38029857574553194,-1,False,0.9995,0.0,2000,2000,20360850
DAVIS,released_full_panel,two_way_centered,ligand,ABL1,JAK2,-0.17910367352054835,-1,False,0.9805,0.0,2000,2000,20360850
DAVIS,released_full_panel,two_way_centered,ligand,ABL1,KDR,-0.09380405065881313,-1,False,0.7755,0.0,2000,2000,20360850
DAVIS,released_full_panel,two_way_centered,ligand,ABL1,KIT,0.35232857237968385,1,False,0.999,0.256,2000,2000,20360850
DAVIS,released_full_panel,two_way_centered,ligand,ABL1,LCK,0.7860131576947633,1,True,1.0,1.0,2000,2000,20360850
DAVIS,released_full_panel,two_way_centered,ligand,ABL1,MAP2K1,-0.13760056764805936,-1,False,0.8225,0.0005,2000,2000,20360850
DAVIS,released_full_panel,two_way_centered,ligand,ABL1,MAPK1,-0.4572830390704225,-1,False,1.0,0.0,2000,2000,20360850
DAVIS,released_full_panel,two_way_centered,ligand,ABL1,MAPK14,0.052393771876750886,1,False,0.6585,0.0025,2000,2000,20360850
DAVIS,released_full_panel,two_way_centered,ligand,ABL1,MAPKAPK2,-0.5084018265912329,-1,False,1.0,0.0,2000,2000,20360850
DAVIS,released_full_panel,two_way_centered,ligand,ABL1,MET,-0.17390775771678552,-1,False,0.945,0.0,2000,2000,20360850
DAVIS,released_full_panel,two_way_centered,ligand,ABL1,PLK1,-0.38450359647433097,-1,False,1.0,0.0,2000,2000,20360850
