panel,k,method,held_out_target_r2,held_out_target_rmse,held_out_mean_row_spearman,held_out_top5_overlap,held_out_pair_order_accuracy,held_out_target_geometry_spearman,full_target_r2,full_target_rmse,full_pair_order_accuracy,full_target_geometry_spearman,full_mean_row_spearman,full_top5_overlap
DAVIS,3,conservative_residual_vina_deim,-6.41458904770235,2.2918723472454126,0.35167600373482727,0.4367619047619048,0.6232212885154061,0.43666665646050395,-0.008725434383748332,2.113001899586929,0.642280701754386,0.3950889908641709,0.4007848191908342,0.4154285714285715
DAVIS,3,random,-1.3250964924464095,2.036900026757731,0.3171789974323062,0.4322016190476191,0.6157417892156862,0.41397774283896954,0.07148225742362538,1.8779290351753968,0.6474640576441103,0.4405991310647743,0.39935780021482276,0.42671276190476193
DAVIS,3,raw_vina_deim,0.06525241852940826,1.8715397735068535,0.3280718954248366,0.43104761904761907,0.6220098039215687,0.49592673185688635,0.19828510094195714,1.7254744145438299,0.6621754385964913,0.5167761861344488,0.43583100608664516,0.45600000000000007
DAVIS,3,residual_panel_descriptors_only,-0.09158059253667776,1.154227299264773,0.15497198879551824,0.3194285714285715,0.555077030812325,0.29725304088213234,0.18636473633432277,1.0641449899392679,0.5734536340852131,0.31932383573326456,0.19863229502327245,0.3137142857142858
DAVIS,3,residual_vina_deim,-6.41458904770235,2.2918723472454126,0.35167600373482727,0.4367619047619048,0.6232212885154061,0.43666665646050395,-0.008725434383748332,2.113001899586929,0.642280701754386,0.3950889908641709,0.4007848191908342,0.4154285714285715
DAVIS,3,sequence_diverse,-0.08519350734362582,2.039400419160143,0.20082633053221288,0.3586666666666667,0.5733473389355742,0.4211874665694509,-0.0016501782363622208,1.8802342830668692,0.5855538847117795,0.4098111511563421,0.23215467239527393,0.3165714285714286
DAVIS,5,conservative_residual_vina_deim,0.10952433404690846,1.907014706212145,0.3932142857142857,0.5053333333333333,0.643374149659864,0.42286570546055563,0.3115126810048149,1.6515231809702358,0.7006315789473685,0.5352143045272594,0.5261310418904404,0.5057142857142858
DAVIS,5,random,-2.1770635484468297,2.117757341889592,0.36807983163265307,0.5036543809523809,0.6359397868480726,0.4242778038931193,0.1715202383584536,1.8340316571273934,0.6923769999999999,0.4734902073427813,0.5034808070175438,0.49637161904761906
DAVIS,5,raw_vina_deim,-6.89620286874384,2.3763057479599654,0.43403401360544225,0.5546666666666666,0.6621043083900227,0.4413770729941372,0.11124069772287641,2.0579411448923115,0.7037794486215538,0.4524016924046627,0.5352423916935195,0.5306666666666666
DAVIS,5,residual_panel_descriptors_only,-0.14586265485083935,2.078267401054705,0.15400340136054422,0.35485714285714287,0.5558458049886621,0.2504763099174465,0.12709566320969304,1.7998323651704364,0.6228872180451128,0.2656750668473417,0.3267912638739706,0.352
DAVIS,5,residual_vina_deim,0.10952433404690846,1.907014706212145,0.3932142857142857,0.5053333333333333,0.643374149659864,0.42286570546055563,0.3115126810048149,1.6515231809702358,0.7006315789473685,0.5352143045272594,0.5261310418904404,0.5057142857142858
