panel,k,contrast,metric,mean_fold_paired_difference,minimum_fold_difference,maximum_fold_difference,positive_folds,folds,exact_one_sided_sign_flip_p
DAVIS,10,residual_minus_raw,full_mean_row_spearman,-0.011040458288578603,-0.04300751879699238,0.012137486573576717,2,5,0.8125
DAVIS,10,residual_minus_raw,full_target_r2,0.13583768794139345,-0.10782410640886764,0.8070723555500872,2,5,0.4375
DAVIS,10,residual_minus_raw,full_top5_overlap,-0.011428571428571455,-0.11428571428571421,0.07999999999999996,3,5,0.625
DAVIS,10,residual_minus_raw,held_out_mean_row_spearman,0.06403463203463203,0.01777777777777778,0.1532467532467533,5,5,0.03125
DAVIS,10,residual_minus_raw,held_out_target_r2,8.091682987149317,-0.09425851411388209,40.256076127028784,4,5,0.125
DAVIS,10,residual_minus_raw,held_out_top5_overlap,0.05333333333333332,-1.1102230246251565e-16,0.07142857142857162,4,5,0.0625
DAVIS,10,residual_minus_sequence,full_mean_row_spearman,0.07506623702112421,0.00923737916219125,0.1596133190118152,5,5,0.03125
DAVIS,10,residual_minus_sequence,full_target_r2,0.008720687694700958,-0.2601350681720882,0.11291933445555513,4,5,0.46875
DAVIS,10,residual_minus_sequence,full_top5_overlap,0.07714285714285715,-0.014285714285714124,0.20000000000000007,3,5,0.125
DAVIS,10,residual_minus_sequence,held_out_mean_row_spearman,0.13071284271284273,0.05818181818181811,0.17229437229437228,5,5,0.03125
DAVIS,10,residual_minus_sequence,held_out_target_r2,6.372551769905578,-0.1703290618175145,31.62149606554315,4,5,0.15625
DAVIS,10,residual_minus_sequence,held_out_top5_overlap,0.04723809523809521,0.026666666666666616,0.07142857142857129,5,5,0.03125
DAVIS,10,sentinel_measurements_plus_descriptors_minus_descriptors_only,full_mean_row_spearman,0.23975366988900823,0.21557465091299682,0.2604726100966703,5,5,0.03125
DAVIS,10,sentinel_measurements_plus_descriptors_minus_descriptors_only,full_target_r2,0.17783031084719858,0.0033614542695241667,0.3110370293500849,5,5,0.03125
DAVIS,10,sentinel_measurements_plus_descriptors_minus_descriptors_only,full_top5_overlap,0.17790476190476187,0.11428571428571427,0.2142857142857143,5,5,0.03125
DAVIS,10,sentinel_measurements_plus_descriptors_minus_descriptors_only,held_out_mean_row_spearman,0.37917460317460316,0.2519480519480521,0.48808080808080806,5,5,0.03125
DAVIS,10,sentinel_measurements_plus_descriptors_minus_descriptors_only,held_out_target_r2,0.3627719723707211,0.0035233082153627304,0.6752924140075345,5,5,0.03125
DAVIS,10,sentinel_measurements_plus_descriptors_minus_descriptors_only,held_out_top5_overlap,0.15219047619047618,0.08571428571428563,0.21333333333333337,5,5,0.03125
PKIS1,10,residual_minus_raw,full_mean_row_spearman,0.013375104427736017,-0.005388471177944831,0.02992898913951547,4,5,0.0625
PKIS1,10,residual_minus_raw,full_target_r2,0.06372330278144545,0.011730451865433644,0.2541086151631541,5,5,0.03125
PKIS1,10,residual_minus_raw,full_top5_overlap,0.007222222222222218,-0.01666666666666672,0.033333333333333326,3,5,0.25
PKIS1,10,residual_minus_raw,held_out_mean_row_spearman,0.010269360269360239,-0.057407407407407574,0.0885521885521886,3,5,0.34375
PKIS1,10,residual_minus_raw,held_out_target_r2,0.10301839198015177,0.0038703856423895067,0.3273830014278851,5,5,0.03125
PKIS1,10,residual_minus_raw,held_out_top5_overlap,0.0038888888888888528,-0.019444444444444486,0.03888888888888886,2,5,0.40625
PKIS1,10,residual_minus_sequence,full_mean_row_spearman,0.09196324143692565,0.06652046783625731,0.15916875522138685,5,5,0.03125
PKIS1,10,residual_minus_sequence,full_target_r2,0.07097536557763831,-0.04230793583893999,0.15724397794573608,4,5,0.09375
PKIS1,10,residual_minus_sequence,full_top5_overlap,0.0888888888888889,0.03888888888888886,0.16388888888888886,5,5,0.03125
PKIS1,10,residual_minus_sequence,held_out_mean_row_spearman,0.10151515151515152,0.039225589225589164,0.23989898989898994,5,5,0.03125
PKIS1,10,residual_minus_sequence,held_out_target_r2,0.1513218820503111,0.12347242445621709,0.20511357420375087,5,5,0.03125
PKIS1,10,residual_minus_sequence,held_out_top5_overlap,0.028333333333333342,0.005555555555555536,0.0888888888888888,5,5,0.03125
PKIS1,10,sentinel_measurements_plus_descriptors_minus_descriptors_only,full_mean_row_spearman,0.22806182121971594,0.2096073517126148,0.25146198830409355,5,5,0.03125
PKIS1,10,sentinel_measurements_plus_descriptors_minus_descriptors_only,full_target_r2,0.2614752316979039,0.21118629141390155,0.29667917725336046,5,5,0.03125
PKIS1,10,sentinel_measurements_plus_descriptors_minus_descriptors_only,full_top5_overlap,0.16333333333333333,0.15000000000000002,0.18055555555555547,5,5,0.03125
PKIS1,10,sentinel_measurements_plus_descriptors_minus_descriptors_only,held_out_mean_row_spearman,0.38296296296296295,0.32373737373737377,0.46127946127946123,5,5,0.03125
PKIS1,10,sentinel_measurements_plus_descriptors_minus_descriptors_only,held_out_target_r2,0.5314681023700183,0.47234672734451066,0.573945821611085,5,5,0.03125
PKIS1,10,sentinel_measurements_plus_descriptors_minus_descriptors_only,held_out_top5_overlap,0.14111111111111105,0.09999999999999998,0.16666666666666663,5,5,0.03125
PKIS2,10,residual_minus_raw,full_mean_row_spearman,-0.01918050941306757,-0.04844669814070057,0.007040857958850566,1,5,0.9375
PKIS2,10,residual_minus_raw,full_target_r2,0.04266695914511909,-0.042871005580054855,0.10475539713012294,4,5,0.09375
PKIS2,10,residual_minus_raw,full_top5_overlap,-0.044651162790697675,-0.08372093023255822,-0.009302325581395321,0,5,1.0
PKIS2,10,residual_minus_raw,held_out_mean_row_spearman,0.006934460887949257,-0.03852478271082921,0.03833685694150807,3,5,0.40625
PKIS2,10,residual_minus_raw,held_out_target_r2,0.06597543207951355,-0.01562925224596201,0.145277390051194,4,5,0.0625
PKIS2,10,residual_minus_raw,held_out_top5_overlap,0.006201550387596866,-0.027906976744186074,0.029457364341085146,3,5,0.28125
PKIS2,10,residual_minus_sequence,full_mean_row_spearman,0.05900099084921606,0.040228478172174564,0.10310660371859881,5,5,0.03125
PKIS2,10,residual_minus_sequence,full_target_r2,-0.007068851177366708,-0.07797474800667581,0.05528017410343722,2,5,0.6875
PKIS2,10,residual_minus_sequence,full_top5_overlap,0.03627906976744184,-0.03100775193798444,0.09147286821705436,4,5,0.09375
PKIS2,10,residual_minus_sequence,held_out_mean_row_spearman,0.07494479680526189,0.04068592905802207,0.12233967582804786,5,5,0.03125
PKIS2,10,residual_minus_sequence,held_out_target_r2,-0.020485517291579526,-0.07576069469430347,0.024893440580549764,2,5,0.84375
PKIS2,10,residual_minus_sequence,held_out_top5_overlap,0.025736434108527106,0.006201550387596844,0.04496124031007742,5,5,0.03125
