method,k,selection_rank,target
conservative_residual_vina_deim,3,1,MAPK1
conservative_residual_vina_deim,3,2,AKT1
conservative_residual_vina_deim,3,3,LCK
conservative_residual_vina_deim,5,1,MAPK14
conservative_residual_vina_deim,5,2,EGFR
conservative_residual_vina_deim,5,3,LCK
conservative_residual_vina_deim,5,4,AKT1
conservative_residual_vina_deim,5,5,JAK2
conservative_residual_vina_deim,10,1,MAPKAPK2
conservative_residual_vina_deim,10,2,AKT2
conservative_residual_vina_deim,10,3,EGFR
conservative_residual_vina_deim,10,4,PLK1
conservative_residual_vina_deim,10,5,IGF1R
conservative_residual_vina_deim,10,6,KIT
conservative_residual_vina_deim,10,7,MAPK14
conservative_residual_vina_deim,10,8,LCK
conservative_residual_vina_deim,10,9,MAP2K1
conservative_residual_vina_deim,10,10,CDK2
raw_vina_deim,3,1,KDR
raw_vina_deim,3,2,CSF1R
raw_vina_deim,3,3,AKT1
raw_vina_deim,5,1,MAPK14
raw_vina_deim,5,2,ABL1
raw_vina_deim,5,3,KDR
raw_vina_deim,5,4,MAPK1
raw_vina_deim,5,5,AKT1
raw_vina_deim,10,1,IGF1R
raw_vina_deim,10,2,MET
raw_vina_deim,10,3,MAPK14
raw_vina_deim,10,4,FGFR1
raw_vina_deim,10,5,KDR
raw_vina_deim,10,6,ABL1
raw_vina_deim,10,7,CSF1R
raw_vina_deim,10,8,MAPK1
raw_vina_deim,10,9,AKT2
raw_vina_deim,10,10,JAK2
residual_vina_deim,3,1,MAPK1
residual_vina_deim,3,2,AKT1
residual_vina_deim,3,3,LCK
residual_vina_deim,5,1,MAPK14
residual_vina_deim,5,2,EGFR
residual_vina_deim,5,3,LCK
residual_vina_deim,5,4,AKT1
residual_vina_deim,5,5,JAK2
residual_vina_deim,10,1,MAPKAPK2
residual_vina_deim,10,2,AKT2
residual_vina_deim,10,3,EGFR
residual_vina_deim,10,4,PLK1
residual_vina_deim,10,5,IGF1R
residual_vina_deim,10,6,KIT
residual_vina_deim,10,7,MAPK14
residual_vina_deim,10,8,LCK
residual_vina_deim,10,9,MAP2K1
residual_vina_deim,10,10,CDK2
sequence_diverse,3,1,MAPKAPK2
sequence_diverse,3,2,MET
sequence_diverse,3,3,CDK2
sequence_diverse,5,1,MAPKAPK2
sequence_diverse,5,2,MET
sequence_diverse,5,3,CDK2
sequence_diverse,5,4,PLK1
sequence_diverse,5,5,ROCK1
sequence_diverse,10,1,MAPKAPK2
sequence_diverse,10,2,MET
sequence_diverse,10,3,CDK2
sequence_diverse,10,4,PLK1
sequence_diverse,10,5,ROCK1
sequence_diverse,10,6,MAP2K1
sequence_diverse,10,7,JAK2
sequence_diverse,10,8,MAPK1
sequence_diverse,10,9,KDR
sequence_diverse,10,10,AKT2
