k,support_type,support_id,jaccard_to_primary,selected_targets
3,exact_vs_exact_plus_same_cyclic_murcko_exclusion,conservative,1.0,MAPK1;AKT1;LCK
3,leave_one_scaffold_fold_out,0,1.0,MAPK1;AKT1;LCK
3,leave_one_scaffold_fold_out,1,1.0,MAPK1;AKT1;LCK
3,leave_one_scaffold_fold_out,2,1.0,MAPK1;AKT1;LCK
3,leave_one_scaffold_fold_out,3,1.0,MAPK1;AKT1;LCK
3,leave_one_scaffold_fold_out,4,1.0,MAPK1;AKT1;LCK
3,random_ligand_support,0,1.0,MAPK1;AKT1;LCK
3,random_ligand_support,1,1.0,MAPK1;AKT1;LCK
3,random_ligand_support,2,1.0,MAPK1;AKT1;LCK
3,random_ligand_support,3,0.5,LCK;AKT1;JAK2
3,random_ligand_support,4,1.0,MAPK1;AKT1;LCK
3,random_ligand_support,5,1.0,MAPK1;AKT1;LCK
3,random_ligand_support,6,1.0,LCK;AKT1;MAPK1
3,random_ligand_support,7,1.0,AKT1;LCK;MAPK1
3,random_ligand_support,8,1.0,LCK;AKT1;MAPK1
3,random_ligand_support,9,1.0,MAPK1;AKT1;LCK
3,random_ligand_support,10,1.0,MAPK1;AKT1;LCK
3,random_ligand_support,11,1.0,MAPK1;AKT1;LCK
3,random_ligand_support,12,1.0,LCK;AKT1;MAPK1
3,random_ligand_support,13,1.0,MAPK1;AKT1;LCK
3,random_ligand_support,14,1.0,MAPK1;AKT1;LCK
3,random_ligand_support,15,1.0,LCK;AKT1;MAPK1
3,random_ligand_support,16,1.0,MAPK1;AKT1;LCK
3,random_ligand_support,17,1.0,MAPK1;AKT1;LCK
3,random_ligand_support,18,0.5,LCK;AKT1;JAK2
3,random_ligand_support,19,1.0,MAPK1;AKT1;LCK
3,random_ligand_support,20,0.5,LCK;AKT1;JAK2
3,random_ligand_support,21,1.0,MAPK1;AKT1;LCK
3,random_ligand_support,22,1.0,MAPK1;AKT1;LCK
3,random_ligand_support,23,1.0,MAPK1;AKT1;LCK
3,random_ligand_support,24,1.0,MAPK1;AKT1;LCK
5,exact_vs_exact_plus_same_cyclic_murcko_exclusion,conservative,1.0,MAPK14;EGFR;LCK;AKT1;JAK2
5,leave_one_scaffold_fold_out,0,1.0,MAPK14;EGFR;LCK;AKT1;JAK2
5,leave_one_scaffold_fold_out,1,1.0,MAPK14;EGFR;LCK;AKT1;JAK2
5,leave_one_scaffold_fold_out,2,1.0,MAPK14;EGFR;LCK;AKT1;JAK2
5,leave_one_scaffold_fold_out,3,1.0,MAPK14;EGFR;LCK;AKT1;JAK2
5,leave_one_scaffold_fold_out,4,1.0,MAPK14;EGFR;LCK;AKT1;JAK2
