null_repetition,panel,fixed_experimental_endpoint,raw_docking_concordance,centered_docking_concordance,centered_minus_raw_docking
0,DAVIS,raw_experimental_target_geometry,-0.0001023501161280164,0.00691869289279044,0.0070210430089184565
0,DAVIS,two_way_centered_experimental_target_geometry,-0.10020601241323204,-0.04212013454228941,0.05808587787094263
0,PKIS2,raw_experimental_target_geometry,-0.004878688868768781,-0.072937142157313,-0.06805845328854422
0,PKIS2,two_way_centered_experimental_target_geometry,-0.09678909315172751,-0.06196206047404725,0.03482703267768026
0,PKIS1,raw_experimental_target_geometry,-0.04667952604023148,-0.057178723422867825,-0.010499197382636348
0,PKIS1,two_way_centered_experimental_target_geometry,-0.15204765841304835,-0.11322809641905812,0.038819561993990226
0,KiRHub,raw_experimental_target_geometry,-0.042512039260454805,0.0031763527492378422,0.045688392009692644
0,KiRHub,two_way_centered_experimental_target_geometry,-0.120892982893534,-0.089600090977881,0.031292891915653
1,DAVIS,raw_experimental_target_geometry,0.03787916562785674,0.050281900213010725,0.012402734585153986
1,DAVIS,two_way_centered_experimental_target_geometry,0.021683353234744806,0.03589689756677908,0.014213544332034273
1,PKIS2,raw_experimental_target_geometry,-0.013021209218508752,-0.06779864145529618,-0.05477743223678743
1,PKIS2,two_way_centered_experimental_target_geometry,0.08012439475652483,0.05956339364991887,-0.020561001106605963
1,PKIS1,raw_experimental_target_geometry,-0.014560834897015665,-0.022734847590179644,-0.008174012693163979
1,PKIS1,two_way_centered_experimental_target_geometry,0.08431987473045617,0.05494451661439813,-0.029375358116058042
1,KiRHub,raw_experimental_target_geometry,0.035909144589221745,0.030354245124154196,-0.005554899465067549
1,KiRHub,two_way_centered_experimental_target_geometry,0.0515800845919336,0.035748183722832394,-0.015831900869101204
2,DAVIS,raw_experimental_target_geometry,0.03496262471186693,0.027966075747833816,-0.0069965489640331155
2,DAVIS,two_way_centered_experimental_target_geometry,-0.049695792710397285,-0.04652381389774612,0.0031719788126511675
2,PKIS2,raw_experimental_target_geometry,0.026211252389262862,-0.06206703495212728,-0.08827828734139015
2,PKIS2,two_way_centered_experimental_target_geometry,-0.05005270593586934,-0.07274118979823031,-0.02268848386236097
2,PKIS1,raw_experimental_target_geometry,-0.03429603677605882,-0.03284039068001592,0.0014556460960429007
2,PKIS1,two_way_centered_experimental_target_geometry,0.01576629182030119,-0.030039321689914144,-0.04580561351021534
2,KiRHub,raw_experimental_target_geometry,-0.0648925979871144,-0.012767520896482044,0.052125077090632355
2,KiRHub,two_way_centered_experimental_target_geometry,-0.11508089595717043,-0.1086879502420974,0.006392945715073026
3,DAVIS,raw_experimental_target_geometry,0.08312841440424797,0.0551632134437315,-0.027965200960516468
3,DAVIS,two_way_centered_experimental_target_geometry,0.07751927812550574,0.0931097376950229,0.015590459569517157
3,PKIS2,raw_experimental_target_geometry,0.0018659213478722989,-0.025586654244686764,-0.027452575592559064
3,PKIS2,two_way_centered_experimental_target_geometry,0.06928228074549375,0.06369238978773287,-0.005589890957760885
3,PKIS1,raw_experimental_target_geometry,0.0805390439449409,0.034512984030757525,-0.04602605991418337
3,PKIS1,two_way_centered_experimental_target_geometry,0.15697970930817445,0.09105048835001991,-0.06592922095815454
3,KiRHub,raw_experimental_target_geometry,0.029157536074042,0.0774947840806204,0.0483372480065784
3,KiRHub,two_way_centered_experimental_target_geometry,0.03841453546606482,0.041885691541244045,0.003471156075179227
4,DAVIS,raw_experimental_target_geometry,0.06396882258001024,0.012914485165794068,-0.051054337414216173
4,DAVIS,two_way_centered_experimental_target_geometry,0.02782261062779112,0.04503317630900988,0.017210565681218763
4,PKIS2,raw_experimental_target_geometry,-0.0021038634981870035,-0.06201979643699126,-0.059915932938804255
4,PKIS2,two_way_centered_experimental_target_geometry,0.03887817274425155,0.006539035197067714,-0.03233913754718384
4,PKIS1,raw_experimental_target_geometry,0.03076364558866626,-0.035832163305296406,-0.06659580889396266
4,PKIS1,two_way_centered_experimental_target_geometry,0.008040170233611954,-0.01866708656457899,-0.026707256798190943
4,KiRHub,raw_experimental_target_geometry,-0.017869280531170862,0.02136668022587009,0.03923596075704095
4,KiRHub,two_way_centered_experimental_target_geometry,0.04302816377768155,0.027299487812025704,-0.015728675965655848
5,DAVIS,raw_experimental_target_geometry,-0.05710349171357714,-0.03386389184129609,0.023239599872281053
5,DAVIS,two_way_centered_experimental_target_geometry,0.00429433094079002,0.020409662900707268,0.016115331959917246
5,PKIS2,raw_experimental_target_geometry,-0.052381389774611056,-0.08720317372838729,-0.034821783953776234
5,PKIS2,two_way_centered_experimental_target_geometry,-0.024918316734243984,-0.019911034129827185,0.0050072826044168
5,PKIS1,raw_experimental_target_geometry,-0.0010558682920215024,-0.05178478482418963,-0.05072891653216812
5,PKIS1,two_way_centered_experimental_target_geometry,0.0378336766873554,0.007851216173067924,-0.029982460514287476
5,KiRHub,raw_experimental_target_geometry,-0.015512603498274484,0.010316366833313653,0.02582897033158814
5,KiRHub,two_way_centered_experimental_target_geometry,0.009525559098444193,0.0017119587800216074,-0.007813600318422586
6,DAVIS,raw_experimental_target_geometry,-0.12011967090501123,-0.021473404278584768,0.09864626662642646
6,DAVIS,two_way_centered_experimental_target_geometry,0.06342995359253283,-0.0024380322534083903,-0.06586798584594121
